Hersteller;Audi;Audi;Audi;BMW;BMW;BMW;Fiat;Fiat;Genesis;Genesis;Genesis;Hyundai;Hyundai;KIA;KIA;Lucid;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mini;Opel;Opel;Opel;Opel;Polestar;Polestar;Porsche;Porsche;Porsche;smart;Tesla;Tesla;Tesla;Tesla;Volvo;Volvo;VW;VW;VW;VW;VW;Fiat;Fiat;Mercedes;Mercedes;Opel;Opel;Opel;VW;Peugeot;Toyota
Modell;Q4 e-tron;Q8 e-tron;e-tron GT;i4 xDrive40;i7 xDrive60;iX xDrive50;500e Hatchback;600e;GV60;GV70;G80 Electrified;IONIQ 5;IONIQ 6;EV60;Niro EV;Air Grand Touring;EQA;EQC;EQE;EQE SUV;EQS;CLA;Cooper E;Astra Electric GS;Astra Sport Tourer;Corsa e;Mokka e;2 LR SM;2 LR DM;Taycan;Taycan Tourismo;Macan;1# Pro Plus;Model S;Model X;Model Y;Model 3;EX30 Twin;XC40 Recharge;ID.3;ID.4 Pro S;ID.4 Pro 4Motion;ID.7;ID.7 Tourer;e Dobló;e Scudo;E-Sprinter;E-Vito;Combo e;Zafira e;Vivaro e;ID.Buzz Cargo;e Expert;ProAce Electric
Fahrzeugklasse;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;PKW;Transporter;Transporter;Transporter;Transporter;Transporter;Transporter;Transporter;Transporter;Transporter;Transporter
max. Kapazität;59;89;97;81;102;110;42;54;77;77;87;53;77;77;64;120;70;80;91;91;118;58;37;51;51;50;50;100;78;93;93;100;66;100;100;65;58;69;82;77;77;77;86;86;50;50;47;90;50;75;50;82;50;75
0;130,486;141,995;252,012;200,972;178,558;188,598;69,188;98,857;214,825;188,877;165,855;175,782;172,341;164,491;113,587;19,905;103,633;104,312;151,828;160,415;156,795;352,972;38,269;104,783;104,399;73,687;100,327;298,210;147,160;283,715;224,883;254,919;149,867;70,516;-0,527;180,782;141,360;58,588;192,440;160,881;120,997;78,104;190,383;182,622;94,098;94,098;77,986;109,918;15,367;91,828;92,667;163,180;94,098;89,887
0,5;131,145;141,921;252,318;201,116;179,122;188,587;69,355;98,917;215,066;188,977;165,858;176,333;173,066;164,565;112,073;29,986;103,853;104,572;152,484;160,883;157,219;352,997;39,724;104,826;104,379;73,627;100,161;293,934;147,363;284,075;226,312;255,069;149,867;75,691;8,548;181,184;140,602;58,784;193,095;161,408;121,860;78,303;190,734;183,301;94,346;94,346;78,068;109,914;18,523;92,422;92,976;163,409;94,346;90,697
1;131,805;141,848;252,625;201,260;179,686;188,576;69,521;98,977;215,306;189,077;165,861;176,883;173,791;164,638;110,559;40,067;104,072;104,831;153,140;161,351;157,642;353,022;41,178;104,869;104,359;73,567;99,995;289,658;147,565;284,434;227,740;255,218;149,867;80,866;17,622;181,587;139,844;58,979;193,749;161,935;122,723;78,503;191,085;183,979;94,593;94,593;78,149;109,911;21,679;93,016;93,285;163,638;94,593;91,507
1,5;132,464;141,775;252,931;201,404;180,250;188,565;69,688;99,037;215,546;189,177;165,864;177,434;174,516;164,712;109,045;50,148;104,292;105,090;153,796;161,819;158,065;353,048;42,633;104,912;104,339;73,507;99,828;285,383;147,768;284,793;229,169;255,368;149,867;86,041;26,697;181,989;139,086;59,175;194,403;162,462;123,586;78,703;191,437;184,658;94,840;94,840;78,230;109,907;24,835;93,610;93,594;163,867;94,840;92,318
2;133,124;141,702;253,237;201,548;180,814;188,554;69,855;99,096;215,787;189,277;165,866;177,985;175,241;164,785;107,532;60,229;104,511;105,350;154,452;162,287;158,488;353,073;44,088;104,955;104,318;73,447;99,662;281,107;147,970;285,152;230,598;255,517;149,867;91,216;35,772;182,391;138,328;59,370;195,058;162,989;124,448;78,902;191,788;185,336;95,088;95,088;78,311;109,904;27,990;94,204;93,904;164,096;95,088;93,128
2,5;133,783;141,628;253,544;201,692;181,378;188,543;70,022;99,156;216,027;189,377;165,869;178,536;175,965;164,859;106,018;70,309;104,731;105,353;155,108;162,755;158,911;353,098;45,542;104,998;104,298;73,387;99,496;276,831;148,172;285,512;232,026;255,667;149,867;96,391;44,847;182,793;137,571;59,565;195,712;163,516;125,311;79,102;192,139;186,015;95,335;95,335;78,392;109,900;31,146;94,798;94,213;164,325;95,335;93,938
3;134,443;141,555;253,850;201,836;181,942;188,532;70,189;99,216;216,267;189,477;165,872;179,087;176,690;164,932;104,504;80,390;104,950;106,017;155,765;163,223;159,334;353,124;46,997;105,041;104,278;73,327;99,330;272,556;148,375;285,871;233,455;255,816;149,867;101,566;53,922;183,195;136,813;59,761;196,367;164,759;126,174;79,301;192,491;186,694;95,582;95,582;78,474;109,897;34,302;95,392;94,522;164,759;95,582;94,748
