;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,074498;0,033958;0,124681
2018-01-01 00:30:00;0,074255;0,034203;0,124686
2018-01-01 00:45:00;0,074008;0,034445;0,124688
2018-01-01 01:00:00;0,073762;0,034687;0,124690
2018-01-01 01:15:00;0,073517;0,034930;0,124694
2018-01-01 01:30:00;0,073229;0,034415;0,124642
2018-01-01 01:45:00;0,073151;0,033633;0,124558
2018-01-01 02:00:00;0,073059;0,032843;0,124461
2018-01-01 02:15:00;0,072953;0,032044;0,124353
2018-01-01 02:30:00;0,074414;0,032843;0,125095
2018-01-01 02:45:00;0,075913;0,034396;0,125889
2018-01-01 03:00:00;0,077421;0,035954;0,126690
2018-01-01 03:15:00;0,078937;0,037516;0,127500
2018-01-01 03:30:00;0,080965;0,039060;0,129152
2018-01-01 03:45:00;0,081416;0,038999;0,129945
2018-01-01 04:00:00;0,081861;0,038934;0,130734
2018-01-01 04:15:00;0,082300;0,038865;0,131518
2018-01-01 04:30:00;0,083757;0,039665;0,134740
2018-01-01 04:45:00;0,084704;0,040481;0,137121
2018-01-01 05:00:00;0,085649;0,041297;0,139500
2018-01-01 05:15:00;0,086593;0,042110;0,141878
2018-01-01 05:30:00;0,088139;0,043438;0,144963
2018-01-01 05:45:00;0,088660;0,043893;0,145604
2018-01-01 06:00:00;0,089180;0,044347;0,146245
2018-01-01 06:15:00;0,089701;0,044801;0,146886
2018-01-01 06:30:00;0,091163;0,046253;0,147155
2018-01-01 06:45:00;0,092033;0,047197;0,146724
2018-01-01 07:00:00;0,092911;0,048146;0,146301
2018-01-01 07:15:00;0,093788;0,049088;0,145885
2018-01-01 07:30:00;0,095210;0,051298;0,146203
2018-01-01 07:45:00;0,095688;0,052488;0,146908
2018-01-01 08:00:00;0,096143;0,053637;0,147616
2018-01-01 08:15:00;0,096577;0,054747;0,148329
2018-01-01 08:30:00;0,097411;0,056415;0,150360
2018-01-01 08:45:00;0,097702;0,056794;0,151682
2018-01-01 09:00:00;0,097999;0,057173;0,153014
2018-01-01 09:15:00;0,098330;0,057593;0,154361
2018-01-01 09:30:00;0,098754;0,058197;0,155213
