;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,044930;0,011959;0,108443
2018-01-01 00:30:00;0,044965;0,011957;0,108247
2018-01-01 00:45:00;0,044999;0,011954;0,108049
2018-01-01 01:00:00;0,045034;0,011952;0,107853
2018-01-01 01:15:00;0,045069;0,011950;0,107658
2018-01-01 01:30:00;0,045077;0,011970;0,107455
2018-01-01 01:45:00;0,045044;0,011992;0,107421
2018-01-01 02:00:00;0,045009;0,012014;0,107376
2018-01-01 02:15:00;0,044971;0,012036;0,107320
2018-01-01 02:30:00;0,045260;0,012160;0,110028
2018-01-01 02:45:00;0,045575;0,012261;0,112741
2018-01-01 03:00:00;0,045891;0,012363;0,115461
2018-01-01 03:15:00;0,046210;0,012465;0,118188
2018-01-01 03:30:00;0,046867;0,013583;0,120177
2018-01-01 03:45:00;0,047197;0,014599;0,119392
2018-01-01 04:00:00;0,047526;0,015614;0,118603
2018-01-01 04:15:00;0,047853;0,016630;0,117809
2018-01-01 04:30:00;0,050014;0,018856;0,119964
2018-01-01 04:45:00;0,051835;0,020065;0,122856
2018-01-01 05:00:00;0,053656;0,021274;0,125746
2018-01-01 05:15:00;0,055476;0,022484;0,128633
2018-01-01 05:30:00;0,060724;0,024959;0,140653
2018-01-01 05:45:00;0,064137;0,026223;0,149713
2018-01-01 06:00:00;0,067549;0,027486;0,158769
2018-01-01 06:15:00;0,070960;0,028750;0,167821
2018-01-01 06:30:00;0,077362;0,030508;0,186068
2018-01-01 06:45:00;0,080336;0,031001;0,195191
2018-01-01 07:00:00;0,083312;0,031494;0,204329
2018-01-01 07:15:00;0,086291;0,031989;0,213492
2018-01-01 07:30:00;0,092427;0,034151;0,226580
2018-01-01 07:45:00;0,095577;0,035825;0,230530
2018-01-01 08:00:00;0,098730;0,037505;0,234536
2018-01-01 08:15:00;0,101886;0,039192;0,238601
2018-01-01 08:30:00;0,106889;0,042392;0,244557
2018-01-01 08:45:00;0,108747;0,043932;0,246682
2018-01-01 09:00:00;0,110611;0,045475;0,248840
2018-01-01 09:15:00;0,112480;0,047017;0,251002
2018-01-01 09:30:00;0,114720;0,048736;0,252030
2018-01-01 09:45:00;0,115120;0,048947;0,251213
2018-01-01 10:00:00;0,115518;0,049159;0,250397
2018-01-01 10:15:00;0,115914;0,049372;0,249574
2018-01-01 10:30:00;0,116501;0,049704;0,248746
2018-01-01 10:45:00;0,116715;0,049851;0,248995
2018-01-01 11:00:00;0,116924;0,049993;0,249195
2018-01-01 11:15:00;0,117129;0,050126;0,249323
2018-01-01 11:30:00;0,117236;0,051012;0,247905
2018-01-01 11:45:00;0,117147;0,051770;0,246416
2018-01-01 12:00:00;0,117057;0,052526;0,244913
2018-01-01 12:15:00;0,116968;0,053279;0,243397
2018-01-01 12:30:00;0,116979;0,053909;0,243062
2018-01-01 12:45:00;0,117081;0,053772;0,244159
2018-01-01 13:00:00;0,117179;0,053630;0,245220
2018-01-01 13:15:00;0,117272;0,053486;0,246250
2018-01-01 13:30:00;0,116696;0,052226;0,247443
2018-01-01 13:45:00;0,116009;0,051079;0,247361
2018-01-01 14:00:00;0,115315;0,049931;0,247239
2018-01-01 14:15:00;0,114615;0,048781;0,247079
2018-01-01 14:30:00;0,112959;0,047268;0,245460
2018-01-01 14:45:00;0,111961;0,046864;0,243599
2018-01-01 15:00:00;0,110963;0,046463;0,241752
2018-01-01 15:15:00;0,109964;0,046067;0,239938
2018-01-01 15:30:00;0,107577;0,044502;0,237834
2018-01-01 15:45:00;0,106141;0,043304;0,237203
2018-01-01 16:00:00;0,104708;0,042114;0,236627
2018-01-01 16:15:00;0,103278;0,040930;0,236096
2018-01-01 16:30:00;0,100191;0,038405;0,234643
2018-01-01 16:45:00;0,098501;0,037060;0,233565
2018-01-01 17:00:00;0,096817;0,035716;0,232509
2018-01-01 17:15:00;0,095137;0,034372;0,231475
2018-01-01 17:30:00;0,091485;0,032117;0,228353
2018-01-01 17:45:00;0,089498;0,031204;0,226192
2018-01-01 18:00:00;0,087510;0,030292;0,224025
2018-01-01 18:15:00;0,085521;0,029379;0,221853
2018-01-01 18:30:00;0,082048;0,028097;0,218106
2018-01-01 18:45:00;0,080554;0,027726;0,216481
2018-01-01 19:00:00;0,079064;0,027355;0,214873
2018-01-01 19:15:00;0,077577;0,026985;0,213281
2018-01-01 19:30:00;0,072908;0,026364;0,194388
2018-01-01 19:45:00;0,069724;0,026112;0,177072
2018-01-01 20:00:00;0,066537;0,025860;0,159747
2018-01-01 20:15:00;0,063348;0,025608;0,142414
2018-01-01 20:30:00;0,059139;0,025255;0,121947
2018-01-01 20:45:00;0,058115;0,025153;0,118796
2018-01-01 21:00:00;0,057092;0,025052;0,115652
2018-01-01 21:15:00;0,056070;0,024950;0,112513
2018-01-01 21:30:00;0,053834;0,023663;0,108991
2018-01-01 21:45:00;0,052618;0,022477;0,108603
2018-01-01 22:00:00;0,051403;0,021290;0,108215
2018-01-01 22:15:00;0,050187;0,020104;0,107827
2018-01-01 22:30:00;0,048291;0,017514;0,107292
2018-01-01 22:45:00;0,047610;0,016110;0,107142
2018-01-01 23:00:00;0,046929;0,014707;0,106988
2018-01-01 23:15:00;0,046246;0,013303;0,106831
2018-01-01 23:30:00;0,050778;0,015058;0,110829
2018-01-01 23:45:00;0,055990;0,018217;0,114974
2018-01-02 00:00:00;0,061202;0,021376;0,119121
2018-01-02 00:15:00;0,066414;0,024535;0,123270
2018-01-02 00:30:00;0,071571;0,027695;0,126887
2018-01-02 00:45:00;0,071511;0,027696;0,126341
2018-01-02 01:00:00;0,071450;0,027696;0,125790
2018-01-02 01:15:00;0,071387;0,027696;0,125234
2018-01-02 01:30:00;0,071440;0,027698;0,124756
2018-01-02 01:45:00;0,071549;0,027697;0,124808
2018-01-02 02:00:00;0,071657;0,027697;0,124862
2018-01-02 02:15:00;0,071766;0,027697;0,124916
2018-01-02 02:30:00;0,072465;0,027923;0,126249
2018-01-02 02:45:00;0,073047;0,028147;0,127500
2018-01-02 03:00:00;0,073628;0,028372;0,128751
2018-01-02 03:15:00;0,074209;0,028596;0,130000
2018-01-02 03:30:00;0,075803;0,031280;0,133242
2018-01-02 03:45:00;0,076808;0,033739;0,135210
2018-01-02 04:00:00;0,077815;0,036198;0,137183
2018-01-02 04:15:00;0,078823;0,038658;0,139161
2018-01-02 04:30:00;0,083130;0,044869;0,145751
2018-01-02 04:45:00;0,086425;0,048620;0,150352
