;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,014740;0,003675;0,048250
2018-01-01 00:30:00;0,014729;0,003680;0,048274
2018-01-01 00:45:00;0,014718;0,003685;0,048298
2018-01-01 01:00:00;0,014708;0,003689;0,048322
2018-01-01 01:15:00;0,014697;0,003694;0,048346
2018-01-01 01:30:00;0,014677;0,003706;0,048271
2018-01-01 01:45:00;0,014667;0,003712;0,048164
2018-01-01 02:00:00;0,014657;0,003718;0,048055
2018-01-01 02:15:00;0,014647;0,003724;0,047942
2018-01-01 02:30:00;0,014670;0,003738;0,047852
2018-01-01 02:45:00;0,014702;0,003745;0,047860
2018-01-01 03:00:00;0,014734;0,003752;0,047870
2018-01-01 03:15:00;0,014767;0,003759;0,047882
2018-01-01 03:30:00;0,014928;0,003776;0,049176
2018-01-01 03:45:00;0,015056;0,003783;0,050445
2018-01-01 04:00:00;0,015183;0,003791;0,051713
2018-01-01 04:15:00;0,015311;0,003799;0,052979
2018-01-01 04:30:00;0,016412;0,003892;0,066002
2018-01-01 04:45:00;0,017385;0,003976;0,077741
2018-01-01 05:00:00;0,018358;0,004060;0,089476
2018-01-01 05:15:00;0,019330;0,004144;0,101208
2018-01-01 05:30:00;0,025181;0,004732;0,131497
2018-01-01 05:45:00;0,030056;0,005234;0,150019
2018-01-01 06:00:00;0,034932;0,005735;0,168535
2018-01-01 06:15:00;0,039807;0,006237;0,187047
2018-01-01 06:30:00;0,046857;0,007662;0,205596
2018-01-01 06:45:00;0,049029;0,008584;0,205588
2018-01-01 07:00:00;0,051202;0,009505;0,205588
2018-01-01 07:15:00;0,053375;0,010427;0,205600
2018-01-01 07:30:00;0,058729;0,012975;0,208384
2018-01-01 07:45:00;0,061907;0,014601;0,211153
2018-01-01 08:00:00;0,065085;0,016226;0,213943
2018-01-01 08:15:00;0,068263;0,017852;0,216753
2018-01-01 08:30:00;0,074415;0,021068;0,220639
2018-01-01 08:45:00;0,077389;0,022660;0,221792
2018-01-01 09:00:00;0,080364;0,024252;0,222956
2018-01-01 09:15:00;0,083341;0,025846;0,224125
2018-01-01 09:30:00;0,086336;0,027472;0,224956
2018-01-01 09:45:00;0,086358;0,027509;0,224731
2018-01-01 10:00:00;0,086380;0,027546;0,224504
2018-01-01 10:15:00;0,086400;0,027582;0,224272
2018-01-01 10:30:00;0,086359;0,027609;0,223966
2018-01-01 10:45:00;0,086299;0,027604;0,223982
2018-01-01 11:00:00;0,086238;0,027598;0,223979
2018-01-01 11:15:00;0,086178;0,027592;0,223953
2018-01-01 11:30:00;0,086120;0,027607;0,224080
2018-01-01 11:45:00;0,086124;0,027630;0,224258
2018-01-01 12:00:00;0,086129;0,027653;0,224430
2018-01-01 12:15:00;0,086134;0,027676;0,224599
2018-01-01 12:30:00;0,086083;0,027669;0,224483
2018-01-01 12:45:00;0,086029;0,027640;0,224175
2018-01-01 13:00:00;0,085974;0,027610;0,223850
2018-01-01 13:15:00;0,085918;0,027579;0,223512
2018-01-01 13:30:00;0,085737;0,027509;0,223244
2018-01-01 13:45:00;0,085610;0,027466;0,223224
2018-01-01 14:00:00;0,085482;0,027423;0,223184
2018-01-01 14:15:00;0,085353;0,027377;0,223126
2018-01-01 14:30:00;0,085234;0,027346;0,222954
2018-01-01 14:45:00;0,085239;0,027352;0,222680
2018-01-01 15:00:00;0,085243;0,027358;0,222410
2018-01-01 15:15:00;0,085246;0,027363;0,222149
2018-01-01 15:30:00;0,085583;0,027435;0,222630
2018-01-01 15:45:00;0,085907;0,027491;0,223225
2018-01-01 16:00:00;0,086231;0,027548;0,223839
2018-01-01 16:15:00;0,086555;0,027605;0,224468
2018-01-01 16:30:00;0,086882;0,027658;0,225205
2018-01-01 16:45:00;0,086876;0,027646;0,225231
2018-01-01 17:00:00;0,086872;0,027635;0,225269
2018-01-01 17:15:00;0,086869;0,027625;0,225318
2018-01-01 17:30:00;0,086885;0,027635;0,225170
2018-01-01 17:45:00;0,086900;0,027651;0,224933
2018-01-01 18:00:00;0,086915;0,027666;0,224693
2018-01-01 18:15:00;0,086929;0,027680;0,224450
2018-01-01 18:30:00;0,085646;0,027008;0,222676
2018-01-01 18:45:00;0,084346;0,026318;0,221114
2018-01-01 19:00:00;0,083047;0,025629;0,219561
2018-01-01 19:15:00;0,081750;0,024941;0,218016
2018-01-01 19:30:00;0,072453;0,020772;0,210941
2018-01-01 19:45:00;0,064454;0,017290;0,205396
2018-01-01 20:00:00;0,056454;0,013807;0,199845
2018-01-01 20:15:00;0,048453;0,010324;0,194287
2018-01-01 20:30:00;0,037857;0,006597;0,167469
2018-01-01 20:45:00;0,035260;0,006352;0,146190
2018-01-01 21:00:00;0,032664;0,006107;0,124917
2018-01-01 21:15:00;0,030068;0,005863;0,103650
2018-01-01 21:30:00;0,025862;0,005413;0,077899
2018-01-01 21:45:00;0,024251;0,005209;0,073407
2018-01-01 22:00:00;0,022640;0,005004;0,068916
2018-01-01 22:15:00;0,021029;0,004799;0,064425
2018-01-01 22:30:00;0,018716;0,004441;0,059098
2018-01-01 22:45:00;0,018014;0,004288;0,058261
2018-01-01 23:00:00;0,017312;0,004135;0,057423
2018-01-01 23:15:00;0,016610;0,003982;0,056585
2018-01-01 23:30:00;0,019958;0,007567;0,058070
2018-01-01 23:45:00;0,024008;0,011305;0,060390
2018-01-02 00:00:00;0,028058;0,015043;0,062711
2018-01-02 00:15:00;0,032108;0,018781;0,065032
2018-01-02 00:30:00;0,035961;0,022479;0,066450
2018-01-02 00:45:00;0,035764;0,022438;0,065544
2018-01-02 01:00:00;0,035566;0,022397;0,064636
2018-01-02 01:15:00;0,035368;0,022356;0,063728
2018-01-02 01:30:00;0,035176;0,022276;0,062736
2018-01-02 01:45:00;0,035180;0,022237;0,062647
2018-01-02 02:00:00;0,035184;0,022197;0,062558
2018-01-02 02:15:00;0,035188;0,022157;0,062470
2018-01-02 02:30:00;0,035205;0,022109;0,062332
2018-01-02 02:45:00;0,035217;0,022098;0,062276
2018-01-02 03:00:00;0,035229;0,022088;0,062220
2018-01-02 03:15:00;0,035241;0,022077;0,062164
2018-01-02 03:30:00;0,035494;0,022077;0,062467
2018-01-02 03:45:00;0,035734;0,022086;0,062820
2018-01-02 04:00:00;0,035975;0,022096;0,063175
2018-01-02 04:15:00;0,036215;0,022105;0,063530
2018-01-02 04:30:00;0,038404;0,022478;0,079198
2018-01-02 04:45:00;0,040352;0,022841;0,094508
2018-01-02 05:00:00;0,042300;0,023203;0,109819
2018-01-02 05:15:00;0,044248;0,023565;0,125130
2018-01-02 05:30:00;0,059749;0,026364;0,165648
2018-01-02 05:45:00;0,073301;0,028800;0,190851
2018-01-02 06:00:00;0,086853;0,031235;0,216052
2018-01-02 06:15:00;0,100404;0,033670;0,241250
2018-01-02 06:30:00;0,118714;0,037920;0,265584
2018-01-02 06:45:00;0,123472;0,039735;0,264716
2018-01-02 07:00:00;0,128230;0,041550;0,263855
2018-01-02 07:15:00;0,132989;0,043366;0,263004
2018-01-02 07:30:00;0,146353;0,059067;0,265870
2018-01-02 07:45:00;0,154960;0,072956;0,269624
2018-01-02 08:00:00;0,163567;0,086848;0,273399
2018-01-02 08:15:00;0,172175;0,100744;0,277194
2018-01-02 08:30:00;0,189450;0,125360;0,283488
2018-01-02 08:45:00;0,198122;0,136100;0,286095
2018-01-02 09:00:00;0,206797;0,146846;0,288702
2018-01-02 09:15:00;0,215475;0,157599;0,291308
2018-01-02 09:30:00;0,224099;0,168396;0,293272
2018-01-02 09:45:00;0,224061;0,168481;0,292751
2018-01-02 10:00:00;0,224019;0,168561;0,292236
2018-01-02 10:15:00;0,223976;0,168639;0,291725
2018-01-02 10:30:00;0,223905;0,168892;0,290788
2018-01-02 10:45:00;0,223889;0,169100;0,290478
2018-01-02 11:00:00;0,223871;0,169304;0,290155
2018-01-02 11:15:00;0,223855;0,169507;0,289809
2018-01-02 11:30:00;0,223965;0,169954;0,290211
2018-01-02 11:45:00;0,224101;0,170221;0,291028
2018-01-02 12:00:00;0,224238;0,170491;0,291841
2018-01-02 12:15:00;0,224377;0,170764;0,292651
2018-01-02 12:30:00;0,224294;0,170859;0,293270
2018-01-02 12:45:00;0,224082;0,170703;0,293103
2018-01-02 13:00:00;0,223867;0,170539;0,292919
2018-01-02 13:15:00;0,223649;0,170367;0,292718
2018-01-02 13:30:00;0,223391;0,170115;0,292832
2018-01-02 13:45:00;0,223350;0,170028;0,293092
2018-01-02 14:00:00;0,223308;0,169934;0,293325
2018-01-02 14:15:00;0,223265;0,169835;0,293523
2018-01-02 14:30:00;0,223230;0,169935;0,293380
2018-01-02 14:45:00;0,223229;0,170100;0,292880
2018-01-02 15:00:00;0,223228;0,170265;0,292382
2018-01-02 15:15:00;0,223225;0,170427;0,291897
2018-01-02 15:30:00;0,223519;0,170881;0,291601
2018-01-02 15:45:00;0,223803;0,171130;0,291643
2018-01-02 16:00:00;0,224086;0,171382;0,291712
2018-01-02 16:15:00;0,224370;0,171637;0,291803
2018-01-02 16:30:00;0,224773;0,171917;0,292680
2018-01-02 16:45:00;0,224879;0,171910;0,293402
2018-01-02 17:00:00;0,224985;0,171905;0,294129
2018-01-02 17:15:00;0,225093;0,171902;0,294859
2018-01-02 17:30:00;0,225302;0,172010;0,295209
2018-01-02 17:45:00;0,225395;0,172102;0,294794
2018-01-02 18:00:00;0,225490;0,172196;0,294383
2018-01-02 18:15:00;0,225585;0,172291;0,293975
2018-01-02 18:30:00;0,221735;0,167556;0,291613
2018-01-02 18:45:00;0,217785;0,162715;0,289642
2018-01-02 19:00:00;0,213837;0,157877;0,287674
2018-01-02 19:15:00;0,209889;0,153040;0,285709
2018-01-02 19:30:00;0,184609;0,126983;0,276600
2018-01-02 19:45:00;0,163275;0,105759;0,269445
2018-01-02 20:00:00;0,141940;0,084535;0,262281
2018-01-02 20:15:00;0,120605;0,063309;0,255110
2018-01-02 20:30:00;0,092694;0,040769;0,218959
2018-01-02 20:45:00;0,086116;0,039453;0,189957
2018-01-02 21:00:00;0,079540;0,038138;0,160964
2018-01-02 21:15:00;0,072965;0,036825;0,131981
2018-01-02 21:30:00;0,062537;0,033979;0,098070
2018-01-02 21:45:00;0,058685;0,032447;0,093138
2018-01-02 22:00:00;0,054833;0,030915;0,088206
2018-01-02 22:15:00;0,050980;0,029382;0,083271
2018-01-02 22:30:00;0,045364;0,026882;0,077210
2018-01-02 22:45:00;0,043602;0,025917;0,076089
2018-01-02 23:00:00;0,041841;0,024952;0,074969
2018-01-02 23:15:00;0,040080;0,023989;0,073852
2018-01-02 23:30:00;0,037822;0,022900;0,071629
2018-01-02 23:45:00;0,037328;0,022779;0,070534
2018-01-03 00:00:00;0,036833;0,022658;0,069439
2018-01-03 00:15:00;0,036339;0,022537;0,068344
2018-01-03 00:30:00;0,035625;0,022356;0,066270
2018-01-03 00:45:00;0,035408;0,022300;0,065304
2018-01-03 01:00:00;0,035191;0,022245;0,064340
2018-01-03 01:15:00;0,034974;0,022190;0,063376
2018-01-03 01:30:00;0,034731;0,022091;0,062230
2018-01-03 01:45:00;0,034708;0,022052;0,062065
2018-01-03 02:00:00;0,034685;0,022014;0,061900
2018-01-03 02:15:00;0,034662;0,021975;0,061737
2018-01-03 02:30:00;0,034665;0,021900;0,061605
2018-01-03 02:45:00;0,034695;0,021870;0,061661
2018-01-03 03:00:00;0,034725;0,021842;0,061721
2018-01-03 03:15:00;0,034756;0,021814;0,061783
2018-01-03 03:30:00;0,035058;0,021814;0,062442
2018-01-03 03:45:00;0,035334;0,021852;0,063072
2018-01-03 04:00:00;0,035610;0,021890;0,063702
2018-01-03 04:15:00;0,035886;0,021928;0,064332
2018-01-03 04:30:00;0,038325;0,022213;0,089712
2018-01-03 04:45:00;0,040493;0,022469;0,114494
2018-01-03 05:00:00;0,042660;0,022723;0,139270
2018-01-03 05:15:00;0,044826;0,022975;0,164042
2018-01-03 05:30:00;0,059019;0,026333;0,204834
2018-01-03 05:45:00;0,071048;0,029444;0,220881
2018-01-03 06:00:00;0,083079;0,032556;0,236938
2018-01-03 06:15:00;0,095111;0,035669;0,253004
2018-01-03 06:30:00;0,112818;0,044055;0,268194
2018-01-03 06:45:00;0,118498;0,049333;0,267356
2018-01-03 07:00:00;0,124176;0,054609;0,266505
2018-01-03 07:15:00;0,129851;0,059882;0,265644
2018-01-03 07:30:00;0,144353;0,073920;0,268107
2018-01-03 07:45:00;0,153180;0,082685;0,271457
2018-01-03 08:00:00;0,162006;0,091451;0,274821
2018-01-03 08:15:00;0,170832;0,100218;0,278196
2018-01-03 08:30:00;0,189235;0,121224;0,283599
2018-01-03 08:45:00;0,198808;0,133463;0,285680
2018-01-03 09:00:00;0,208380;0,145700;0,287762
2018-01-03 09:15:00;0,217952;0,157937;0,289840
2018-01-03 09:30:00;0,227552;0,170282;0,292446
2018-01-03 09:45:00;0,227575;0,170387;0,293025
2018-01-03 10:00:00;0,227597;0,170489;0,293597
2018-01-03 10:15:00;0,227620;0,170591;0,294157
2018-01-03 10:30:00;0,227635;0,170689;0,294154
2018-01-03 10:45:00;0,227617;0,170668;0,293607
2018-01-03 11:00:00;0,227597;0,170643;0,293048
2018-01-03 11:15:00;0,227577;0,170615;0,292468
2018-01-03 11:30:00;0,227691;0,170579;0,291989
2018-01-03 11:45:00;0,227814;0,170546;0,292061
2018-01-03 12:00:00;0,227941;0,170522;0,292137
2018-01-03 12:15:00;0,228072;0,170506;0,292218
2018-01-03 12:30:00;0,228145;0,170449;0,292440
2018-01-03 12:45:00;0,228084;0,170399;0,292545
2018-01-03 13:00:00;0,228023;0,170346;0,292632
2018-01-03 13:15:00;0,227961;0,170291;0,292706
2018-01-03 13:30:00;0,227898;0,170258;0,293123
2018-01-03 13:45:00;0,227895;0,170266;0,293385
2018-01-03 14:00:00;0,227893;0,170274;0,293631
2018-01-03 14:15:00;0,227890;0,170279;0,293867
2018-01-03 14:30:00;0,228030;0,170487;0,293384
2018-01-03 14:45:00;0,228170;0,170669;0,292538
2018-01-03 15:00:00;0,228309;0,170850;0,291699
2018-01-03 15:15:00;0,228446;0,171029;0,290873
2018-01-03 15:30:00;0,228627;0,171527;0,290332
2018-01-03 15:45:00;0,228663;0,171819;0,290517
2018-01-03 16:00:00;0,228697;0,172111;0,290717
2018-01-03 16:15:00;0,228731;0,172403;0,290929
2018-01-03 16:30:00;0,228851;0,172821;0,292005
2018-01-03 16:45:00;0,228927;0,172925;0,292826
2018-01-03 17:00:00;0,229006;0,173035;0,293656
2018-01-03 17:15:00;0,229087;0,173149;0,294496
2018-01-03 17:30:00;0,229196;0,173279;0,295184
2018-01-03 17:45:00;0,229221;0,173286;0,295019
2018-01-03 18:00:00;0,229245;0,173291;0,294848
2018-01-03 18:15:00;0,229267;0,173291;0,294671
2018-01-03 18:30:00;0,225269;0,168475;0,292564
2018-01-03 18:45:00;0,221246;0,163649;0,290617
2018-01-03 19:00:00;0,217223;0,158825;0,288674
2018-01-03 19:15:00;0,213201;0,154002;0,286735
2018-01-03 19:30:00;0,187161;0,127801;0,277495
2018-01-03 19:45:00;0,165140;0,106417;0,270189
2018-01-03 20:00:00;0,143120;0,085035;0,262888
2018-01-03 20:15:00;0,121101;0,063654;0,255593
2018-01-03 20:30:00;0,092366;0,040941;0,218951
2018-01-03 20:45:00;0,085651;0,039609;0,189613
2018-01-03 21:00:00;0,078936;0,038276;0,160269
2018-01-03 21:15:00;0,072220;0,036943;0,130920
2018-01-03 21:30:00;0,061660;0,034061;0,096944
2018-01-03 21:45:00;0,057815;0,032512;0,092315
2018-01-03 22:00:00;0,053970;0,030964;0,087686
2018-01-03 22:15:00;0,050126;0,029415;0,083058
2018-01-03 22:30:00;0,044564;0,026906;0,077318
2018-01-03 22:45:00;0,042847;0,025945;0,076203
2018-01-03 23:00:00;0,041130;0,024984;0,075091
2018-01-03 23:15:00;0,039413;0,024025;0,073982
2018-01-03 23:30:00;0,037484;0,022979;0,071830
2018-01-03 23:45:00;0,037272;0,022893;0,070789
2018-01-04 00:00:00;0,037060;0,022806;0,069745
2018-01-04 00:15:00;0,036847;0,022719;0,068697
2018-01-04 00:30:00;0,036426;0,022613;0,066692
2018-01-04 00:45:00;0,036218;0,022594;0,065731
2018-01-04 01:00:00;0,036010;0,022575;0,064771
2018-01-04 01:15:00;0,035803;0,022557;0,063812
2018-01-04 01:30:00;0,035545;0,022490;0,062708
2018-01-04 01:45:00;0,035495;0,022441;0,062561
2018-01-04 02:00:00;0,035445;0,022392;0,062414
2018-01-04 02:15:00;0,035395;0,022343;0,062269
2018-01-04 02:30:00;0,035369;0,022273;0,062178
2018-01-04 02:45:00;0,035392;0,022251;0,062233
