;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,023543;0,008024;0,075198
2018-01-01 00:30:00;0,023472;0,008020;0,075670
2018-01-01 00:45:00;0,023400;0,008015;0,076140
2018-01-01 01:00:00;0,023328;0,008011;0,076611
2018-01-01 01:15:00;0,023256;0,008007;0,077082
2018-01-01 01:30:00;0,023145;0,007972;0,077537
2018-01-01 01:45:00;0,023102;0,007939;0,077510
2018-01-01 02:00:00;0,023059;0,007907;0,077481
2018-01-01 02:15:00;0,023014;0,007874;0,077448
2018-01-01 02:30:00;0,023322;0,007927;0,079040
2018-01-01 02:45:00;0,023670;0,008011;0,080647
2018-01-01 03:00:00;0,024018;0,008095;0,082257
2018-01-01 03:15:00;0,024366;0,008180;0,083869
2018-01-01 03:30:00;0,026547;0,008460;0,089957
2018-01-01 03:45:00;0,028374;0,008654;0,094417
2018-01-01 04:00:00;0,030201;0,008848;0,098875
2018-01-01 04:15:00;0,032026;0,009041;0,103331
2018-01-01 04:30:00;0,036963;0,010078;0,110195
2018-01-01 04:45:00;0,040066;0,010919;0,112583
2018-01-01 05:00:00;0,043169;0,011759;0,114970
2018-01-01 05:15:00;0,046272;0,012600;0,117356
2018-01-01 05:30:00;0,051962;0,015457;0,122561
2018-01-01 05:45:00;0,054540;0,017469;0,125353
2018-01-01 06:00:00;0,057117;0,019481;0,128145
2018-01-01 06:15:00;0,059693;0,021493;0,130937
2018-01-01 06:30:00;0,063314;0,024390;0,135060
2018-01-01 06:45:00;0,064347;0,025271;0,136368
2018-01-01 07:00:00;0,065382;0,026153;0,137678
2018-01-01 07:15:00;0,066416;0,027035;0,138990
2018-01-01 07:30:00;0,068018;0,028282;0,140768
2018-01-01 07:45:00;0,068571;0,028642;0,141213
2018-01-01 08:00:00;0,069118;0,029001;0,141652
2018-01-01 08:15:00;0,069658;0,029358;0,142085
2018-01-01 08:30:00;0,070400;0,029707;0,142469
2018-01-01 08:45:00;0,070572;0,029691;0,142388
2018-01-01 09:00:00;0,070746;0,029676;0,142311
2018-01-01 09:15:00;0,070927;0,029664;0,142246
2018-01-01 09:30:00;0,071499;0,029886;0,143084
2018-01-01 09:45:00;0,071870;0,030117;0,143975
2018-01-01 10:00:00;0,072238;0,030347;0,144862
2018-01-01 10:15:00;0,072606;0,030577;0,145748
2018-01-01 10:30:00;0,073058;0,030797;0,146509
2018-01-01 10:45:00;0,073127;0,030787;0,146375
2018-01-01 11:00:00;0,073200;0,030777;0,146245
2018-01-01 11:15:00;0,073281;0,030769;0,146122
2018-01-01 11:30:00;0,073451;0,030845;0,146091
2018-01-01 11:45:00;0,073538;0,030930;0,146184
2018-01-01 12:00:00;0,073629;0,031016;0,146281
2018-01-01 12:15:00;0,073723;0,031103;0,146382
2018-01-01 12:30:00;0,073698;0,031209;0,146160
2018-01-01 12:45:00;0,073593;0,031232;0,145854
