;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,038264;0,019664;0,096970
2018-01-01 00:30:00;0,038562;0,019756;0,097841
2018-01-01 00:45:00;0,038859;0,019848;0,098710
2018-01-01 01:00:00;0,039156;0,019940;0,099580
2018-01-01 01:15:00;0,039454;0,020032;0,100450
2018-01-01 01:30:00;0,040001;0,020362;0,101559
2018-01-01 01:45:00;0,040244;0,020597;0,101784
2018-01-01 02:00:00;0,040485;0,020830;0,102002
2018-01-01 02:15:00;0,040724;0,021063;0,102216
2018-01-01 02:30:00;0,041224;0,021417;0,103153
2018-01-01 02:45:00;0,041476;0,021532;0,103849
2018-01-01 03:00:00;0,041730;0,021649;0,104550
2018-01-01 03:15:00;0,041984;0,021767;0,105254
2018-01-01 03:30:00;0,042629;0,022236;0,106564
2018-01-01 03:45:00;0,043011;0,022583;0,107147
2018-01-01 04:00:00;0,043392;0,022930;0,107727
2018-01-01 04:15:00;0,043772;0,023275;0,108305
2018-01-01 04:30:00;0,044772;0,023984;0,109816
2018-01-01 04:45:00;0,045382;0,024340;0,110721
2018-01-01 05:00:00;0,045992;0,024696;0,111627
2018-01-01 05:15:00;0,046602;0,025051;0,112531
2018-01-01 05:30:00;0,047963;0,026029;0,115507
2018-01-01 05:45:00;0,048701;0,026644;0,117547
2018-01-01 06:00:00;0,049440;0,027258;0,119586
2018-01-01 06:15:00;0,050178;0,027873;0,121626
2018-01-01 06:30:00;0,051533;0,028736;0,125578
2018-01-01 06:45:00;0,052138;0,028978;0,127464
2018-01-01 07:00:00;0,052745;0,029222;0,129352
2018-01-01 07:15:00;0,053354;0,029471;0,131238
2018-01-01 07:30:00;0,054234;0,029740;0,133794
2018-01-01 07:45:00;0,054503;0,029772;0,134431
2018-01-01 08:00:00;0,054774;0,029816;0,135052
2018-01-01 08:15:00;0,055048;0,029872;0,135657
2018-01-01 08:30:00;0,055048;0,029729;0,136343
2018-01-01 08:45:00;0,054783;0,029580;0,136352
2018-01-01 09:00:00;0,054521;0,029434;0,136364
2018-01-01 09:15:00;0,054262;0,029284;0,136395
2018-01-01 09:30:00;0,054093;0,029187;0,135885
2018-01-01 09:45:00;0,054202;0,029295;0,135297
2018-01-01 10:00:00;0,054311;0,029406;0,134701
2018-01-01 10:15:00;0,054418;0,029515;0,134103
2018-01-01 10:30:00;0,054947;0,029741;0,134196
2018-01-01 10:45:00;0,055384;0,029899;0,134851
2018-01-01 11:00:00;0,055817;0,030048;0,135515
2018-01-01 11:15:00;0,056247;0,030184;0,136196
2018-01-01 11:30:00;0,056737;0,030558;0,137205
2018-01-01 11:45:00;0,056801;0,030805;0,137531
2018-01-01 12:00:00;0,056865;0,031048;0,137864
2018-01-01 12:15:00;0,056928;0,031287;0,138206
2018-01-01 12:30:00;0,057031;0,031611;0,138353
2018-01-01 12:45:00;0,057069;0,031675;0,138198
2018-01-01 13:00:00;0,057104;0,031730;0,138050
2018-01-01 13:15:00;0,057137;0,031780;0,137903
2018-01-01 13:30:00;0,056974;0,031754;0,136603
2018-01-01 13:45:00;0,056765;0,031630;0,135502
2018-01-01 14:00:00;0,056552;0,031501;0,134394
2018-01-01 14:15:00;0,056335;0,031368;0,133282
2018-01-01 14:30:00;0,056186;0,031235;0,132381
2018-01-01 14:45:00;0,056225;0,031165;0,132633
2018-01-01 15:00:00;0,056264;0,031097;0,132883
2018-01-01 15:15:00;0,056304;0,031037;0,133118
2018-01-01 15:30:00;0,056317;0,031024;0,133001
2018-01-01 15:45:00;0,056260;0,031016;0,132652
2018-01-01 16:00:00;0,056206;0,031022;0,132284
2018-01-01 16:15:00;0,056154;0,031038;0,131905
2018-01-01 16:30:00;0,056090;0,030922;0,131319
2018-01-01 16:45:00;0,056060;0,030777;0,131073
2018-01-01 17:00:00;0,056033;0,030634;0,130835
2018-01-01 17:15:00;0,056009;0,030492;0,130605
2018-01-01 17:30:00;0,055516;0,030260;0,130469
2018-01-01 17:45:00;0,055040;0,030164;0,130545
2018-01-01 18:00:00;0,054564;0,030068;0,130619
2018-01-01 18:15:00;0,054087;0,029971;0,130692
2018-01-01 18:30:00;0,054077;0,029705;0,131603
2018-01-01 18:45:00;0,054541;0,029534;0,132432
2018-01-01 19:00:00;0,055006;0,029364;0,133265
2018-01-01 19:15:00;0,055473;0,029195;0,134103
2018-01-01 19:30:00;0,055943;0,028995;0,135511
2018-01-01 19:45:00;0,055946;0,028964;0,136079
2018-01-01 20:00:00;0,055946;0,028931;0,136644
2018-01-01 20:15:00;0,055945;0,028898;0,137203
2018-01-01 20:30:00;0,055855;0,028963;0,137174
2018-01-01 20:45:00;0,055763;0,029060;0,136577
2018-01-01 21:00:00;0,055671;0,029157;0,135983
2018-01-01 21:15:00;0,055580;0,029254;0,135390
2018-01-01 21:30:00;0,055018;0,028901;0,132554
2018-01-01 21:45:00;0,054543;0,028449;0,130305
2018-01-01 22:00:00;0,054069;0,027997;0,128056
2018-01-01 22:15:00;0,053595;0,027546;0,125808
2018-01-01 22:30:00;0,052941;0,026418;0,123118
2018-01-01 22:45:00;0,052758;0,025742;0,122671
2018-01-01 23:00:00;0,052576;0,025065;0,122224
2018-01-01 23:15:00;0,052392;0,024387;0,121774
2018-01-01 23:30:00;0,064986;0,033538;0,128011
2018-01-01 23:45:00;0,077761;0,043364;0,134688
2018-01-02 00:00:00;0,090535;0,053191;0,141367
2018-01-02 00:15:00;0,103310;0,063017;0,148047
2018-01-02 00:30:00;0,116103;0,073814;0,154696
2018-01-02 00:45:00;0,116115;0,074781;0,154656
2018-01-02 01:00:00;0,116126;0,075747;0,154614
2018-01-02 01:15:00;0,116135;0,076711;0,154568
2018-01-02 01:30:00;0,115695;0,077278;0,154456
2018-01-02 01:45:00;0,115236;0,076874;0,154374
2018-01-02 02:00:00;0,114777;0,076470;0,154294
2018-01-02 02:15:00;0,114320;0,076067;0,154214
2018-01-02 02:30:00;0,114644;0,077061;0,154695
2018-01-02 02:45:00;0,115417;0,078450;0,155240
2018-01-02 03:00:00;0,116188;0,079838;0,155784
2018-01-02 03:15:00;0,116959;0,081226;0,156328
2018-01-02 03:30:00;0,118465;0,084034;0,157747
2018-01-02 03:45:00;0,119189;0,085446;0,158608
2018-01-02 04:00:00;0,119915;0,086858;0,159471
2018-01-02 04:15:00;0,120641;0,088271;0,160336
2018-01-02 04:30:00;0,122280;0,091208;0,161800
2018-01-02 04:45:00;0,123187;0,092727;0,162392
2018-01-02 05:00:00;0,124094;0,094247;0,162985
2018-01-02 05:15:00;0,125002;0,095767;0,163579
2018-01-02 05:30:00;0,127841;0,098420;0,168058
2018-01-02 05:45:00;0,129769;0,099551;0,171939
2018-01-02 06:00:00;0,131696;0,100680;0,175818
2018-01-02 06:15:00;0,133621;0,101809;0,179696
2018-01-02 06:30:00;0,136527;0,104499;0,184332
2018-01-02 06:45:00;0,137505;0,106058;0,185085
2018-01-02 07:00:00;0,138485;0,107625;0,185838
2018-01-02 07:15:00;0,139468;0,109208;0,186584
2018-01-02 07:30:00;0,140855;0,110756;0,186884
2018-01-02 07:45:00;0,141270;0,110777;0,186415
2018-01-02 08:00:00;0,141691;0,110837;0,185929
2018-01-02 08:15:00;0,142120;0,110928;0,185430
2018-01-02 08:30:00;0,141463;0,109657;0,184581
2018-01-02 08:45:00;0,140414;0,108449;0,184176
2018-01-02 09:00:00;0,139365;0,107222;0,183787
2018-01-02 09:15:00;0,138317;0,105971;0,183421
2018-01-02 09:30:00;0,137386;0,104868;0,182920
2018-01-02 09:45:00;0,137546;0,105129;0,182781
2018-01-02 10:00:00;0,137706;0,105414;0,182621
2018-01-02 10:15:00;0,137866;0,105717;0,182446
2018-01-02 10:30:00;0,138719;0,106549;0,183058
2018-01-02 10:45:00;0,139450;0,107203;0,183818
2018-01-02 11:00:00;0,140176;0,107842;0,184580
2018-01-02 11:15:00;0,140896;0,108439;0,185366
2018-01-02 11:30:00;0,141640;0,109441;0,186211
2018-01-02 11:45:00;0,141687;0,109909;0,186266
2018-01-02 12:00:00;0,141734;0,110363;0,186333
2018-01-02 12:15:00;0,141783;0,110804;0,186413
2018-01-02 12:30:00;0,141709;0,111309;0,185807
2018-01-02 12:45:00;0,141600;0,111356;0,185160
2018-01-02 13:00:00;0,141484;0,111393;0,184508
2018-01-02 13:15:00;0,141361;0,111423;0,183848
2018-01-02 13:30:00;0,140741;0,111220;0,182106
2018-01-02 13:45:00;0,140229;0,110903;0,181061
2018-01-02 14:00:00;0,139708;0,110553;0,180024
2018-01-02 14:15:00;0,139177;0,110146;0,179012
2018-01-02 14:30:00;0,138985;0,109926;0,177903
2018-01-02 14:45:00;0,139274;0,109895;0,177875
2018-01-02 15:00:00;0,139563;0,109864;0,177848
2018-01-02 15:15:00;0,139853;0,109865;0,177799
2018-01-02 15:30:00;0,140064;0,110043;0,177561
2018-01-02 15:45:00;0,139933;0,110042;0,177411
2018-01-02 16:00:00;0,139811;0,110090;0,177237
2018-01-02 16:15:00;0,139695;0,110176;0,177046
2018-01-02 16:30:00;0,139462;0,110748;0,176286
2018-01-02 16:45:00;0,139317;0,111197;0,175688
2018-01-02 17:00:00;0,139174;0,111648;0,175093
2018-01-02 17:15:00;0,139032;0,112100;0,174500
2018-01-02 17:30:00;0,137823;0,110621;0,173491
2018-01-02 17:45:00;0,136739;0,108675;0,173055
2018-01-02 18:00:00;0,135657;0,106730;0,172620
2018-01-02 18:15:00;0,134577;0,104787;0,172188
2018-01-02 18:30:00;0,134407;0,104047;0,171412
2018-01-02 18:45:00;0,135310;0,105244;0,171058
2018-01-02 19:00:00;0,136215;0,106443;0,170707
2018-01-02 19:15:00;0,137121;0,107643;0,170358
2018-01-02 19:30:00;0,137973;0,108786;0,170318
2018-01-02 19:45:00;0,137912;0,108724;0,170619
2018-01-02 20:00:00;0,137848;0,108659;0,170915
2018-01-02 20:15:00;0,137779;0,108590;0,171206
2018-01-02 20:30:00;0,137195;0,107212;0,171487
2018-01-02 20:45:00;0,136670;0,105896;0,171467
2018-01-02 21:00:00;0,136153;0,104586;0,171454
2018-01-02 21:15:00;0,135641;0,103282;0,171451
2018-01-02 21:30:00;0,133424;0,098302;0,169987
2018-01-02 21:45:00;0,131723;0,094631;0,168532
2018-01-02 22:00:00;0,130020;0,090959;0,167075
2018-01-02 22:15:00;0,128314;0,087284;0,165615
2018-01-02 22:30:00;0,126098;0,081421;0,163637
2018-01-02 22:45:00;0,125596;0,079239;0,163131
2018-01-02 23:00:00;0,125098;0,077060;0,162630
2018-01-02 23:15:00;0,124603;0,074883;0,162135
2018-01-02 23:30:00;0,122903;0,071285;0,161540
2018-01-02 23:45:00;0,121716;0,069875;0,161466
2018-01-03 00:00:00;0,120528;0,068466;0,161392
2018-01-03 00:15:00;0,119340;0,067056;0,161319
2018-01-03 00:30:00;0,118372;0,067024;0,160780
2018-01-03 00:45:00;0,118615;0,068417;0,160348
2018-01-03 01:00:00;0,118861;0,069811;0,159920
2018-01-03 01:15:00;0,119109;0,071208;0,159495
2018-01-03 01:30:00;0,118799;0,072760;0,158538
2018-01-03 01:45:00;0,118273;0,072936;0,158052
2018-01-03 02:00:00;0,117748;0,073114;0,157568
2018-01-03 02:15:00;0,117225;0,073293;0,157086
2018-01-03 02:30:00;0,117246;0,074054;0,157402
2018-01-03 02:45:00;0,117833;0,074666;0,158262
2018-01-03 03:00:00;0,118425;0,075282;0,159128
2018-01-03 03:15:00;0,119021;0,075900;0,160000
2018-01-03 03:30:00;0,120543;0,078464;0,160952
2018-01-03 03:45:00;0,121529;0,080453;0,161116
2018-01-03 04:00:00;0,122517;0,082445;0,161283
2018-01-03 04:15:00;0,123507;0,084439;0,161452
2018-01-03 04:30:00;0,125534;0,088391;0,162442
2018-01-03 04:45:00;0,126629;0,090394;0,163345
2018-01-03 05:00:00;0,127713;0,092390;0,164234
2018-01-03 05:15:00;0,128787;0,094377;0,165108
2018-01-03 05:30:00;0,131793;0,097420;0,168713
2018-01-03 05:45:00;0,133757;0,098503;0,171489
2018-01-03 06:00:00;0,135725;0,099589;0,174270
2018-01-03 06:15:00;0,137697;0,100677;0,177056
2018-01-03 06:30:00;0,140708;0,103351;0,181517
2018-01-03 06:45:00;0,141772;0,104957;0,183224
2018-01-03 07:00:00;0,142827;0,106560;0,184916
2018-01-03 07:15:00;0,143874;0,108170;0,186585
2018-01-03 07:30:00;0,145297;0,110015;0,188314
2018-01-03 07:45:00;0,145681;0,110300;0,188345
2018-01-03 08:00:00;0,146068;0,110616;0,188359
2018-01-03 08:15:00;0,146459;0,110942;0,188370
2018-01-03 08:30:00;0,146063;0,110356;0,187267
2018-01-03 08:45:00;0,145284;0,109558;0,186072
2018-01-03 09:00:00;0,144505;0,108755;0,184878
2018-01-03 09:15:00;0,143723;0,107944;0,183688
2018-01-03 09:30:00;0,142795;0,107118;0,182298
2018-01-03 09:45:00;0,142651;0,107199;0,182025
2018-01-03 10:00:00;0,142505;0,107280;0,181745
2018-01-03 10:15:00;0,142355;0,107347;0,181470
2018-01-03 10:30:00;0,143004;0,108613;0,181465
2018-01-03 10:45:00;0,143791;0,109893;0,181643
2018-01-03 11:00:00;0,144573;0,111161;0,181819
2018-01-03 11:15:00;0,145348;0,112389;0,182014
2018-01-03 11:30:00;0,146236;0,113708;0,182672
2018-01-03 11:45:00;0,146323;0,113807;0,183074
2018-01-03 12:00:00;0,146416;0,113893;0,183499
2018-01-03 12:15:00;0,146516;0,113964;0,183948
2018-01-03 12:30:00;0,146547;0,113708;0,184281
2018-01-03 12:45:00;0,146462;0,113331;0,184170
2018-01-03 13:00:00;0,146373;0,112922;0,184077
2018-01-03 13:15:00;0,146280;0,112493;0,183992
2018-01-03 13:30:00;0,145929;0,112269;0,183067
2018-01-03 13:45:00;0,145644;0,112345;0,182278
2018-01-03 14:00:00;0,145354;0,112390;0,181502
2018-01-03 14:15:00;0,145059;0,112423;0,180728
2018-01-03 14:30:00;0,144858;0,112687;0,179999
2018-01-03 14:45:00;0,144910;0,112725;0,180116
2018-01-03 15:00:00;0,144964;0,112771;0,180231
2018-01-03 15:15:00;0,145020;0,112852;0,180324
2018-01-03 15:30:00;0,144900;0,113004;0,180159
2018-01-03 15:45:00;0,144687;0,112939;0,179936
2018-01-03 16:00:00;0,144477;0,112911;0,179692
2018-01-03 16:15:00;0,144270;0,112909;0,179432
2018-01-03 16:30:00;0,143847;0,112579;0,178717
2018-01-03 16:45:00;0,143611;0,112222;0,178243
2018-01-03 17:00:00;0,143379;0,111870;0,177774
2018-01-03 17:15:00;0,143151;0,111521;0,177311
