;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,060143;0,029595;0,111925
2018-01-01 00:30:00;0,060356;0,029787;0,112509
2018-01-01 00:45:00;0,060571;0,029978;0,113093
2018-01-01 01:00:00;0,060785;0,030170;0,113679
2018-01-01 01:15:00;0,061000;0,030362;0,114266
2018-01-01 01:30:00;0,061301;0,030677;0,114731
2018-01-01 01:45:00;0,061381;0,030796;0,114593
2018-01-01 02:00:00;0,061456;0,030911;0,114435
2018-01-01 02:15:00;0,061524;0,031023;0,114260
2018-01-01 02:30:00;0,061730;0,031213;0,114463
2018-01-01 02:45:00;0,061847;0,031278;0,114781
2018-01-01 03:00:00;0,061966;0,031346;0,115108
2018-01-01 03:15:00;0,062090;0,031415;0,115444
2018-01-01 03:30:00;0,062380;0,031419;0,116288
2018-01-01 03:45:00;0,062529;0,031342;0,116743
2018-01-01 04:00:00;0,062677;0,031265;0,117195
2018-01-01 04:15:00;0,062824;0,031188;0,117645
2018-01-01 04:30:00;0,063113;0,031425;0,118111
2018-01-01 04:45:00;0,063236;0,031728;0,118071
2018-01-01 05:00:00;0,063358;0,032031;0,118029
2018-01-01 05:15:00;0,063479;0,032333;0,117983
2018-01-01 05:30:00;0,064379;0,033120;0,119004
2018-01-01 05:45:00;0,065137;0,033590;0,120005
2018-01-01 06:00:00;0,065895;0,034061;0,121007
2018-01-01 06:15:00;0,066653;0,034532;0,122011
2018-01-01 06:30:00;0,068709;0,035572;0,125018
2018-01-01 06:45:00;0,069987;0,036128;0,126964
2018-01-01 07:00:00;0,071267;0,036685;0,128918
2018-01-01 07:15:00;0,072551;0,037241;0,130881
2018-01-01 07:30:00;0,074003;0,037974;0,133655
2018-01-01 07:45:00;0,074167;0,038138;0,134453
2018-01-01 08:00:00;0,074339;0,038297;0,135272
2018-01-01 08:15:00;0,074518;0,038453;0,136112
2018-01-01 08:30:00;0,074979;0,038799;0,137236
2018-01-01 08:45:00;0,075283;0,038970;0,137581
2018-01-01 09:00:00;0,075588;0,039145;0,137930
2018-01-01 09:15:00;0,075895;0,039323;0,138283
2018-01-01 09:30:00;0,076395;0,039445;0,139054
2018-01-01 09:45:00;0,076620;0,039376;0,139560
2018-01-01 10:00:00;0,076844;0,039304;0,140062
2018-01-01 10:15:00;0,077067;0,039228;0,140563
2018-01-01 10:30:00;0,077380;0,039251;0,140908
2018-01-01 10:45:00;0,077493;0,039338;0,140819
2018-01-01 11:00:00;0,077602;0,039431;0,140718
2018-01-01 11:15:00;0,077706;0,039529;0,140604
2018-01-01 11:30:00;0,077812;0,039663;0,140389
2018-01-01 11:45:00;0,077821;0,039704;0,140311
2018-01-01 12:00:00;0,077829;0,039746;0,140228
2018-01-01 12:15:00;0,077836;0,039790;0,140142
2018-01-01 12:30:00;0,077834;0,039693;0,140493
2018-01-01 12:45:00;0,077817;0,039569;0,140913
2018-01-01 13:00:00;0,077794;0,039450;0,141317
2018-01-01 13:15:00;0,077769;0,039327;0,141712
2018-01-01 13:30:00;0,077590;0,039139;0,141626
2018-01-01 13:45:00;0,077409;0,039091;0,141072
2018-01-01 14:00:00;0,077223;0,039042;0,140503
2018-01-01 14:15:00;0,077034;0,038985;0,139924
2018-01-01 14:30:00;0,076729;0,038779;0,139970
2018-01-01 14:45:00;0,076571;0,038637;0,140472
2018-01-01 15:00:00;0,076414;0,038494;0,140981
2018-01-01 15:15:00;0,076261;0,038347;0,141499
2018-01-01 15:30:00;0,076047;0,038098;0,141700
2018-01-01 15:45:00;0,075948;0,037994;0,141275
2018-01-01 16:00:00;0,075853;0,037885;0,140859
2018-01-01 16:15:00;0,075760;0,037773;0,140452
2018-01-01 16:30:00;0,075691;0,037825;0,139766
2018-01-01 16:45:00;0,075691;0,037977;0,139420
2018-01-01 17:00:00;0,075694;0,038130;0,139080
2018-01-01 17:15:00;0,075700;0,038285;0,138748
2018-01-01 17:30:00;0,075493;0,038403;0,137794
2018-01-01 17:45:00;0,075262;0,038354;0,137121
2018-01-01 18:00:00;0,075029;0,038303;0,136438
2018-01-01 18:15:00;0,074792;0,038249;0,135743
2018-01-01 18:30:00;0,074318;0,037790;0,135356
2018-01-01 18:45:00;0,074063;0,037372;0,135607
2018-01-01 19:00:00;0,073813;0,036958;0,135876
2018-01-01 19:15:00;0,073570;0,036548;0,136164
2018-01-01 19:30:00;0,073239;0,036034;0,136206
2018-01-01 19:45:00;0,073141;0,035924;0,135932
2018-01-01 20:00:00;0,073037;0,035811;0,135641
2018-01-01 20:15:00;0,072928;0,035693;0,135334
2018-01-01 20:30:00;0,072603;0,035621;0,134580
2018-01-01 20:45:00;0,072372;0,035655;0,134087
2018-01-01 21:00:00;0,072146;0,035693;0,133609
2018-01-01 21:15:00;0,071925;0,035733;0,133146
2018-01-01 21:30:00;0,071340;0,035500;0,132271
2018-01-01 21:45:00;0,070970;0,035222;0,131841
2018-01-01 22:00:00;0,070601;0,034944;0,131415
2018-01-01 22:15:00;0,070234;0,034667;0,130990
2018-01-01 22:30:00;0,069515;0,034263;0,129591
2018-01-01 22:45:00;0,069164;0,034137;0,128619
2018-01-01 23:00:00;0,068813;0,034010;0,127644
2018-01-01 23:15:00;0,068461;0,033883;0,126665
2018-01-01 23:30:00;0,077624;0,047177;0,126699
2018-01-01 23:45:00;0,087136;0,060598;0,127705
2018-01-02 00:00:00;0,096648;0,074017;0,128711
2018-01-02 00:15:00;0,106160;0,087436;0,129717
2018-01-02 00:30:00;0,115843;0,101625;0,130582
2018-01-02 00:45:00;0,116006;0,102386;0,130425
2018-01-02 01:00:00;0,116165;0,103142;0,130261
2018-01-02 01:15:00;0,116320;0,103893;0,130090
2018-01-02 01:30:00;0,116085;0,103824;0,129681
2018-01-02 01:45:00;0,115676;0,102982;0,129410
2018-01-02 02:00:00;0,115269;0,102142;0,129141
2018-01-02 02:15:00;0,114864;0,101305;0,128876
2018-01-02 02:30:00;0,114759;0,100967;0,128949
2018-01-02 02:45:00;0,115042;0,101450;0,129259
2018-01-02 03:00:00;0,115327;0,101933;0,129569
2018-01-02 03:15:00;0,115612;0,102417;0,129882
2018-01-02 03:30:00;0,115989;0,102881;0,130752
2018-01-02 03:45:00;0,116069;0,102847;0,131288
2018-01-02 04:00:00;0,116147;0,102813;0,131822
2018-01-02 04:15:00;0,116225;0,102778;0,132355
2018-01-02 04:30:00;0,116769;0,102496;0,132858
2018-01-02 04:45:00;0,117227;0,102240;0,132813
2018-01-02 05:00:00;0,117690;0,101989;0,132776
2018-01-02 05:15:00;0,118157;0,101743;0,132748
2018-01-02 05:30:00;0,118788;0,101736;0,132748
2018-01-02 05:45:00;0,118952;0,101977;0,132778
2018-01-02 06:00:00;0,119113;0,102213;0,132803
2018-01-02 06:15:00;0,119271;0,102446;0,132820
2018-01-02 06:30:00;0,121517;0,104760;0,135534
2018-01-02 06:45:00;0,123605;0,106839;0,138228
2018-01-02 07:00:00;0,125696;0,108922;0,140930
2018-01-02 07:15:00;0,127793;0,111001;0,143640
2018-01-02 07:30:00;0,130196;0,114136;0,146065
2018-01-02 07:45:00;0,130520;0,115183;0,145810
2018-01-02 08:00:00;0,130855;0,116213;0,145574
2018-01-02 08:15:00;0,131199;0,117238;0,145354
2018-01-02 08:30:00;0,131896;0,118484;0,145432
2018-01-02 08:45:00;0,132302;0,118684;0,145820
2018-01-02 09:00:00;0,132707;0,118901;0,146210
2018-01-02 09:15:00;0,133111;0,119142;0,146599
2018-01-02 09:30:00;0,133547;0,119623;0,146946
2018-01-02 09:45:00;0,133635;0,119898;0,147005
2018-01-02 10:00:00;0,133725;0,120155;0,147063
2018-01-02 10:15:00;0,133816;0,120385;0,147124
2018-01-02 10:30:00;0,134113;0,120531;0,147535
2018-01-02 10:45:00;0,134368;0,120446;0,147973
2018-01-02 11:00:00;0,134615;0,120360;0,148395
2018-01-02 11:15:00;0,134850;0,120289;0,148799
2018-01-02 11:30:00;0,134995;0,120522;0,148757
2018-01-02 11:45:00;0,134929;0,120839;0,148353
2018-01-02 12:00:00;0,134865;0,121168;0,147955
2018-01-02 12:15:00;0,134810;0,121483;0,147570
2018-01-02 12:30:00;0,134935;0,121509;0,147483
2018-01-02 12:45:00;0,135133;0,121252;0,147812
2018-01-02 13:00:00;0,135322;0,120981;0,148124
2018-01-02 13:15:00;0,135501;0,120701;0,148420
2018-01-02 13:30:00;0,134883;0,119971;0,147985
2018-01-02 13:45:00;0,134068;0,119529;0,147223
2018-01-02 14:00:00;0,133242;0,119088;0,146445
2018-01-02 14:15:00;0,132406;0,118656;0,145647
2018-01-02 14:30:00;0,131751;0,117889;0,145073
2018-01-02 14:45:00;0,131869;0,117578;0,145186
2018-01-02 15:00:00;0,131983;0,117265;0,145294
2018-01-02 15:15:00;0,132098;0,116935;0,145402
