;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,018775;0,008760;0,061555
2018-01-01 00:30:00;0,018761;0,008744;0,061542
2018-01-01 00:45:00;0,018748;0,008728;0,061525
2018-01-01 01:00:00;0,018735;0,008711;0,061508
2018-01-01 01:15:00;0,018722;0,008695;0,061492
2018-01-01 01:30:00;0,018719;0,008672;0,061481
2018-01-01 01:45:00;0,018729;0,008664;0,061469
2018-01-01 02:00:00;0,018738;0,008656;0,061452
2018-01-01 02:15:00;0,018748;0,008647;0,061430
2018-01-01 02:30:00;0,018769;0,008656;0,061412
2018-01-01 02:45:00;0,018781;0,008671;0,061387
2018-01-01 03:00:00;0,018792;0,008687;0,061366
2018-01-01 03:15:00;0,018804;0,008703;0,061350
2018-01-01 03:30:00;0,018810;0,008668;0,061335
2018-01-01 03:45:00;0,018803;0,008616;0,061314
2018-01-01 04:00:00;0,018796;0,008563;0,061290
2018-01-01 04:15:00;0,018789;0,008510;0,061264
2018-01-01 04:30:00;0,018752;0,008308;0,061406
2018-01-01 04:45:00;0,018722;0,008158;0,061548
2018-01-01 05:00:00;0,018692;0,008007;0,061690
2018-01-01 05:15:00;0,018661;0,007857;0,061833
2018-01-01 05:30:00;0,018818;0,007515;0,062920
2018-01-01 05:45:00;0,019004;0,007322;0,063837
2018-01-01 06:00:00;0,019191;0,007129;0,064753
2018-01-01 06:15:00;0,019377;0,006936;0,065670
2018-01-01 06:30:00;0,019602;0,006660;0,067122
2018-01-01 06:45:00;0,019639;0,006575;0,067634
2018-01-01 07:00:00;0,019677;0,006491;0,068148
2018-01-01 07:15:00;0,019716;0,006406;0,068664
2018-01-01 07:30:00;0,019777;0,006339;0,069228
2018-01-01 07:45:00;0,019802;0,006354;0,069261
2018-01-01 08:00:00;0,019829;0,006368;0,069292
2018-01-01 08:15:00;0,019858;0,006380;0,069321
2018-01-01 08:30:00;0,019916;0,006428;0,069376
2018-01-01 08:45:00;0,019952;0,006457;0,069389
2018-01-01 09:00:00;0,019990;0,006486;0,069406
2018-01-01 09:15:00;0,020026;0,006516;0,069431
2018-01-01 09:30:00;0,020151;0,006657;0,069421
2018-01-01 09:45:00;0,020248;0,006762;0,069391
2018-01-01 10:00:00;0,020345;0,006866;0,069357
2018-01-01 10:15:00;0,020443;0,006969;0,069320
2018-01-01 10:30:00;0,020590;0,007227;0,069149
2018-01-01 10:45:00;0,020648;0,007375;0,069018
2018-01-01 11:00:00;0,020704;0,007525;0,068887
2018-01-01 11:15:00;0,020757;0,007677;0,068762
2018-01-01 11:30:00;0,020804;0,007829;0,068585
2018-01-01 11:45:00;0,020799;0,007828;0,068539
2018-01-01 12:00:00;0,020794;0,007828;0,068494
2018-01-01 12:15:00;0,020788;0,007828;0,068452
2018-01-01 12:30:00;0,020763;0,007735;0,068368
2018-01-01 12:45:00;0,020741;0,007647;0,068337
2018-01-01 13:00:00;0,020716;0,007560;0,068309
2018-01-01 13:15:00;0,020691;0,007474;0,068281
2018-01-01 13:30:00;0,020555;0,007375;0,068162
