;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,061688;0,037120;0,171223
2018-01-01 00:30:00;0,063611;0,037249;0,176022
2018-01-01 00:45:00;0,065532;0,037377;0,180816
2018-01-01 01:00:00;0,067452;0,037504;0,185608
2018-01-01 01:15:00;0,069371;0,037632;0,190397
2018-01-01 01:30:00;0,071361;0,037680;0,195254
2018-01-01 01:45:00;0,071412;0,037593;0,195277
2018-01-01 02:00:00;0,071456;0,037503;0,195280
2018-01-01 02:15:00;0,071491;0,037410;0,195265
2018-01-01 02:30:00;0,071479;0,037278;0,196629
2018-01-01 02:45:00;0,071392;0,037223;0,197917
2018-01-01 03:00:00;0,071311;0,037170;0,199217
2018-01-01 03:15:00;0,071235;0,037120;0,200531
2018-01-01 03:30:00;0,070862;0,037152;0,200446
2018-01-01 03:45:00;0,070533;0,037223;0,198970
2018-01-01 04:00:00;0,070201;0,037292;0,197487
2018-01-01 04:15:00;0,069866;0,037360;0,195999
2018-01-01 04:30:00;0,071076;0,039009;0,196054
2018-01-01 04:45:00;0,072585;0,040575;0,197511
2018-01-01 05:00:00;0,074092;0,042141;0,198967
2018-01-01 05:15:00;0,075598;0,043705;0,200420
2018-01-01 05:30:00;0,078823;0,047316;0,199635
2018-01-01 05:45:00;0,080499;0,049343;0,197302
2018-01-01 06:00:00;0,082175;0,051370;0,194971
2018-01-01 06:15:00;0,083850;0,053397;0,192643
2018-01-01 06:30:00;0,086719;0,056396;0,180302
2018-01-01 06:45:00;0,087872;0,057351;0,170214
2018-01-01 07:00:00;0,089032;0,058308;0,160140
2018-01-01 07:15:00;0,090197;0,059267;0,150080
2018-01-01 07:30:00;0,091826;0,060083;0,145159
2018-01-01 07:45:00;0,092274;0,059928;0,150280
2018-01-01 08:00:00;0,092728;0,059773;0,155417
2018-01-01 08:15:00;0,093188;0,059617;0,160569
2018-01-01 08:30:00;0,093018;0,058745;0,161851
2018-01-01 08:45:00;0,092405;0,058023;0,158036
2018-01-01 09:00:00;0,091799;0,057304;0,154232
2018-01-01 09:15:00;0,091205;0,056592;0,150438
2018-01-01 09:30:00;0,090442;0,055516;0,146493
2018-01-01 09:45:00;0,090321;0,055161;0,146437
