;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,006461;0,001118;0,065028
2018-01-01 00:30:00;0,006484;0,001118;0,065319
2018-01-01 00:45:00;0,006507;0,001119;0,065611
2018-01-01 01:00:00;0,006530;0,001119;0,065902
2018-01-01 01:15:00;0,006553;0,001120;0,066194
2018-01-01 01:30:00;0,006615;0,001126;0,066757
2018-01-01 01:45:00;0,006656;0,001131;0,067036
2018-01-01 02:00:00;0,006698;0,001137;0,067316
2018-01-01 02:15:00;0,006740;0,001143;0,067598
2018-01-01 02:30:00;0,006872;0,001146;0,068664
2018-01-01 02:45:00;0,006966;0,001143;0,069459
2018-01-01 03:00:00;0,007059;0,001141;0,070253
2018-01-01 03:15:00;0,007152;0,001138;0,071045
2018-01-01 03:30:00;0,007699;0,001210;0,077219
2018-01-01 03:45:00;0,008157;0,001285;0,082611
2018-01-01 04:00:00;0,008615;0,001360;0,088005
2018-01-01 04:15:00;0,009073;0,001436;0,093399
2018-01-01 04:30:00;0,010555;0,002167;0,101149
2018-01-01 04:45:00;0,011583;0,002824;0,103515
2018-01-01 05:00:00;0,012611;0,003480;0,105882
2018-01-01 05:15:00;0,013640;0,004137;0,108249
2018-01-01 05:30:00;0,015055;0,005177;0,110730
2018-01-01 05:45:00;0,015446;0,005561;0,110857
2018-01-01 06:00:00;0,015838;0,005945;0,110984
2018-01-01 06:15:00;0,016229;0,006329;0,111112
2018-01-01 06:30:00;0,016929;0,006879;0,113031
2018-01-01 06:45:00;0,017242;0,007045;0,114836
2018-01-01 07:00:00;0,017555;0,007211;0,116638
2018-01-01 07:15:00;0,017867;0,007378;0,118438
2018-01-01 07:30:00;0,018299;0,007616;0,120951
2018-01-01 07:45:00;0,018423;0,007689;0,121663
2018-01-01 08:00:00;0,018545;0,007763;0,122369
2018-01-01 08:15:00;0,018667;0,007836;0,123068
2018-01-01 08:30:00;0,018862;0,007959;0,123973
2018-01-01 08:45:00;0,018934;0,008010;0,124154
2018-01-01 09:00:00;0,019004;0,008061;0,124332
2018-01-01 09:15:00;0,019073;0,008112;0,124510
2018-01-01 09:30:00;0,019172;0,008175;0,125081
2018-01-01 09:45:00;0,019196;0,008188;0,125442
2018-01-01 10:00:00;0,019221;0,008201;0,125802
2018-01-01 10:15:00;0,019246;0,008214;0,126164
2018-01-01 10:30:00;0,019316;0,008235;0,126581
2018-01-01 10:45:00;0,019357;0,008243;0,126609
2018-01-01 11:00:00;0,019398;0,008251;0,126643
2018-01-01 11:15:00;0,019439;0,008259;0,126684
2018-01-01 11:30:00;0,019496;0,008262;0,126853
2018-01-01 11:45:00;0,019509;0,008257;0,126972
2018-01-01 12:00:00;0,019521;0,008252;0,127092
2018-01-01 12:15:00;0,019534;0,008247;0,127214
2018-01-01 12:30:00;0,019587;0,008266;0,127583
2018-01-01 12:45:00;0,019626;0,008289;0,127836
2018-01-01 13:00:00;0,019666;0,008312;0,128096
2018-01-01 13:15:00;0,019708;0,008335;0,128359
2018-01-01 13:30:00;0,019752;0,008359;0,128534
2018-01-01 13:45:00;0,019759;0,008358;0,128474
2018-01-01 14:00:00;0,019768;0,008357;0,128419
2018-01-01 14:15:00;0,019778;0,008356;0,128369
2018-01-01 14:30:00;0,019804;0,008343;0,128424
2018-01-01 14:45:00;0,019828;0,008329;0,128577
2018-01-01 15:00:00;0,019853;0,008315;0,128729
2018-01-01 15:15:00;0,019878;0,008302;0,128877
2018-01-01 15:30:00;0,019888;0,008299;0,128861
2018-01-01 15:45:00;0,019885;0,008308;0,128738
2018-01-01 16:00:00;0,019880;0,008317;0,128609
2018-01-01 16:15:00;0,019876;0,008327;0,128474
2018-01-01 16:30:00;0,019847;0,008327;0,128236
2018-01-01 16:45:00;0,019831;0,008317;0,128151
2018-01-01 17:00:00;0,019814;0,008307;0,128064
2018-01-01 17:15:00;0,019796;0,008298;0,127974
