;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,026018;0,008869;0,095345
2018-01-01 00:30:00;0,026041;0,008840;0,095806
2018-01-01 00:45:00;0,026065;0,008811;0,096268
2018-01-01 01:00:00;0,026089;0,008782;0,096730
2018-01-01 01:15:00;0,026112;0,008753;0,097191
2018-01-01 01:30:00;0,026069;0,008780;0,097927
2018-01-01 01:45:00;0,026005;0,008838;0,098214
2018-01-01 02:00:00;0,025942;0,008896;0,098504
2018-01-01 02:15:00;0,025880;0,008954;0,098799
2018-01-01 02:30:00;0,025984;0,009054;0,099996
2018-01-01 02:45:00;0,026155;0,009098;0,100919
2018-01-01 03:00:00;0,026326;0,009141;0,101838
2018-01-01 03:15:00;0,026496;0,009184;0,102755
2018-01-01 03:30:00;0,026857;0,009733;0,103240
2018-01-01 03:45:00;0,027052;0,010242;0,102825
2018-01-01 04:00:00;0,027248;0,010750;0,102412
2018-01-01 04:15:00;0,027445;0,011259;0,102000
2018-01-01 04:30:00;0,028623;0,012483;0,100683
2018-01-01 04:45:00;0,029611;0,013200;0,099795
2018-01-01 05:00:00;0,030599;0,013918;0,098908
2018-01-01 05:15:00;0,031586;0,014635;0,098020
2018-01-01 05:30:00;0,035871;0,018159;0,103545
2018-01-01 05:45:00;0,039175;0,020969;0,109978
2018-01-01 06:00:00;0,042479;0,023779;0,116411
2018-01-01 06:15:00;0,045784;0,026589;0,122846
2018-01-01 06:30:00;0,050981;0,031301;0,132930
2018-01-01 06:45:00;0,052881;0,033206;0,136599
2018-01-01 07:00:00;0,054780;0,035111;0,140262
2018-01-01 07:15:00;0,056680;0,037018;0,143907
2018-01-01 07:30:00;0,058820;0,038743;0,152252
2018-01-01 07:45:00;0,059069;0,038572;0,156902
2018-01-01 08:00:00;0,059321;0,038406;0,161499
2018-01-01 08:15:00;0,059576;0,038244;0,166048
2018-01-01 08:30:00;0,059627;0,037743;0,169512
2018-01-01 08:45:00;0,059438;0,037426;0,168217
2018-01-01 09:00:00;0,059248;0,037108;0,166912
2018-01-01 09:15:00;0,059052;0,036785;0,165632
2018-01-01 09:30:00;0,059219;0,036748;0,167902
2018-01-01 09:45:00;0,059589;0,037051;0,171233
2018-01-01 10:00:00;0,059961;0,037355;0,174554
2018-01-01 10:15:00;0,060333;0,037659;0,177878
2018-01-01 10:30:00;0,060882;0,037795;0,183478
2018-01-01 10:45:00;0,061063;0,037637;0,185578
2018-01-01 11:00:00;0,061243;0,037477;0,187715
2018-01-01 11:15:00;0,061418;0,037311;0,189911
2018-01-01 11:30:00;0,061371;0,037227;0,188897
2018-01-01 11:45:00;0,061146;0,037309;0,185636
2018-01-01 12:00:00;0,060921;0,037391;0,182389
2018-01-01 12:15:00;0,060694;0,037470;0,179157
2018-01-01 12:30:00;0,059679;0,037304;0,171916
2018-01-01 12:45:00;0,058884;0,037049;0,167968
2018-01-01 13:00:00;0,058087;0,036791;0,164063
2018-01-01 13:15:00;0,057289;0,036530;0,160184
2018-01-01 13:30:00;0,055853;0,035976;0,151914
2018-01-01 13:45:00;0,055204;0,035664;0,147703
2018-01-01 14:00:00;0,054557;0,035352;0,143508
2018-01-01 14:15:00;0,053912;0,035042;0,139319
2018-01-01 14:30:00;0,053050;0,034429;0,133838
2018-01-01 14:45:00;0,052828;0,034110;0,132779
2018-01-01 15:00:00;0,052607;0,033791;0,131713
2018-01-01 15:15:00;0,052389;0,033477;0,130615
2018-01-01 15:30:00;0,051864;0,032849;0,128884
2018-01-01 15:45:00;0,051561;0,032529;0,128411
2018-01-01 16:00:00;0,051262;0,032214;0,127895
2018-01-01 16:15:00;0,050963;0,031902;0,127349
2018-01-01 16:30:00;0,050322;0,031307;0,125552
2018-01-01 16:45:00;0,049988;0,031029;0,124337
2018-01-01 17:00:00;0,049653;0,030751;0,123118
2018-01-01 17:15:00;0,049315;0,030471;0,121894
2018-01-01 17:30:00;0,048528;0,029961;0,119711
2018-01-01 17:45:00;0,048083;0,029735;0,118762
2018-01-01 18:00:00;0,047638;0,029509;0,117815
2018-01-01 18:15:00;0,047194;0,029283;0,116869
2018-01-01 18:30:00;0,046785;0,028965;0,116282
2018-01-01 18:45:00;0,046823;0,028875;0,116649
2018-01-01 19:00:00;0,046860;0,028784;0,117013
2018-01-01 19:15:00;0,046896;0,028693;0,117374
2018-01-01 19:30:00;0,046457;0,028025;0,116537
2018-01-01 19:45:00;0,045985;0,027450;0,115342
2018-01-01 20:00:00;0,045513;0,026875;0,114149
2018-01-01 20:15:00;0,045042;0,026301;0,112958
2018-01-01 20:30:00;0,043682;0,024704;0,110517
2018-01-01 20:45:00;0,042795;0,023683;0,109273
2018-01-01 21:00:00;0,041908;0,022661;0,108026
2018-01-01 21:15:00;0,041020;0,021639;0,106778
2018-01-01 21:30:00;0,040204;0,020499;0,106113
2018-01-01 21:45:00;0,040277;0,020383;0,106699
2018-01-01 22:00:00;0,040350;0,020266;0,107286
2018-01-01 22:15:00;0,040424;0,020150;0,107875
2018-01-01 22:30:00;0,040561;0,020002;0,108585
2018-01-01 22:45:00;0,040627;0,019972;0,108712
2018-01-01 23:00:00;0,040693;0,019942;0,108839
2018-01-01 23:15:00;0,040759;0,019913;0,108966
2018-01-01 23:30:00;0,055320;0,028505;0,119586
2018-01-01 23:45:00;0,069817;0,037130;0,130086
2018-01-02 00:00:00;0,084315;0,045754;0,140585
2018-01-02 00:15:00;0,098813;0,054379;0,151084
2018-01-02 00:30:00;0,112856;0,062789;0,161351
2018-01-02 00:45:00;0,112407;0,062578;0,161127
2018-01-02 01:00:00;0,111959;0,062369;0,160906
2018-01-02 01:15:00;0,111513;0,062160;0,160687
2018-01-02 01:30:00;0,110405;0,061671;0,159908
2018-01-02 01:45:00;0,109754;0,061397;0,159362
2018-01-02 02:00:00;0,109101;0,061123;0,158815
2018-01-02 02:15:00;0,108447;0,060848;0,158267
2018-01-02 02:30:00;0,108444;0,060819;0,159279
2018-01-02 02:45:00;0,109103;0,061071;0,160854
2018-01-02 03:00:00;0,109763;0,061323;0,162429
2018-01-02 03:15:00;0,110423;0,061575;0,164005
2018-01-02 03:30:00;0,111136;0,062398;0,165272
2018-01-02 03:45:00;0,111197;0,062975;0,164975
2018-01-02 04:00:00;0,111257;0,063552;0,164676
2018-01-02 04:15:00;0,111316;0,064127;0,164377
2018-01-02 04:30:00;0,112938;0,067008;0,163799
2018-01-02 04:45:00;0,114505;0,069317;0,163528
2018-01-02 05:00:00;0,116071;0,071625;0,163256
2018-01-02 05:15:00;0,117636;0,073932;0,162983
2018-01-02 05:30:00;0,126803;0,083565;0,171610
2018-01-02 05:45:00;0,134406;0,090892;0,180514
2018-01-02 06:00:00;0,142011;0,098220;0,189420
2018-01-02 06:15:00;0,149617;0,105549;0,198327
2018-01-02 06:30:00;0,162517;0,119184;0,217759
2018-01-02 06:45:00;0,167814;0,125492;0,228286
2018-01-02 07:00:00;0,173110;0,131800;0,238802
2018-01-02 07:15:00;0,178409;0,138114;0,249290
2018-01-02 07:30:00;0,184329;0,143585;0,268228
2018-01-02 07:45:00;0,184959;0,142761;0,276574
2018-01-02 08:00:00;0,185596;0,141950;0,284850
2018-01-02 08:15:00;0,186236;0,141149;0,293066
2018-01-02 08:30:00;0,186634;0,139602;0,301834
2018-01-02 08:45:00;0,186407;0,138901;0,302099
2018-01-02 09:00:00;0,186173;0,138189;0,302393
2018-01-02 09:15:00;0,185929;0,137463;0,302731
2018-01-02 09:30:00;0,186767;0,137895;0,306039
2018-01-02 09:45:00;0,187841;0,139066;0,308775
2018-01-02 10:00:00;0,188924;0,140252;0,311458
2018-01-02 10:15:00;0,190013;0,141447;0,314106
2018-01-02 10:30:00;0,190549;0,141353;0,314803
2018-01-02 10:45:00;0,189998;0,140093;0,312575
2018-01-02 11:00:00;0,189446;0,138828;0,310386
2018-01-02 11:15:00;0,188883;0,137545;0,308288
2018-01-02 11:30:00;0,187347;0,137094;0,297655
2018-01-02 11:45:00;0,186365;0,137931;0,288989
2018-01-02 12:00:00;0,185377;0,138758;0,280352
2018-01-02 12:15:00;0,184381;0,139576;0,271740
2018-01-02 12:30:00;0,181418;0,139260;0,259022
2018-01-02 12:45:00;0,179424;0,138098;0,254938
2018-01-02 13:00:00;0,177436;0,136941;0,250865
2018-01-02 13:15:00;0,175453;0,135785;0,246815
2018-01-02 13:30:00;0,171426;0,133649;0,236093
2018-01-02 13:45:00;0,169368;0,132638;0,229548
2018-01-02 14:00:00;0,167307;0,131619;0,223050
2018-01-02 14:15:00;0,165237;0,130578;0,216631
2018-01-02 14:30:00;0,162563;0,128366;0,208972
2018-01-02 14:45:00;0,161939;0,127133;0,208039
2018-01-02 15:00:00;0,161315;0,125900;0,207107
2018-01-02 15:15:00;0,160701;0,124682;0,206135
2018-01-02 15:30:00;0,158967;0,122689;0,202745
