;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,030622;0,012292;0,076734
2018-01-01 00:30:00;0,030762;0,012375;0,077011
2018-01-01 00:45:00;0,030901;0,012459;0,077287
2018-01-01 01:00:00;0,031040;0,012543;0,077563
2018-01-01 01:15:00;0,031180;0,012626;0,077840
2018-01-01 01:30:00;0,031433;0,012762;0,078050
2018-01-01 01:45:00;0,031546;0,012813;0,077980
2018-01-01 02:00:00;0,031658;0,012865;0,077908
2018-01-01 02:15:00;0,031770;0,012917;0,077835
2018-01-01 02:30:00;0,031946;0,012962;0,077890
2018-01-01 02:45:00;0,032008;0,012954;0,078012
2018-01-01 03:00:00;0,032070;0,012946;0,078136
2018-01-01 03:15:00;0,032132;0,012939;0,078259
2018-01-01 03:30:00;0,032431;0,012989;0,078576
2018-01-01 03:45:00;0,032666;0,013048;0,078765
2018-01-01 04:00:00;0,032901;0,013106;0,078952
2018-01-01 04:15:00;0,033135;0,013165;0,079139
2018-01-01 04:30:00;0,033897;0,013391;0,080202
2018-01-01 04:45:00;0,034422;0,013558;0,081071
2018-01-01 05:00:00;0,034947;0,013726;0,081940
2018-01-01 05:15:00;0,035472;0,013894;0,082810
2018-01-01 05:30:00;0,036897;0,014637;0,085065
2018-01-01 05:45:00;0,037794;0,015213;0,086445
2018-01-01 06:00:00;0,038692;0,015789;0,087825
2018-01-01 06:15:00;0,039589;0,016365;0,089204
2018-01-01 06:30:00;0,040976;0,017451;0,091014
2018-01-01 06:45:00;0,041464;0,017962;0,091437
2018-01-01 07:00:00;0,041952;0,018473;0,091863
2018-01-01 07:15:00;0,042439;0,018984;0,092294
2018-01-01 07:30:00;0,043112;0,019790;0,092599
2018-01-01 07:45:00;0,043295;0,020086;0,092486
2018-01-01 08:00:00;0,043476;0,020382;0,092385
2018-01-01 08:15:00;0,043656;0,020678;0,092296
2018-01-01 08:30:00;0,043967;0,021030;0,092342
2018-01-01 08:45:00;0,044091;0,021087;0,092530
2018-01-01 09:00:00;0,044216;0,021145;0,092723
2018-01-01 09:15:00;0,044342;0,021202;0,092911
2018-01-01 09:30:00;0,044566;0,021361;0,093198
2018-01-01 09:45:00;0,044659;0,021463;0,093358
2018-01-01 10:00:00;0,044752;0,021566;0,093520
2018-01-01 10:15:00;0,044844;0,021669;0,093680
2018-01-01 10:30:00;0,044772;0,021689;0,093681
2018-01-01 10:45:00;0,044604;0,021606;0,093572
2018-01-01 11:00:00;0,044438;0,021523;0,093448
2018-01-01 11:15:00;0,044273;0,021440;0,093311
