;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,007687;0,001989;0,024058
2018-01-01 00:30:00;0,007690;0,001988;0,024478
2018-01-01 00:45:00;0,007693;0,001988;0,024899
2018-01-01 01:00:00;0,007695;0,001987;0,025320
2018-01-01 01:15:00;0,007697;0,001986;0,025741
2018-01-01 01:30:00;0,007698;0,001987;0,026153
2018-01-01 01:45:00;0,007706;0,001989;0,026154
2018-01-01 02:00:00;0,007717;0,001992;0,026157
2018-01-01 02:15:00;0,007732;0,001996;0,026164
2018-01-01 02:30:00;0,008126;0,002027;0,032048
2018-01-01 02:45:00;0,008521;0,002056;0,037943
2018-01-01 03:00:00;0,008915;0,002086;0,043837
2018-01-01 03:15:00;0,009307;0,002115;0,049732
2018-01-01 03:30:00;0,011893;0,002854;0,056916
2018-01-01 03:45:00;0,014107;0,003568;0,058230
2018-01-01 04:00:00;0,016327;0,004283;0,059547
2018-01-01 04:15:00;0,018554;0,004999;0,060869
2018-01-01 04:30:00;0,023222;0,006596;0,064663
2018-01-01 04:45:00;0,025705;0,007486;0,067173
2018-01-01 05:00:00;0,028193;0,008376;0,069684
2018-01-01 05:15:00;0,030686;0,009268;0,072197
2018-01-01 05:30:00;0,037239;0,011755;0,084646
2018-01-01 05:45:00;0,041370;0,013365;0,094633
2018-01-01 06:00:00;0,045507;0,014978;0,104626
2018-01-01 06:15:00;0,049653;0,016592;0,114625
2018-01-01 06:30:00;0,054569;0,018722;0,126099
2018-01-01 06:45:00;0,055423;0,019258;0,127632
2018-01-01 07:00:00;0,056268;0,019791;0,129161
2018-01-01 07:15:00;0,057126;0,020326;0,130707
2018-01-01 07:30:00;0,057976;0,020874;0,132232
2018-01-01 07:45:00;0,058094;0,020914;0,132329
2018-01-01 08:00:00;0,058275;0,020965;0,132494
2018-01-01 08:15:00;0,058510;0,021026;0,132718
2018-01-01 08:30:00;0,058295;0,021025;0,132700
2018-01-01 08:45:00;0,058113;0,021012;0,132743
2018-01-01 09:00:00;0,057910;0,020995;0,132771
2018-01-01 09:15:00;0,057628;0,020961;0,132726
2018-01-01 09:30:00;0,057269;0,020612;0,132915
2018-01-01 09:45:00;0,057357;0,020324;0,133352
2018-01-01 10:00:00;0,057465;0,020039;0,133808
2018-01-01 10:15:00;0,057576;0,019754;0,134264
2018-01-01 10:30:00;0,057682;0,019396;0,134568
2018-01-01 10:45:00;0,057797;0,019340;0,134570
