;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,123642;0,103538;0,148144
2018-01-01 00:30:00;0,123258;0,103195;0,147450
2018-01-01 00:45:00;0,122874;0,102853;0,146755
2018-01-01 01:00:00;0,122489;0,102511;0,146061
2018-01-01 01:15:00;0,122105;0,102168;0,145366
2018-01-01 01:30:00;0,121101;0,101320;0,144344
2018-01-01 01:45:00;0,120483;0,100821;0,144012
2018-01-01 02:00:00;0,119866;0,100325;0,143680
2018-01-01 02:15:00;0,119250;0,099831;0,143346
2018-01-01 02:30:00;0,117821;0,098642;0,142328
2018-01-01 02:45:00;0,117012;0,097958;0,141638
2018-01-01 03:00:00;0,116203;0,097273;0,140949
2018-01-01 03:15:00;0,115393;0,096586;0,140261
2018-01-01 03:30:00;0,113723;0,095168;0,138533
2018-01-01 03:45:00;0,112866;0,094447;0,137490
2018-01-01 04:00:00;0,112010;0,093726;0,136446
2018-01-01 04:15:00;0,111155;0,093006;0,135401
2018-01-01 04:30:00;0,109524;0,091526;0,133540
2018-01-01 04:45:00;0,108753;0,090776;0,132719
2018-01-01 05:00:00;0,107982;0,090027;0,131897
2018-01-01 05:15:00;0,107211;0,089277;0,131076
2018-01-01 05:30:00;0,106017;0,088103;0,129647
2018-01-01 05:45:00;0,105599;0,087690;0,129035
2018-01-01 06:00:00;0,105179;0,087277;0,128424
2018-01-01 06:15:00;0,104760;0,086863;0,127812
2018-01-01 06:30:00;0,104057;0,086016;0,127254
2018-01-01 06:45:00;0,103776;0,085592;0,127302
2018-01-01 07:00:00;0,103495;0,085166;0,127352
2018-01-01 07:15:00;0,103212;0,084740;0,127403
2018-01-01 07:30:00;0,103029;0,084189;0,127600
2018-01-01 07:45:00;0,103127;0,084070;0,127749
2018-01-01 08:00:00;0,103224;0,083953;0,127902
2018-01-01 08:15:00;0,103318;0,083836;0,128060
2018-01-01 08:30:00;0,103952;0,084262;0,128597
2018-01-01 08:45:00;0,104484;0,084811;0,128995
2018-01-01 09:00:00;0,105015;0,085359;0,129394
2018-01-01 09:15:00;0,105546;0,085905;0,129793
2018-01-01 09:30:00;0,106870;0,087005;0,130587
2018-01-01 09:45:00;0,107652;0,087561;0,131006
2018-01-01 10:00:00;0,108433;0,088118;0,131427
2018-01-01 10:15:00;0,109214;0,088677;0,131849
2018-01-01 10:30:00;0,110451;0,089632;0,133070
2018-01-01 10:45:00;0,110896;0,090030;0,133892
2018-01-01 11:00:00;0,111344;0,090428;0,134708
2018-01-01 11:15:00;0,111794;0,090824;0,135518
2018-01-01 11:30:00;0,112643;0,091689;0,137578
2018-01-01 11:45:00;0,113040;0,092156;0,138831
2018-01-01 12:00:00;0,113437;0,092621;0,140082
2018-01-01 12:15:00;0,113834;0,093086;0,141332
2018-01-01 12:30:00;0,114651;0,093872;0,143230
2018-01-01 12:45:00;0,115074;0,094187;0,143869
2018-01-01 13:00:00;0,115499;0,094503;0,144505
2018-01-01 13:15:00;0,115924;0,094820;0,145139
2018-01-01 13:30:00;0,116792;0,095438;0,146144
2018-01-01 13:45:00;0,117244;0,095736;0,146494
2018-01-01 14:00:00;0,117698;0,096036;0,146840
2018-01-01 14:15:00;0,118154;0,096338;0,147183
2018-01-01 14:30:00;0,118954;0,096997;0,148335
2018-01-01 14:45:00;0,119315;0,097357;0,149109
2018-01-01 15:00:00;0,119675;0,097720;0,149885
2018-01-01 15:15:00;0,120033;0,098085;0,150665
2018-01-01 15:30:00;0,120642;0,098642;0,151393
2018-01-01 15:45:00;0,120904;0,098846;0,151316
2018-01-01 16:00:00;0,121165;0,099052;0,151245
2018-01-01 16:15:00;0,121423;0,099259;0,151178
2018-01-01 16:30:00;0,121792;0,099699;0,150719
2018-01-01 16:45:00;0,121909;0,099946;0,150319
2018-01-01 17:00:00;0,122024;0,100192;0,149920
2018-01-01 17:15:00;0,122139;0,100436;0,149522
2018-01-01 17:30:00;0,122293;0,100839;0,149406
2018-01-01 17:45:00;0,122334;0,101007;0,149686
2018-01-01 18:00:00;0,122376;0,101175;0,149964
2018-01-01 18:15:00;0,122418;0,101344;0,150243
2018-01-01 18:30:00;0,122463;0,101480;0,150765
2018-01-01 18:45:00;0,122468;0,101453;0,151005
2018-01-01 19:00:00;0,122473;0,101424;0,151247
2018-01-01 19:15:00;0,122477;0,101394;0,151489
2018-01-01 19:30:00;0,122516;0,101405;0,151891
2018-01-01 19:45:00;0,122553;0,101448;0,152049
2018-01-01 20:00:00;0,122590;0,101492;0,152207
2018-01-01 20:15:00;0,122627;0,101538;0,152365
2018-01-01 20:30:00;0,122739;0,101495;0,152520
2018-01-01 20:45:00;0,122815;0,101410;0,152517
2018-01-01 21:00:00;0,122890;0,101323;0,152514
2018-01-01 21:15:00;0,122965;0,101235;0,152512
2018-01-01 21:30:00;0,123244;0,101418;0,152357
2018-01-01 21:45:00;0,123449;0,101689;0,152203
2018-01-01 22:00:00;0,123653;0,101961;0,152049
2018-01-01 22:15:00;0,123858;0,102233;0,151894
2018-01-01 22:30:00;0,124124;0,102617;0,151604
2018-01-01 22:45:00;0,124185;0,102730;0,151466
2018-01-01 23:00:00;0,124246;0,102843;0,151329
2018-01-01 23:15:00;0,124307;0,102956;0,151192
2018-01-01 23:30:00;0,125753;0,104686;0,151926
2018-01-01 23:45:00;0,127138;0,106304;0,152796
2018-01-02 00:00:00;0,128523;0,107921;0,153667
2018-01-02 00:15:00;0,129908;0,109539;0,154538
2018-01-02 00:30:00;0,130918;0,110908;0,155332
2018-01-02 00:45:00;0,130545;0,110663;0,155255
2018-01-02 01:00:00;0,130171;0,110418;0,155178
2018-01-02 01:15:00;0,129798;0,110175;0,155099
2018-01-02 01:30:00;0,128768;0,109464;0,155149
2018-01-02 01:45:00;0,128113;0,109002;0,155273
2018-01-02 02:00:00;0,127459;0,108539;0,155398
2018-01-02 02:15:00;0,126804;0,108077;0,155523
2018-01-02 02:30:00;0,125342;0,106933;0,154662
2018-01-02 02:45:00;0,124538;0,106257;0,153672
2018-01-02 03:00:00;0,123733;0,105581;0,152683
2018-01-02 03:15:00;0,122928;0,104906;0,151694
2018-01-02 03:30:00;0,121199;0,103308;0,149740
2018-01-02 03:45:00;0,120276;0,102391;0,148773
2018-01-02 04:00:00;0,119352;0,101473;0,147807
2018-01-02 04:15:00;0,118429;0,100554;0,146840
2018-01-02 04:30:00;0,116706;0,098690;0,145672
2018-01-02 04:45:00;0,115908;0,097748;0,145470
