;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,024274;0,007432;0,208314
2018-01-01 00:30:00;0,024417;0,007378;0,209645
2018-01-01 00:45:00;0,024562;0,007324;0,210990
2018-01-01 01:00:00;0,024707;0,007269;0,212332
2018-01-01 01:15:00;0,024851;0,007215;0,213671
2018-01-01 01:30:00;0,024898;0,007099;0,218138
2018-01-01 01:45:00;0,024819;0,007042;0,221381
2018-01-01 02:00:00;0,024746;0,006985;0,224667
2018-01-01 02:15:00;0,024679;0,006930;0,227998
2018-01-01 02:30:00;0,024943;0,006887;0,241289
2018-01-01 02:45:00;0,025305;0,006906;0,251471
2018-01-01 03:00:00;0,025663;0,006924;0,261629
2018-01-01 03:15:00;0,026017;0,006941;0,271765
2018-01-01 03:30:00;0,026568;0,006926;0,289299
2018-01-01 03:45:00;0,026794;0,006900;0,296924
2018-01-01 04:00:00;0,027024;0,006874;0,304577
2018-01-01 04:15:00;0,027257;0,006849;0,312261
2018-01-01 04:30:00;0,030318;0,007360;0,316103
2018-01-01 04:45:00;0,033185;0,007902;0,312547
2018-01-01 05:00:00;0,036055;0,008445;0,308985
2018-01-01 05:15:00;0,038929;0,008988;0,305416
2018-01-01 05:30:00;0,050799;0,012529;0,391307
2018-01-01 05:45:00;0,059859;0,015538;0,481140
2018-01-01 06:00:00;0,068930;0,018550;0,571052
2018-01-01 06:15:00;0,078011;0,021564;0,661042
2018-01-01 06:30:00;0,089477;0,025103;0,767981
2018-01-01 06:45:00;0,091947;0,025644;0,785445
2018-01-01 07:00:00;0,094409;0,026184;0,802853
2018-01-01 07:15:00;0,096887;0,026732;0,820335
2018-01-01 07:30:00;0,101042;0,026717;0,848201
2018-01-01 07:45:00;0,102873;0,026197;0,859430
2018-01-01 08:00:00;0,104790;0,025704;0,871094
2018-01-01 08:15:00;0,106791;0,025237;0,883177
2018-01-01 08:30:00;0,106505;0,025702;0,881372
2018-01-01 08:45:00;0,104587;0,026755;0,869382
2018-01-01 09:00:00;0,102655;0,027812;0,857318
2018-01-01 09:15:00;0,100642;0,028852;0,844820
2018-01-01 09:30:00;0,101663;0,029828;0,840862
2018-01-01 09:45:00;0,104968;0,029876;0,850747
2018-01-01 10:00:00;0,108324;0,029935;0,860853
2018-01-01 10:15:00;0,111700;0,029997;0,871033
2018-01-01 10:30:00;0,114409;0,030663;0,860329
2018-01-01 10:45:00;0,113981;0,031361;0,840558
2018-01-01 11:00:00;0,113500;0,032037;0,820551
2018-01-01 11:15:00;0,112914;0,032677;0,800035
2018-01-01 11:30:00;0,112512;0,033246;0,788556
2018-01-01 11:45:00;0,112715;0,033182;0,797673
2018-01-01 12:00:00;0,112867;0,033101;0,806554
2018-01-01 12:15:00;0,112991;0,033010;0,815297
2018-01-01 12:30:00;0,110087;0,031403;0,827539
2018-01-01 12:45:00;0,106875;0,029822;0,830147
2018-01-01 13:00:00;0,103641;0,028234;0,832606
2018-01-01 13:15:00;0,100408;0,026646;0,835031
2018-01-01 13:30:00;0,091853;0,023796;0,776219
2018-01-01 13:45:00;0,086290;0,022445;0,713758
