;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,034987;0,018169;0,055102
2018-01-01 00:30:00;0,034969;0,018187;0,054988
2018-01-01 00:45:00;0,034948;0,018204;0,054873
2018-01-01 01:00:00;0,034929;0,018221;0,054758
2018-01-01 01:15:00;0,034909;0,018239;0,054644
2018-01-01 01:30:00;0,034897;0,018265;0,054587
2018-01-01 01:45:00;0,034886;0,018269;0,054626
2018-01-01 02:00:00;0,034868;0,018271;0,054657
2018-01-01 02:15:00;0,034843;0,018271;0,054681
2018-01-01 02:30:00;0,034821;0,018290;0,054823
2018-01-01 02:45:00;0,034790;0,018301;0,054905
2018-01-01 03:00:00;0,034764;0,018312;0,054992
2018-01-01 03:15:00;0,034743;0,018325;0,055085
2018-01-01 03:30:00;0,034749;0,018255;0,055035
2018-01-01 03:45:00;0,034748;0,018164;0,054861
2018-01-01 04:00:00;0,034744;0,018072;0,054684
2018-01-01 04:15:00;0,034736;0,017980;0,054504
2018-01-01 04:30:00;0,035278;0,018088;0,055230
2018-01-01 04:45:00;0,035794;0,018279;0,056100
2018-01-01 05:00:00;0,036309;0,018470;0,056969
2018-01-01 05:15:00;0,036823;0,018662;0,057838
2018-01-01 05:30:00;0,040465;0,020172;0,064173
2018-01-01 05:45:00;0,043550;0,021481;0,069593
2018-01-01 06:00:00;0,046632;0,022789;0,075009
2018-01-01 06:15:00;0,049712;0,024096;0,080422
2018-01-01 06:30:00;0,054313;0,026671;0,087026
2018-01-01 06:45:00;0,055792;0,027928;0,088167
2018-01-01 07:00:00;0,057278;0,029187;0,089317
2018-01-01 07:15:00;0,058771;0,030449;0,090474
2018-01-01 07:30:00;0,060543;0,032033;0,091529
2018-01-01 07:45:00;0,060807;0,032356;0,091408
2018-01-01 08:00:00;0,061082;0,032685;0,091294
2018-01-01 08:15:00;0,061368;0,033021;0,091189
2018-01-01 08:30:00;0,061643;0,033362;0,091494
2018-01-01 08:45:00;0,061667;0,033393;0,091928
2018-01-01 09:00:00;0,061701;0,033426;0,092372
2018-01-01 09:15:00;0,061744;0,033460;0,092829
2018-01-01 09:30:00;0,062173;0,034004;0,094020
2018-01-01 09:45:00;0,062628;0,034547;0,094816
2018-01-01 10:00:00;0,063079;0,035089;0,095606
2018-01-01 10:15:00;0,063525;0,035629;0,096393
2018-01-01 10:30:00;0,063377;0,036030;0,096750
2018-01-01 10:45:00;0,062838;0,035916;0,096370
2018-01-01 11:00:00;0,062288;0,035797;0,095981
2018-01-01 11:15:00;0,061727;0,035670;0,095583
2018-01-01 11:30:00;0,061252;0,035256;0,094699
2018-01-01 11:45:00;0,061356;0,034976;0,094228
2018-01-01 12:00:00;0,061458;0,034693;0,093759
2018-01-01 12:15:00;0,061560;0,034410;0,093290
2018-01-01 12:30:00;0,061478;0,034319;0,092303
2018-01-01 12:45:00;0,061287;0,034504;0,091784
2018-01-01 13:00:00;0,061086;0,034684;0,091257
2018-01-01 13:15:00;0,060875;0,034860;0,090720
2018-01-01 13:30:00;0,060356;0,034925;0,089755
2018-01-01 13:45:00;0,059996;0,034786;0,089284
2018-01-01 14:00:00;0,059620;0,034640;0,088798
2018-01-01 14:15:00;0,059229;0,034489;0,088297
2018-01-01 14:30:00;0,058338;0,034107;0,086797
2018-01-01 14:45:00;0,057732;0,033827;0,085702
2018-01-01 15:00:00;0,057127;0,033549;0,084608
2018-01-01 15:15:00;0,056524;0,033275;0,083513
2018-01-01 15:30:00;0,055362;0,032559;0,081659
2018-01-01 15:45:00;0,054693;0,032076;0,080797
2018-01-01 16:00:00;0,054033;0,031598;0,079941
2018-01-01 16:15:00;0,053382;0,031125;0,079091
2018-01-01 16:30:00;0,052218;0,030343;0,077048
2018-01-01 16:45:00;0,051633;0,030011;0,075781
2018-01-01 17:00:00;0,051059;0,029683;0,074525
2018-01-01 17:15:00;0,050495;0,029357;0,073280
2018-01-01 17:30:00;0,049490;0,028704;0,071338
2018-01-01 17:45:00;0,049016;0,028366;0,070607
2018-01-01 18:00:00;0,048540;0,028028;0,069874
2018-01-01 18:15:00;0,048063;0,027689;0,069140
2018-01-01 18:30:00;0,047158;0,027012;0,068140
2018-01-01 18:45:00;0,046708;0,026667;0,067852
2018-01-01 19:00:00;0,046265;0,026324;0,067571
2018-01-01 19:15:00;0,045830;0,025984;0,067297
2018-01-01 19:30:00;0,044028;0,024602;0,065552
2018-01-01 19:45:00;0,042653;0,023558;0,064073
2018-01-01 20:00:00;0,041273;0,022514;0,062588
2018-01-01 20:15:00;0,039888;0,021468;0,061098
2018-01-01 20:30:00;0,038201;0,020267;0,059233
2018-01-01 20:45:00;0,037886;0,020109;0,058845
2018-01-01 21:00:00;0,037575;0,019952;0,058461
2018-01-01 21:15:00;0,037268;0,019796;0,058082
2018-01-01 21:30:00;0,037003;0,019625;0,057910
2018-01-01 21:45:00;0,037039;0,019609;0,058113
2018-01-01 22:00:00;0,037074;0,019592;0,058315
2018-01-01 22:15:00;0,037110;0,019575;0,058516
2018-01-01 22:30:00;0,037136;0,019528;0,058626
2018-01-01 22:45:00;0,037123;0,019497;0,058530
2018-01-01 23:00:00;0,037108;0,019466;0,058432
2018-01-01 23:15:00;0,037092;0,019434;0,058333
2018-01-01 23:30:00;0,039471;0,021318;0,059929
2018-01-01 23:45:00;0,041859;0,023233;0,061616
2018-01-02 00:00:00;0,044248;0,025149;0,063306
2018-01-02 00:15:00;0,046639;0,027064;0,064997
2018-01-02 00:30:00;0,048984;0,028884;0,066594
2018-01-02 00:45:00;0,048931;0,028787;0,066494
2018-01-02 01:00:00;0,048875;0,028688;0,066390
2018-01-02 01:15:00;0,048816;0,028588;0,066284
2018-01-02 01:30:00;0,048697;0,028528;0,066269
2018-01-02 01:45:00;0,048623;0,028564;0,066347
2018-01-02 02:00:00;0,048550;0,028600;0,066426
2018-01-02 02:15:00;0,048477;0,028636;0,066505
2018-01-02 02:30:00;0,048426;0,028617;0,066484
2018-01-02 02:45:00;0,048430;0,028556;0,066367
2018-01-02 03:00:00;0,048432;0,028495;0,066249
2018-01-02 03:15:00;0,048433;0,028434;0,066129
2018-01-02 03:30:00;0,048450;0,028363;0,066283
2018-01-02 03:45:00;0,048446;0,028347;0,066538
2018-01-02 04:00:00;0,048444;0,028333;0,066795
2018-01-02 04:15:00;0,048445;0,028319;0,067054
2018-01-02 04:30:00;0,048694;0,028425;0,067516
2018-01-02 04:45:00;0,048930;0,028541;0,067707
2018-01-02 05:00:00;0,049168;0,028659;0,067900
2018-01-02 05:15:00;0,049407;0,028776;0,068095
2018-01-02 05:30:00;0,053525;0,030998;0,074734
2018-01-02 05:45:00;0,057395;0,033099;0,081170
2018-01-02 06:00:00;0,061262;0,035200;0,087604
2018-01-02 06:15:00;0,065127;0,037300;0,094035
2018-01-02 06:30:00;0,070744;0,040556;0,101923
2018-01-02 06:45:00;0,072488;0,041709;0,103371
2018-01-02 07:00:00;0,074239;0,042865;0,104826
2018-01-02 07:15:00;0,075997;0,044024;0,106286
2018-01-02 07:30:00;0,078215;0,045282;0,107964
2018-01-02 07:45:00;0,078698;0,045393;0,108199
2018-01-02 08:00:00;0,079194;0,045511;0,108443
2018-01-02 08:15:00;0,079703;0,045635;0,108697
2018-01-02 08:30:00;0,080585;0,046273;0,109595
2018-01-02 08:45:00;0,081032;0,046821;0,110296
2018-01-02 09:00:00;0,081483;0,047368;0,111003
2018-01-02 09:15:00;0,081939;0,047915;0,111717
2018-01-02 09:30:00;0,082587;0,048254;0,113128
2018-01-02 09:45:00;0,082877;0,048085;0,113910
2018-01-02 10:00:00;0,083164;0,047918;0,114688
2018-01-02 10:15:00;0,083450;0,047752;0,115463
2018-01-02 10:30:00;0,083640;0,047510;0,115750
2018-01-02 10:45:00;0,083630;0,047469;0,115335
2018-01-02 11:00:00;0,083610;0,047426;0,114910
2018-01-02 11:15:00;0,083579;0,047374;0,114479
2018-01-02 11:30:00;0,083182;0,047272;0,113341
2018-01-02 11:45:00;0,082870;0,047241;0,112682
2018-01-02 12:00:00;0,082560;0,047210;0,112027
2018-01-02 12:15:00;0,082252;0,047177;0,111374
2018-01-02 12:30:00;0,081825;0,048098;0,110313
2018-01-02 12:45:00;0,081740;0,049059;0,109938
2018-01-02 13:00:00;0,081639;0,050014;0,109550
2018-01-02 13:15:00;0,081522;0,050964;0,109147
2018-01-02 13:30:00;0,080739;0,050774;0,108360
2018-01-02 13:45:00;0,080043;0,049615;0,107955
2018-01-02 14:00:00;0,079330;0,048448;0,107536
2018-01-02 14:15:00;0,078600;0,047271;0,107104
2018-01-02 14:30:00;0,077375;0,046195;0,105423
2018-01-02 14:45:00;0,076785;0,046246;0,104100
2018-01-02 15:00:00;0,076196;0,046297;0,102778
2018-01-02 15:15:00;0,075609;0,046353;0,101454
2018-01-02 15:30:00;0,074283;0,046248;0,099279
2018-01-02 15:45:00;0,073446;0,046043;0,098347
2018-01-02 16:00:00;0,072621;0,045846;0,097422
2018-01-02 16:15:00;0,071807;0,045656;0,096505
2018-01-02 16:30:00;0,070408;0,045058;0,094877
2018-01-02 16:45:00;0,069764;0,044630;0,094113
2018-01-02 17:00:00;0,069125;0,044205;0,093353
2018-01-02 17:15:00;0,068490;0,043780;0,092597
2018-01-02 17:30:00;0,067130;0,042611;0,090835
2018-01-02 17:45:00;0,066374;0,041856;0,089800
2018-01-02 18:00:00;0,065621;0,041102;0,088767
2018-01-02 18:15:00;0,064869;0,040348;0,087736
2018-01-02 18:30:00;0,063377;0,039210;0,086397
2018-01-02 18:45:00;0,062619;0,038820;0,086073
2018-01-02 19:00:00;0,061864;0,038431;0,085752
2018-01-02 19:15:00;0,061112;0,038043;0,085435
2018-01-02 19:30:00;0,058493;0,035916;0,081996
2018-01-02 19:45:00;0,056615;0,034175;0,078866
2018-01-02 20:00:00;0,054731;0,032432;0,075731
2018-01-02 20:15:00;0,052841;0,030688;0,072590
2018-01-02 20:30:00;0,050615;0,029003;0,069127
2018-01-02 20:45:00;0,050263;0,029057;0,068791
2018-01-02 21:00:00;0,049918;0,029114;0,068461
2018-01-02 21:15:00;0,049581;0,029174;0,068139
2018-01-02 21:30:00;0,049254;0,029233;0,068035
2018-01-02 21:45:00;0,049263;0,029233;0,068252
2018-01-02 22:00:00;0,049271;0,029233;0,068467
2018-01-02 22:15:00;0,049276;0,029232;0,068680
2018-01-02 22:30:00;0,049167;0,029177;0,068424
2018-01-02 22:45:00;0,049060;0,029125;0,067961
2018-01-02 23:00:00;0,048959;0,029075;0,067503
2018-01-02 23:15:00;0,048863;0,029027;0,067051
2018-01-02 23:30:00;0,048794;0,029010;0,066614
2018-01-02 23:45:00;0,048843;0,029048;0,066651
2018-01-03 00:00:00;0,048892;0,029086;0,066688
2018-01-03 00:15:00;0,048941;0,029124;0,066725
2018-01-03 00:30:00;0,049078;0,029037;0,066598
2018-01-03 00:45:00;0,049198;0,028922;0,066465
2018-01-03 01:00:00;0,049322;0,028807;0,066335
2018-01-03 01:15:00;0,049449;0,028694;0,066209
2018-01-03 01:30:00;0,049579;0,028621;0,066288
2018-01-03 01:45:00;0,049629;0,028675;0,066538
2018-01-03 02:00:00;0,049681;0,028730;0,066790
2018-01-03 02:15:00;0,049736;0,028786;0,067045
2018-01-03 02:30:00;0,049786;0,028815;0,067088
2018-01-03 02:45:00;0,049848;0,028808;0,066938
2018-01-03 03:00:00;0,049919;0,028803;0,066796
2018-01-03 03:15:00;0,049999;0,028800;0,066662
2018-01-03 03:30:00;0,050090;0,028812;0,066759
2018-01-03 03:45:00;0,050197;0,028855;0,067080
2018-01-03 04:00:00;0,050305;0,028898;0,067401
2018-01-03 04:15:00;0,050414;0,028941;0,067723
2018-01-03 04:30:00;0,050803;0,029017;0,068282
2018-01-03 04:45:00;0,051172;0,029077;0,068602
2018-01-03 05:00:00;0,051524;0,029131;0,068905
2018-01-03 05:15:00;0,051857;0,029179;0,069191
2018-01-03 05:30:00;0,056019;0,030853;0,075765
2018-01-03 05:45:00;0,059895;0,032491;0,082098
2018-01-03 06:00:00;0,063783;0,034133;0,088443
2018-01-03 06:15:00;0,067684;0,035777;0,094801
2018-01-03 06:30:00;0,073404;0,039790;0,103138
2018-01-03 06:45:00;0,075277;0,042172;0,105172
2018-01-03 07:00:00;0,077138;0,044552;0,107193
2018-01-03 07:15:00;0,078987;0,046931;0,109200
2018-01-03 07:30:00;0,081269;0,048988;0,111853
2018-01-03 07:45:00;0,081735;0,048682;0,112526
2018-01-03 08:00:00;0,082206;0,048380;0,113201
2018-01-03 08:15:00;0,082680;0,048080;0,113879
2018-01-03 08:30:00;0,083345;0,048452;0,114893
2018-01-03 08:45:00;0,083567;0,049147;0,115250
2018-01-03 09:00:00;0,083788;0,049842;0,115605
2018-01-03 09:15:00;0,084008;0,050536;0,115960
2018-01-03 09:30:00;0,084771;0,051442;0,116777
2018-01-03 09:45:00;0,085335;0,051675;0,117249
2018-01-03 10:00:00;0,085891;0,051904;0,117714
2018-01-03 10:15:00;0,086438;0,052128;0,118172
2018-01-03 10:30:00;0,086742;0,052538;0,119104
2018-01-03 10:45:00;0,086482;0,052729;0,119552
2018-01-03 11:00:00;0,086209;0,052914;0,119990
2018-01-03 11:15:00;0,085925;0,053092;0,120419
2018-01-03 11:30:00;0,084814;0,053046;0,119902
2018-01-03 11:45:00;0,083939;0,052810;0,118906
2018-01-03 12:00:00;0,083077;0,052577;0,117926
2018-01-03 12:15:00;0,082230;0,052346;0,116962
2018-01-03 12:30:00;0,081537;0,052079;0,115535
2018-01-03 12:45:00;0,081662;0,052030;0,115050
2018-01-03 13:00:00;0,081777;0,051974;0,114557
2018-01-03 13:15:00;0,081882;0,051913;0,114057
2018-01-03 13:30:00;0,081598;0,051551;0,112398
2018-01-03 13:45:00;0,081158;0,051219;0,111202
2018-01-03 14:00:00;0,080713;0,050884;0,110003
2018-01-03 14:15:00;0,080263;0,050546;0,108800
2018-01-03 14:30:00;0,079078;0,049950;0,106411
2018-01-03 14:45:00;0,078270;0,049649;0,105170
2018-01-03 15:00:00;0,077465;0,049350;0,103931
2018-01-03 15:15:00;0,076663;0,049056;0,102691
2018-01-03 15:30:00;0,075017;0,048397;0,099927
2018-01-03 15:45:00;0,074108;0,047999;0,098350
2018-01-03 16:00:00;0,073204;0,047606;0,096775
2018-01-03 16:15:00;0,072306;0,047217;0,095204
2018-01-03 16:30:00;0,070753;0,046130;0,092856
2018-01-03 16:45:00;0,070060;0,045418;0,092045
2018-01-03 17:00:00;0,069375;0,044708;0,091241
2018-01-03 17:15:00;0,068699;0,044002;0,090446
2018-01-03 17:30:00;0,067424;0,042836;0,088725
2018-01-03 17:45:00;0,066812;0,042373;0,087788
2018-01-03 18:00:00;0,066196;0,041908;0,086846
2018-01-03 18:15:00;0,065576;0,041442;0,085901
2018-01-03 18:30:00;0,064271;0,040534;0,084215
2018-01-03 18:45:00;0,063571;0,040088;0,083460
2018-01-03 19:00:00;0,062874;0,039642;0,082708
2018-01-03 19:15:00;0,062179;0,039198;0,081958
2018-01-03 19:30:00;0,059637;0,037028;0,079626
2018-01-03 19:45:00;0,057782;0,035301;0,078037
2018-01-03 20:00:00;0,055932;0,033575;0,076452
2018-01-03 20:15:00;0,054086;0,031851;0,074872
2018-01-03 20:30:00;0,051898;0,030005;0,073145
2018-01-03 20:45:00;0,051561;0,029886;0,073003
2018-01-03 21:00:00;0,051218;0,029764;0,072855
2018-01-03 21:15:00;0,050869;0,029641;0,072701
2018-01-03 21:30:00;0,050575;0,029491;0,072426
2018-01-03 21:45:00;0,050622;0,029460;0,072296
2018-01-03 22:00:00;0,050669;0,029430;0,072166
2018-01-03 22:15:00;0,050716;0,029400;0,072036
2018-01-03 22:30:00;0,050744;0,029297;0,072181
2018-01-03 22:45:00;0,050717;0,029222;0,072449
2018-01-03 23:00:00;0,050696;0,029149;0,072723
2018-01-03 23:15:00;0,050682;0,029079;0,073004
2018-01-03 23:30:00;0,050659;0,029043;0,072708
2018-01-03 23:45:00;0,050653;0,029080;0,072134
2018-01-04 00:00:00;0,050639;0,029115;0,071552
2018-01-04 00:15:00;0,050616;0,029147;0,070962
2018-01-04 00:30:00;0,050557;0,029107;0,070298
2018-01-04 00:45:00;0,050508;0,029032;0,070213
2018-01-04 01:00:00;0,050463;0,028958;0,070131
2018-01-04 01:15:00;0,050420;0,028885;0,070051
2018-01-04 01:30:00;0,050460;0,028908;0,070269
2018-01-04 01:45:00;0,050535;0,029001;0,070560
2018-01-04 02:00:00;0,050613;0,029096;0,070854
