;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,009953;0,000812;0,056295
2018-01-01 00:30:00;0,009944;0,000811;0,056372
2018-01-01 00:45:00;0,009935;0,000810;0,056450
2018-01-01 01:00:00;0,009926;0,000809;0,056528
2018-01-01 01:15:00;0,009917;0,000808;0,056605
2018-01-01 01:30:00;0,009943;0,000808;0,056750
2018-01-01 01:45:00;0,009978;0,000808;0,056826
2018-01-01 02:00:00;0,010014;0,000809;0,056905
2018-01-01 02:15:00;0,010050;0,000810;0,056988
2018-01-01 02:30:00;0,010119;0,000807;0,056929
2018-01-01 02:45:00;0,010153;0,000804;0,056802
2018-01-01 03:00:00;0,010187;0,000801;0,056673
2018-01-01 03:15:00;0,010220;0,000798;0,056542
2018-01-01 03:30:00;0,010314;0,000801;0,056889
2018-01-01 03:45:00;0,010374;0,000808;0,057380
2018-01-01 04:00:00;0,010435;0,000815;0,057873
2018-01-01 04:15:00;0,010496;0,000822;0,058367
2018-01-01 04:30:00;0,011206;0,000839;0,067341
2018-01-01 04:45:00;0,011856;0,000850;0,075840
2018-01-01 05:00:00;0,012505;0,000861;0,084340
2018-01-01 05:15:00;0,013155;0,000871;0,092843
2018-01-01 05:30:00;0,017837;0,001101;0,114726
2018-01-01 05:45:00;0,021871;0,001321;0,128136
2018-01-01 06:00:00;0,025906;0,001541;0,141549
2018-01-01 06:15:00;0,029941;0,001761;0,154964
2018-01-01 06:30:00;0,041288;0,003822;0,175391
2018-01-01 06:45:00;0,048604;0,005664;0,182437
2018-01-01 07:00:00;0,055917;0,007505;0,189477
2018-01-01 07:15:00;0,063223;0,009341;0,196513
2018-01-01 07:30:00;0,073081;0,012800;0,207273
2018-01-01 07:45:00;0,075605;0,014396;0,211015
2018-01-01 08:00:00;0,078104;0,015962;0,214754
2018-01-01 08:15:00;0,080575;0,017499;0,218491
2018-01-01 08:30:00;0,082725;0,018997;0,218991
2018-01-01 08:45:00;0,082295;0,018841;0,215749
2018-01-01 09:00:00;0,081861;0,018680;0,212499
2018-01-01 09:15:00;0,081440;0,018533;0,209236
2018-01-01 09:30:00;0,081019;0,018394;0,205373
2018-01-01 09:45:00;0,080908;0,018278;0,204735
2018-01-01 10:00:00;0,080790;0,018155;0,204102
2018-01-01 10:15:00;0,080671;0,018032;0,203474
2018-01-01 10:30:00;0,080541;0,017953;0,202507
2018-01-01 10:45:00;0,080438;0,017896;0,202138
2018-01-01 11:00:00;0,080355;0,017860;0,201774
2018-01-01 11:15:00;0,080304;0,017859;0,201413
2018-01-01 11:30:00;0,080331;0,017936;0,201091
2018-01-01 11:45:00;0,080392;0,017995;0,201115
2018-01-01 12:00:00;0,080462;0,018064;0,201137
2018-01-01 12:15:00;0,080538;0,018140;0,201156
2018-01-01 12:30:00;0,080487;0,018266;0,201150
2018-01-01 12:45:00;0,080401;0,018363;0,201115
2018-01-01 13:00:00;0,080331;0,018478;0,201085
2018-01-01 13:15:00;0,080273;0,018606;0,201062
2018-01-01 13:30:00;0,080072;0,018657;0,200793
2018-01-01 13:45:00;0,080028;0,018689;0,200567
2018-01-01 14:00:00;0,079993;0,018733;0,200352
2018-01-01 14:15:00;0,079962;0,018782;0,200151
2018-01-01 14:30:00;0,079911;0,018734;0,199710
2018-01-01 14:45:00;0,080026;0,018790;0,199533
2018-01-01 15:00:00;0,080137;0,018843;0,199355
2018-01-01 15:15:00;0,080230;0,018874;0,199182
2018-01-01 15:30:00;0,080445;0,018783;0,199350
2018-01-01 15:45:00;0,080661;0,018770;0,199767
2018-01-01 16:00:00;0,080850;0,018727;0,200183
2018-01-01 16:15:00;0,081020;0,018661;0,200596
2018-01-01 16:30:00;0,081256;0,018513;0,201613
2018-01-01 16:45:00;0,081340;0,018455;0,202279
2018-01-01 17:00:00;0,081422;0,018393;0,202937
2018-01-01 17:15:00;0,081502;0,018330;0,203585
2018-01-01 17:30:00;0,081652;0,018353;0,204638
2018-01-01 17:45:00;0,081728;0,018447;0,205075
2018-01-01 18:00:00;0,081804;0,018543;0,205515
2018-01-01 18:15:00;0,081881;0,018639;0,205958
2018-01-01 18:30:00;0,081852;0,018701;0,206262
2018-01-01 18:45:00;0,081751;0,018673;0,206148
2018-01-01 19:00:00;0,081648;0,018642;0,206025
2018-01-01 19:15:00;0,081544;0,018610;0,205895
2018-01-01 19:30:00;0,069666;0,015226;0,195334
2018-01-01 19:45:00;0,057894;0,011876;0,184912
2018-01-01 20:00:00;0,046122;0,008526;0,174495
2018-01-01 20:15:00;0,034351;0,005176;0,164083
2018-01-01 20:30:00;0,020515;0,001682;0,134060
2018-01-01 20:45:00;0,018450;0,001538;0,114460
2018-01-01 21:00:00;0,016386;0,001393;0,094857
2018-01-01 21:15:00;0,014321;0,001249;0,075249
2018-01-01 21:30:00;0,012056;0,001102;0,053752
2018-01-01 21:45:00;0,011856;0,001100;0,051868
2018-01-01 22:00:00;0,011656;0,001098;0,049983
2018-01-01 22:15:00;0,011457;0,001097;0,048099
2018-01-01 22:30:00;0,011093;0,001069;0,046160
2018-01-01 22:45:00;0,010929;0,001042;0,046107
2018-01-01 23:00:00;0,010765;0,001016;0,046055
2018-01-01 23:15:00;0,010601;0,000990;0,046004
2018-01-01 23:30:00;0,013857;0,002591;0,050208
2018-01-01 23:45:00;0,017277;0,004219;0,054466
2018-01-02 00:00:00;0,020698;0,005847;0,058724
2018-01-02 00:15:00;0,024118;0,007475;0,062982
2018-01-02 00:30:00;0,027454;0,009070;0,067239
2018-01-02 00:45:00;0,027369;0,009038;0,067243
2018-01-02 01:00:00;0,027285;0,009006;0,067248
2018-01-02 01:15:00;0,027201;0,008975;0,067254
2018-01-02 01:30:00;0,027202;0,008925;0,068836
2018-01-02 01:45:00;0,027289;0,008908;0,070418
2018-01-02 02:00:00;0,027375;0,008891;0,072000
2018-01-02 02:15:00;0,027462;0,008874;0,073582
2018-01-02 02:30:00;0,027615;0,008834;0,074422
2018-01-02 02:45:00;0,027682;0,008814;0,073687
2018-01-02 03:00:00;0,027750;0,008794;0,072953
2018-01-02 03:15:00;0,027818;0,008775;0,072218
2018-01-02 03:30:00;0,028069;0,008789;0,073658
2018-01-02 03:45:00;0,028254;0,008826;0,075838
2018-01-02 04:00:00;0,028438;0,008862;0,078018
2018-01-02 04:15:00;0,028623;0,008897;0,080196
2018-01-02 04:30:00;0,030534;0,008939;0,095566
2018-01-02 04:45:00;0,032261;0,008945;0,108760
2018-01-02 05:00:00;0,033988;0,008952;0,121954
2018-01-02 05:15:00;0,035715;0,008959;0,135147
2018-01-02 05:30:00;0,048561;0,011151;0,166454
2018-01-02 05:45:00;0,059681;0,013338;0,184571
2018-01-02 06:00:00;0,070801;0,015524;0,202689
2018-01-02 06:15:00;0,081922;0,017712;0,220809
2018-01-02 06:30:00;0,113442;0,037279;0,248834
2018-01-02 06:45:00;0,133842;0,054655;0,258742
2018-01-02 07:00:00;0,154234;0,072013;0,268645
2018-01-02 07:15:00;0,174606;0,089318;0,278545
2018-01-02 07:30:00;0,202940;0,125016;0,292916
2018-01-02 07:45:00;0,210822;0,143118;0,297372
2018-01-02 08:00:00;0,218645;0,160977;0,301824
2018-01-02 08:15:00;0,226417;0,178619;0,306270
2018-01-02 08:30:00;0,233276;0,196087;0,307695
2018-01-02 08:45:00;0,232129;0,194987;0,304633
2018-01-02 09:00:00;0,231013;0,194010;0,301564
2018-01-02 09:15:00;0,229939;0,193199;0,298487
2018-01-02 09:30:00;0,228942;0,193167;0,294860
2018-01-02 09:45:00;0,228850;0,193238;0,294242
2018-01-02 10:00:00;0,228710;0,193115;0,293632
2018-01-02 10:15:00;0,228537;0,192864;0,293029
2018-01-02 10:30:00;0,228254;0,193204;0,292236
2018-01-02 10:45:00;0,227927;0,192905;0,291998
2018-01-02 11:00:00;0,227618;0,192681;0,291768
2018-01-02 11:15:00;0,227383;0,192756;0,291538
2018-01-02 11:30:00;0,227267;0,193856;0,291016
2018-01-02 11:45:00;0,227273;0,194411;0,290689
2018-01-02 12:00:00;0,227314;0,195105;0,290353
2018-01-02 12:15:00;0,227381;0,195902;0,290011
2018-01-02 12:30:00;0,227114;0,196399;0,289353
2018-01-02 12:45:00;0,226806;0,196188;0,289001
2018-01-02 13:00:00;0,226502;0,196006;0,288662
2018-01-02 13:15:00;0,226212;0,195882;0,288338
2018-01-02 13:30:00;0,225660;0,195492;0,288076
2018-01-02 13:45:00;0,225524;0,195757;0,288149
2018-01-02 14:00:00;0,225447;0,196271;0,288233
2018-01-02 14:15:00;0,225461;0,197175;0,288324
2018-01-02 14:30:00;0,225616;0,198020;0,288635
2018-01-02 14:45:00;0,226102;0,199440;0,288909
2018-01-02 15:00:00;0,226585;0,200856;0,289184
2018-01-02 15:15:00;0,227015;0,202049;0,289467
2018-01-02 15:30:00;0,227731;0,201220;0,289963
2018-01-02 15:45:00;0,228286;0,200369;0,290248
2018-01-02 16:00:00;0,228761;0,199172;0,290530
2018-01-02 16:15:00;0,229176;0,197714;0,290806
2018-01-02 16:30:00;0,230118;0,195253;0,291434
2018-01-02 16:45:00;0,230686;0,194441;0,291841
2018-01-02 17:00:00;0,231252;0,193621;0,292245
2018-01-02 17:15:00;0,231817;0,192791;0,292643
2018-01-02 17:30:00;0,232683;0,192479;0,293465
2018-01-02 17:45:00;0,232995;0,193050;0,293919
2018-01-02 18:00:00;0,233306;0,193616;0,294368
2018-01-02 18:15:00;0,233616;0,194176;0,294815
2018-01-02 18:30:00;0,233901;0,195135;0,295092
