;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,082058;0,048299;0,103318
2018-01-01 00:30:00;0,080962;0,047744;0,101161
2018-01-01 00:45:00;0,079863;0,047188;0,099001
2018-01-01 01:00:00;0,078764;0,046632;0,096841
2018-01-01 01:15:00;0,077665;0,046076;0,094680
2018-01-01 01:30:00;0,075946;0,045102;0,091790
2018-01-01 01:45:00;0,075301;0,044672;0,091031
2018-01-01 02:00:00;0,074646;0,044237;0,090262
2018-01-01 02:15:00;0,073980;0,043796;0,089481
2018-01-01 02:30:00;0,073199;0,042998;0,088723
2018-01-01 02:45:00;0,073033;0,042615;0,088691
2018-01-01 03:00:00;0,072875;0,042235;0,088667
2018-01-01 03:15:00;0,072724;0,041860;0,088651
2018-01-01 03:30:00;0,072476;0,041439;0,088640
2018-01-01 03:45:00;0,072338;0,041372;0,088598
2018-01-01 04:00:00;0,072196;0,041303;0,088552
2018-01-01 04:15:00;0,072050;0,041233;0,088501
2018-01-01 04:30:00;0,072524;0,041457;0,094018
2018-01-01 04:45:00;0,073096;0,041727;0,099527
2018-01-01 05:00:00;0,073666;0,041997;0,105033
2018-01-01 05:15:00;0,074235;0,042266;0,110533
2018-01-01 05:30:00;0,080415;0,044761;0,134475
2018-01-01 05:45:00;0,085966;0,046956;0,152827
2018-01-01 06:00:00;0,091514;0,049150;0,171166
2018-01-01 06:15:00;0,097057;0,051343;0,189494
2018-01-01 06:30:00;0,104891;0,059949;0,208093
2018-01-01 06:45:00;0,107119;0,066332;0,208257
2018-01-01 07:00:00;0,109358;0,072719;0,208442
2018-01-01 07:15:00;0,111604;0,079106;0,208649
2018-01-01 07:30:00;0,115001;0,086382;0,209365
2018-01-01 07:45:00;0,116119;0,087248;0,209839
2018-01-01 08:00:00;0,117238;0,088110;0,210335
2018-01-01 08:15:00;0,118359;0,088969;0,210853
2018-01-01 08:30:00;0,118877;0,088561;0,205672
2018-01-01 08:45:00;0,118265;0,087271;0,200040
2018-01-01 09:00:00;0,117664;0,085987;0,194421
2018-01-01 09:15:00;0,117080;0,084716;0,188819
2018-01-01 09:30:00;0,118417;0,084312;0,189574
2018-01-01 09:45:00;0,120372;0,085182;0,196059
2018-01-01 10:00:00;0,122318;0,086046;0,202537
2018-01-01 10:15:00;0,124259;0,086906;0,209009
2018-01-01 10:30:00;0,125321;0,086871;0,214140
2018-01-01 10:45:00;0,124466;0,085976;0,212898
2018-01-01 11:00:00;0,123604;0,085080;0,211633
2018-01-01 11:15:00;0,122742;0,084188;0,210345
2018-01-01 11:30:00;0,120723;0,082548;0,205290
2018-01-01 11:45:00;0,119571;0,081799;0,201547
2018-01-01 12:00:00;0,118426;0,081057;0,197805
2018-01-01 12:15:00;0,117287;0,080320;0,194063
2018-01-01 12:30:00;0,115719;0,077993;0,190897
2018-01-01 12:45:00;0,115303;0,076418;0,191458
2018-01-01 13:00:00;0,114881;0,074841;0,191999
2018-01-01 13:15:00;0,114451;0,073260;0,192522
2018-01-01 13:30:00;0,113398;0,071788;0,192867
2018-01-01 13:45:00;0,112758;0,071900;0,192588
2018-01-01 14:00:00;0,112104;0,072004;0,192279
2018-01-01 14:15:00;0,111434;0,072102;0,191939
2018-01-01 14:30:00;0,110198;0,072073;0,189130
2018-01-01 14:45:00;0,109560;0,071925;0,186454
2018-01-01 15:00:00;0,108919;0,071773;0,183782
2018-01-01 15:15:00;0,108267;0,071611;0,181112
2018-01-01 15:30:00;0,107765;0,071291;0,178155
2018-01-01 15:45:00;0,107810;0,071083;0,177652
2018-01-01 16:00:00;0,107852;0,070869;0,177161
2018-01-01 16:15:00;0,107894;0,070654;0,176683
2018-01-01 16:30:00;0,107759;0,069636;0,175825
2018-01-01 16:45:00;0,107483;0,068776;0,175293
2018-01-01 17:00:00;0,107221;0,067925;0,174781
2018-01-01 17:15:00;0,106973;0,067083;0,174291
2018-01-01 17:30:00;0,107818;0,066676;0,178179
2018-01-01 17:45:00;0,108857;0,067082;0,182475
2018-01-01 18:00:00;0,109891;0,067486;0,186764
2018-01-01 18:15:00;0,110923;0,067888;0,191046
2018-01-01 18:30:00;0,112551;0,068839;0,196198
2018-01-01 18:45:00;0,113110;0,069368;0,197007
2018-01-01 19:00:00;0,113681;0,069903;0,197835
2018-01-01 19:15:00;0,114264;0,070445;0,198683
2018-01-01 19:30:00;0,113006;0,070071;0,190997
2018-01-01 19:45:00;0,111149;0,069146;0,182439
2018-01-01 20:00:00;0,109282;0,068215;0,173866
2018-01-01 20:15:00;0,107404;0,067279;0,165279
2018-01-01 20:30:00;0,105341;0,066189;0,154985
2018-01-01 20:45:00;0,105130;0,066020;0,153242
2018-01-01 21:00:00;0,104928;0,065856;0,151511
2018-01-01 21:15:00;0,104734;0,065697;0,149792
2018-01-01 21:30:00;0,104048;0,065433;0,145458
2018-01-01 21:45:00;0,103544;0,065322;0,142828
2018-01-01 22:00:00;0,103040;0,065211;0,140197
2018-01-01 22:15:00;0,102535;0,065099;0,137565
2018-01-01 22:30:00;0,100470;0,062956;0,132623
2018-01-01 22:45:00;0,098904;0,060921;0,130304
2018-01-01 23:00:00;0,097334;0,058885;0,127981
2018-01-01 23:15:00;0,095761;0,056847;0,125655
2018-01-01 23:30:00;0,093720;0,054593;0,121340
2018-01-01 23:45:00;0,093236;0,054370;0,119334
2018-01-02 00:00:00;0,092755;0,054148;0,117331
2018-01-02 00:15:00;0,092276;0,053927;0,115331
2018-01-02 00:30:00;0,090108;0,053039;0,109815
2018-01-02 00:45:00;0,088405;0,052365;0,106283
2018-01-02 01:00:00;0,086699;0,051689;0,102749
2018-01-02 01:15:00;0,084990;0,051012;0,099211
2018-01-02 01:30:00;0,082426;0,049797;0,094625
2018-01-02 01:45:00;0,081551;0,049248;0,093555
2018-01-02 02:00:00;0,080677;0,048700;0,092486
2018-01-02 02:15:00;0,079803;0,048153;0,091417
2018-01-02 02:30:00;0,078645;0,047180;0,090283
2018-01-02 02:45:00;0,078339;0,046743;0,090195
2018-01-02 03:00:00;0,078033;0,046305;0,090105
2018-01-02 03:15:00;0,077726;0,045868;0,090015
2018-01-02 03:30:00;0,077315;0,045481;0,089952
2018-01-02 03:45:00;0,077191;0,045521;0,089957
2018-01-02 04:00:00;0,077071;0,045563;0,089966
2018-01-02 04:15:00;0,076953;0,045606;0,089977
2018-01-02 04:30:00;0,077593;0,045863;0,096608
2018-01-02 04:45:00;0,078339;0,046070;0,103214
2018-01-02 05:00:00;0,079086;0,046278;0,109821
2018-01-02 05:15:00;0,079834;0,046486;0,116429
2018-01-02 05:30:00;0,087179;0,049181;0,142291
2018-01-02 05:45:00;0,093770;0,051664;0,161534
2018-01-02 06:00:00;0,100358;0,054146;0,180773
2018-01-02 06:15:00;0,106944;0,056627;0,200008
2018-01-02 06:30:00;0,116307;0,067826;0,219620
2018-01-02 06:45:00;0,119078;0,076543;0,219988
2018-01-02 07:00:00;0,121856;0,085263;0,220369
2018-01-02 07:15:00;0,124634;0,093981;0,220760
2018-01-02 07:30:00;0,128755;0,103914;0,223405
2018-01-02 07:45:00;0,130108;0,105132;0,225703
2018-01-02 08:00:00;0,131464;0,106346;0,228023
2018-01-02 08:15:00;0,132825;0,107561;0,230367
2018-01-02 08:30:00;0,132886;0,106725;0,225597
2018-01-02 08:45:00;0,131622;0,104682;0,218613
2018-01-02 09:00:00;0,130371;0,102651;0,211632
2018-01-02 09:15:00;0,129134;0,100632;0,204655
2018-01-02 09:30:00;0,129581;0,098848;0,203545
2018-01-02 09:45:00;0,131347;0,099128;0,209572
2018-01-02 10:00:00;0,133100;0,099397;0,215594
2018-01-02 10:15:00;0,134844;0,099657;0,221611
2018-01-02 10:30:00;0,135795;0,098899;0,225681
2018-01-02 10:45:00;0,135060;0,097907;0,223868
2018-01-02 11:00:00;0,134318;0,096912;0,222039
2018-01-02 11:15:00;0,133581;0,095924;0,220198
2018-01-02 11:30:00;0,131678;0,094180;0,215113
2018-01-02 11:45:00;0,130556;0,093446;0,211956
2018-01-02 12:00:00;0,129443;0,092720;0,208802
2018-01-02 12:15:00;0,128337;0,092001;0,205651
2018-01-02 12:30:00;0,126628;0,089414;0,203385
2018-01-02 12:45:00;0,126073;0,087580;0,204324
2018-01-02 13:00:00;0,125503;0,085737;0,205238
2018-01-02 13:15:00;0,124917;0,083884;0,206126
2018-01-02 13:30:00;0,123666;0,081992;0,205326
2018-01-02 13:45:00;0,122998;0,081960;0,203593
2018-01-02 14:00:00;0,122322;0,081926;0,201834
