;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,105271;0,101071;0,110685
2018-01-01 00:30:00;0,105225;0,101024;0,110611
2018-01-01 00:45:00;0,105179;0,100975;0,110535
2018-01-01 01:00:00;0,105135;0,100930;0,110462
2018-01-01 01:15:00;0,105095;0,100887;0,110393
2018-01-01 01:30:00;0,105100;0,100851;0,110513
2018-01-01 01:45:00;0,105122;0,100838;0,110677
2018-01-01 02:00:00;0,105128;0,100812;0,110825
2018-01-01 02:15:00;0,105119;0,100772;0,110957
2018-01-01 02:30:00;0,105094;0,100695;0,110838
2018-01-01 02:45:00;0,105018;0,100606;0,110525
2018-01-01 03:00:00;0,104951;0,100526;0,110222
2018-01-01 03:15:00;0,104893;0,100452;0,109927
2018-01-01 03:30:00;0,104813;0,100396;0,109694
2018-01-01 03:45:00;0,104737;0,100365;0,109699
2018-01-01 04:00:00;0,104654;0,100329;0,109698
2018-01-01 04:15:00;0,104566;0,100288;0,109690
2018-01-01 04:30:00;0,104302;0,100155;0,109470
2018-01-01 04:45:00;0,104061;0,100007;0,109190
2018-01-01 05:00:00;0,103818;0,099858;0,108909
2018-01-01 05:15:00;0,103574;0,099708;0,108626
2018-01-01 05:30:00;0,103316;0,099514;0,108406
2018-01-01 05:45:00;0,103228;0,099406;0,108392
2018-01-01 06:00:00;0,103141;0,099298;0,108379
2018-01-01 06:15:00;0,103054;0,099191;0,108367
2018-01-01 06:30:00;0,103015;0,099090;0,108424
2018-01-01 06:45:00;0,103000;0,099041;0,108430
2018-01-01 07:00:00;0,102997;0,099001;0,108447
2018-01-01 07:15:00;0,103001;0,098968;0,108472
2018-01-01 07:30:00;0,103093;0,098949;0,108509
2018-01-01 07:45:00;0,103156;0,098939;0,108493
2018-01-01 08:00:00;0,103222;0,098931;0,108480
2018-01-01 08:15:00;0,103293;0,098924;0,108469
2018-01-01 08:30:00;0,103403;0,099052;0,108567
2018-01-01 08:45:00;0,103453;0,099188;0,108679
2018-01-01 09:00:00;0,103513;0,099332;0,108800
2018-01-01 09:15:00;0,103587;0,099488;0,108936
2018-01-01 09:30:00;0,103495;0,099619;0,108764
2018-01-01 09:45:00;0,103378;0,099628;0,108497
2018-01-01 10:00:00;0,103254;0,099629;0,108222
2018-01-01 10:15:00;0,103125;0,099626;0,107942
2018-01-01 10:30:00;0,103148;0,099678;0,107754
2018-01-01 10:45:00;0,103339;0,099760;0,107880
2018-01-01 11:00:00;0,103524;0,099838;0,108001
2018-01-01 11:15:00;0,103704;0,099914;0,108119
2018-01-01 11:30:00;0,103798;0,100015;0,108374
