;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,045236;0,011471;0,101513
2018-01-01 00:30:00;0,045299;0,011482;0,101532
2018-01-01 00:45:00;0,045363;0,011494;0,101551
2018-01-01 01:00:00;0,045427;0,011506;0,101571
2018-01-01 01:15:00;0,045491;0,011519;0,101593
2018-01-01 01:30:00;0,045533;0,011522;0,101340
2018-01-01 01:45:00;0,045506;0,011512;0,101057
2018-01-01 02:00:00;0,045476;0,011502;0,100767
2018-01-01 02:15:00;0,045442;0,011490;0,100469
2018-01-01 02:30:00;0,045672;0,011479;0,101027
2018-01-01 02:45:00;0,045924;0,011476;0,101856
2018-01-01 03:00:00;0,046177;0,011474;0,102687
2018-01-01 03:15:00;0,046431;0,011472;0,103522
2018-01-01 03:30:00;0,046832;0,011461;0,104431
2018-01-01 03:45:00;0,046967;0,011448;0,104478
2018-01-01 04:00:00;0,047101;0,011434;0,104522
2018-01-01 04:15:00;0,047234;0,011421;0,104565
2018-01-01 04:30:00;0,047590;0,011361;0,105377
2018-01-01 04:45:00;0,047798;0,011311;0,106115
2018-01-01 05:00:00;0,048006;0,011260;0,106851
2018-01-01 05:15:00;0,048212;0,011210;0,107585
2018-01-01 05:30:00;0,053935;0,013013;0,126897
2018-01-01 05:45:00;0,059430;0,014861;0,145429
2018-01-01 06:00:00;0,064924;0,016708;0,163954
2018-01-01 06:15:00;0,070417;0,018555;0,182474
2018-01-01 06:30:00;0,079516;0,021238;0,212531
2018-01-01 06:45:00;0,083101;0,022068;0,224013
2018-01-01 07:00:00;0,086689;0,022899;0,235501
2018-01-01 07:15:00;0,090278;0,023729;0,246983
2018-01-01 07:30:00;0,097838;0,026707;0,262276
2018-01-01 07:45:00;0,101791;0,028845;0,266018
2018-01-01 08:00:00;0,105740;0,030979;0,269733
2018-01-01 08:15:00;0,109685;0,033109;0,273424
2018-01-01 08:30:00;0,115124;0,036839;0,281650
2018-01-01 08:45:00;0,116595;0,038421;0,286060
2018-01-01 09:00:00;0,118070;0,040004;0,290474
2018-01-01 09:15:00;0,119556;0,041592;0,294927
2018-01-01 09:30:00;0,121680;0,043337;0,300696
2018-01-01 09:45:00;0,122314;0,043480;0,301934
2018-01-01 10:00:00;0,122943;0,043622;0,303159
2018-01-01 10:15:00;0,123570;0,043762;0,304376
2018-01-01 10:30:00;0,124295;0,043692;0,305161
2018-01-01 10:45:00;0,124389;0,043471;0,304663
2018-01-01 11:00:00;0,124483;0,043252;0,304175
2018-01-01 11:15:00;0,124580;0,043036;0,303707
2018-01-01 11:30:00;0,124743;0,042891;0,303357
2018-01-01 11:45:00;0,124813;0,042961;0,303476
2018-01-01 12:00:00;0,124890;0,043036;0,303624
2018-01-01 12:15:00;0,124973;0,043116;0,303796
2018-01-01 12:30:00;0,125306;0,043624;0,306483
2018-01-01 12:45:00;0,125581;0,044070;0,309101
2018-01-01 13:00:00;0,125849;0,044514;0,311703
2018-01-01 13:15:00;0,126109;0,044954;0,314282
2018-01-01 13:30:00;0,125546;0,045188;0,311813
2018-01-01 13:45:00;0,124734;0,044999;0,306859
2018-01-01 14:00:00;0,123917;0,044809;0,301894
2018-01-01 14:15:00;0,123095;0,044617;0,296922
2018-01-01 14:30:00;0,121251;0,043955;0,287422
2018-01-01 14:45:00;0,120222;0,043497;0,282959
2018-01-01 15:00:00;0,119186;0,043034;0,278472
2018-01-01 15:15:00;0,118139;0,042563;0,273945
2018-01-01 15:30:00;0,115652;0,041524;0,269690
2018-01-01 15:45:00;0,114177;0,040950;0,269930
2018-01-01 16:00:00;0,112697;0,040371;0,270141
2018-01-01 16:15:00;0,111214;0,039789;0,270333
2018-01-01 16:30:00;0,107469;0,038211;0,266593
2018-01-01 16:45:00;0,105160;0,037198;0,262551
2018-01-01 17:00:00;0,102858;0,036186;0,258523
2018-01-01 17:15:00;0,100563;0,035178;0,254511
2018-01-01 17:30:00;0,096381;0,033208;0,249626
2018-01-01 17:45:00;0,094468;0,032235;0,248685
2018-01-01 18:00:00;0,092553;0,031262;0,247739
2018-01-01 18:15:00;0,090637;0,030288;0,246788
2018-01-01 18:30:00;0,086607;0,028021;0,242567
2018-01-01 18:45:00;0,084473;0,026721;0,239244
2018-01-01 19:00:00;0,082346;0,025422;0,235936
2018-01-01 19:15:00;0,080223;0,024126;0,232643
2018-01-01 19:30:00;0,073729;0,020770;0,213868
2018-01-01 19:45:00;0,069350;0,018709;0,198367
2018-01-01 20:00:00;0,064970;0,016647;0,182861
2018-01-01 20:15:00;0,060588;0,014584;0,167350
2018-01-01 20:30:00;0,055038;0,012474;0,144776
2018-01-01 20:45:00;0,053865;0,012424;0,137698
2018-01-01 21:00:00;0,052695;0,012374;0,130625
2018-01-01 21:15:00;0,051526;0,012325;0,123558
2018-01-01 21:30:00;0,049704;0,012275;0,113671
2018-01-01 21:45:00;0,049050;0,012273;0,110848
2018-01-01 22:00:00;0,048396;0,012271;0,108026
2018-01-01 22:15:00;0,047742;0,012269;0,105205
2018-01-01 22:30:00;0,046903;0,012257;0,101644
2018-01-01 22:45:00;0,046718;0,012247;0,100905
2018-01-01 23:00:00;0,046532;0,012236;0,100165
2018-01-01 23:15:00;0,046346;0,012225;0,099422
2018-01-01 23:30:00;0,052981;0,019081;0,101969
2018-01-01 23:45:00;0,059802;0,025947;0,105255
2018-01-02 00:00:00;0,066623;0,032813;0,108542
2018-01-02 00:15:00;0,073443;0,039679;0,111829
2018-01-02 00:30:00;0,080268;0,046509;0,114977
2018-01-02 00:45:00;0,080267;0,046471;0,114831
2018-01-02 01:00:00;0,080264;0,046431;0,114682
2018-01-02 01:15:00;0,080260;0,046391;0,114530
2018-01-02 01:30:00;0,080252;0,046374;0,114390
2018-01-02 01:45:00;0,080239;0,046392;0,114388
2018-01-02 02:00:00;0,080226;0,046410;0,114386
2018-01-02 02:15:00;0,080213;0,046429;0,114385
2018-01-02 02:30:00;0,080209;0,046469;0,114664
2018-01-02 02:45:00;0,080206;0,046485;0,114929
2018-01-02 03:00:00;0,080204;0,046500;0,115194
2018-01-02 03:15:00;0,080201;0,046515;0,115459
2018-01-02 03:30:00;0,080202;0,046412;0,116355
2018-01-02 03:45:00;0,080197;0,046287;0,116973
2018-01-02 04:00:00;0,080194;0,046164;0,117593
2018-01-02 04:15:00;0,080192;0,046042;0,118216
2018-01-02 04:30:00;0,081051;0,045712;0,120213
2018-01-02 04:45:00;0,081907;0,045501;0,121582
2018-01-02 05:00:00;0,082764;0,045290;0,122951
2018-01-02 05:15:00;0,083620;0,045080;0,124320
2018-01-02 05:30:00;0,094842;0,053604;0,148055
2018-01-02 05:45:00;0,105204;0,062336;0,170415
2018-01-02 06:00:00;0,115564;0,071067;0,192773
2018-01-02 06:15:00;0,125923;0,079797;0,215129
2018-01-02 06:30:00;0,142951;0,089688;0,251119
2018-01-02 06:45:00;0,149617;0,090846;0,264748
2018-01-02 07:00:00;0,156285;0,092005;0,278379
2018-01-02 07:15:00;0,162952;0,093160;0,291999
2018-01-02 07:30:00;0,176721;0,106580;0,310374
2018-01-02 07:45:00;0,183821;0,118831;0,315103
2018-01-02 08:00:00;0,190911;0,131062;0,319795
2018-01-02 08:15:00;0,197999;0,143283;0,324470
2018-01-02 08:30:00;0,206709;0,158565;0,328497
2018-01-02 08:45:00;0,208322;0,161581;0,327767
2018-01-02 09:00:00;0,209947;0,164613;0,327063
2018-01-02 09:15:00;0,211594;0,167674;0,326410
2018-01-02 09:30:00;0,214815;0,172971;0,328595
2018-01-02 09:45:00;0,216426;0,175220;0,331455
2018-01-02 10:00:00;0,218019;0,177443;0,334274
2018-01-02 10:15:00;0,219596;0,179646;0,337059
2018-01-02 10:30:00;0,221434;0,181415;0,339140
2018-01-02 10:45:00;0,221703;0,180958;0,338398
2018-01-02 11:00:00;0,221968;0,180498;0,337652
2018-01-02 11:15:00;0,222251;0,180069;0,336954
2018-01-02 11:30:00;0,223375;0,179961;0,339012
2018-01-02 11:45:00;0,224230;0,180279;0,341764
2018-01-02 12:00:00;0,225098;0,180615;0,344546
2018-01-02 12:15:00;0,225969;0,180953;0,347331
