;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,069118;0,038725;0,115847
2018-01-01 00:30:00;0,069021;0,038640;0,115442
2018-01-01 00:45:00;0,068925;0,038555;0,115037
2018-01-01 01:00:00;0,068829;0,038470;0,114634
2018-01-01 01:15:00;0,068734;0,038386;0,114235
2018-01-01 01:30:00;0,068691;0,038325;0,114082
2018-01-01 01:45:00;0,068734;0,038345;0,114306
2018-01-01 02:00:00;0,068771;0,038363;0,114515
2018-01-01 02:15:00;0,068802;0,038380;0,114708
2018-01-01 02:30:00;0,068890;0,038445;0,115093
2018-01-01 02:45:00;0,068924;0,038486;0,115226
2018-01-01 03:00:00;0,068961;0,038529;0,115366
2018-01-01 03:15:00;0,069000;0,038572;0,115512
2018-01-01 03:30:00;0,069314;0,038741;0,116227
2018-01-01 03:45:00;0,069566;0,038859;0,116738
2018-01-01 04:00:00;0,069817;0,038977;0,117245
2018-01-01 04:15:00;0,070066;0,039094;0,117748
2018-01-01 04:30:00;0,070800;0,039614;0,119094
2018-01-01 04:45:00;0,071258;0,040009;0,119870
2018-01-01 05:00:00;0,071716;0,040403;0,120642
2018-01-01 05:15:00;0,072172;0,040796;0,121412
2018-01-01 05:30:00;0,073490;0,041634;0,123755
2018-01-01 05:45:00;0,074321;0,042067;0,125249
2018-01-01 06:00:00;0,075153;0,042501;0,126743
2018-01-01 06:15:00;0,075984;0,042935;0,128237
2018-01-01 06:30:00;0,079429;0,045965;0,135935
2018-01-01 06:45:00;0,082015;0,048553;0,142066
2018-01-01 07:00:00;0,084606;0,051142;0,148208
2018-01-01 07:15:00;0,087200;0,053733;0,154352
2018-01-01 07:30:00;0,092089;0,057352;0,169989
2018-01-01 07:45:00;0,094372;0,058378;0,179431
2018-01-01 08:00:00;0,096659;0,059406;0,188864
2018-01-01 08:15:00;0,098947;0,060435;0,198289
2018-01-01 08:30:00;0,102934;0,062152;0,210938
2018-01-01 08:45:00;0,104639;0,062846;0,214117
2018-01-01 09:00:00;0,106349;0,063542;0,217313
2018-01-01 09:15:00;0,108068;0,064240;0,220541
2018-01-01 09:30:00;0,110466;0,065368;0,224061
2018-01-01 09:45:00;0,111175;0,065811;0,224369
2018-01-01 10:00:00;0,111879;0,066253;0,224659
2018-01-01 10:15:00;0,112580;0,066693;0,224945
2018-01-01 10:30:00;0,113468;0,067406;0,224787
2018-01-01 10:45:00;0,113675;0,067687;0,224352
2018-01-01 11:00:00;0,113878;0,067967;0,223920
2018-01-01 11:15:00;0,114080;0,068245;0,223501
2018-01-01 11:30:00;0,114026;0,068507;0,222750
2018-01-01 11:45:00;0,113781;0,068495;0,222445
2018-01-01 12:00:00;0,113538;0,068483;0,222158
2018-01-01 12:15:00;0,113296;0,068471;0,221883
2018-01-01 12:30:00;0,113246;0,068848;0,221704
2018-01-01 12:45:00;0,113442;0,069236;0,221853
2018-01-01 13:00:00;0,113634;0,069622;0,221996
2018-01-01 13:15:00;0,113818;0,070006;0,222117
2018-01-01 13:30:00;0,113993;0,070332;0,222325
2018-01-01 13:45:00;0,113965;0,070264;0,222417
2018-01-01 14:00:00;0,113928;0,070192;0,222491
2018-01-01 14:15:00;0,113880;0,070118;0,222533
2018-01-01 14:30:00;0,113399;0,069866;0,220881
2018-01-01 14:45:00;0,112911;0,069667;0,219113
2018-01-01 15:00:00;0,112423;0,069469;0,217335
2018-01-01 15:15:00;0,111933;0,069270;0,215533
2018-01-01 15:30:00;0,110149;0,068640;0,209859
2018-01-01 15:45:00;0,108793;0,068185;0,205853
2018-01-01 16:00:00;0,107439;0,067732;0,201836
2018-01-01 16:15:00;0,106088;0,067279;0,197817
2018-01-01 16:30:00;0,102658;0,065479;0,187756
2018-01-01 16:45:00;0,100530;0,064114;0,181575
2018-01-01 17:00:00;0,098408;0,062750;0,175413
2018-01-01 17:15:00;0,096293;0,061389;0,169268
2018-01-01 17:30:00;0,092272;0,057964;0,158816
2018-01-01 17:45:00;0,090342;0,055891;0,154438
2018-01-01 18:00:00;0,088412;0,053818;0,150062
2018-01-01 18:15:00;0,086483;0,051746;0,145687
2018-01-01 18:30:00;0,083414;0,048865;0,139377
2018-01-01 18:45:00;0,082260;0,048052;0,137403
2018-01-01 19:00:00;0,081110;0,047240;0,135439
2018-01-01 19:15:00;0,079964;0,046430;0,133485
2018-01-01 19:30:00;0,078294;0,045440;0,130726
2018-01-01 19:45:00;0,077763;0,045258;0,129904
2018-01-01 20:00:00;0,077229;0,045075;0,129071
2018-01-01 20:15:00;0,076690;0,044890;0,128227
2018-01-01 20:30:00;0,075816;0,044659;0,126282
2018-01-01 20:45:00;0,075470;0,044609;0,125149
2018-01-01 21:00:00;0,075126;0,044560;0,124026
2018-01-01 21:15:00;0,074786;0,044512;0,122911
2018-01-01 21:30:00;0,074194;0,044065;0,121385
2018-01-01 21:45:00;0,073937;0,043665;0,120961
2018-01-01 22:00:00;0,073682;0,043266;0,120541
2018-01-01 22:15:00;0,073428;0,042867;0,120125
2018-01-01 22:30:00;0,072847;0,042131;0,119315
2018-01-01 22:45:00;0,072521;0,041795;0,118926
2018-01-01 23:00:00;0,072194;0,041458;0,118531
2018-01-01 23:15:00;0,071865;0,041120;0,118131
2018-01-01 23:30:00;0,076558;0,045186;0,120576
2018-01-01 23:45:00;0,081578;0,049588;0,123414
2018-01-02 00:00:00;0,086598;0,053990;0,126252
2018-01-02 00:15:00;0,091618;0,058392;0,129091
2018-01-02 00:30:00;0,096630;0,062848;0,131923
2018-01-02 00:45:00;0,096615;0,062900;0,131898
2018-01-02 01:00:00;0,096596;0,062949;0,131866
2018-01-02 01:15:00;0,096574;0,062998;0,131827
2018-01-02 01:30:00;0,096471;0,063018;0,131703
2018-01-02 01:45:00;0,096374;0,062982;0,131581
2018-01-02 02:00:00;0,096277;0,062947;0,131461
2018-01-02 02:15:00;0,096181;0,062913;0,131343
2018-01-02 02:30:00;0,096219;0,062873;0,131410
2018-01-02 02:45:00;0,096335;0,062861;0,131556
2018-01-02 03:00:00;0,096451;0,062850;0,131704
2018-01-02 03:15:00;0,096568;0,062838;0,131852
2018-01-02 03:30:00;0,096986;0,063213;0,132723
2018-01-02 03:45:00;0,097273;0,063594;0,133417
2018-01-02 04:00:00;0,097563;0,063976;0,134116
2018-01-02 04:15:00;0,097855;0,064359;0,134820
2018-01-02 04:30:00;0,098832;0,065486;0,136521
2018-01-02 04:45:00;0,099511;0,066228;0,137505
2018-01-02 05:00:00;0,100190;0,066970;0,138490
2018-01-02 05:15:00;0,100870;0,067713;0,139476
2018-01-02 05:30:00;0,102788;0,069195;0,142297
2018-01-02 05:45:00;0,104021;0,069933;0,144122
2018-01-02 06:00:00;0,105252;0,070671;0,145944
2018-01-02 06:15:00;0,106482;0,071408;0,147762
2018-01-02 06:30:00;0,111587;0,076320;0,156673
2018-01-02 06:45:00;0,115457;0,080492;0,163755
2018-01-02 07:00:00;0,119330;0,084666;0,170841
2018-01-02 07:15:00;0,123205;0,088841;0,177924
2018-01-02 07:30:00;0,130509;0,094579;0,195228
2018-01-02 07:45:00;0,133944;0,096147;0,205443
2018-01-02 08:00:00;0,137384;0,097717;0,215654
2018-01-02 08:15:00;0,140830;0,099289;0,225868
2018-01-02 08:30:00;0,146715;0,102144;0,239720
2018-01-02 08:45:00;0,149186;0,103441;0,243377
2018-01-02 09:00:00;0,151664;0,104741;0,247063
2018-01-02 09:15:00;0,154152;0,106043;0,250786
2018-01-02 09:30:00;0,157375;0,108155;0,254299
2018-01-02 09:45:00;0,158168;0,108989;0,254201
2018-01-02 10:00:00;0,158954;0,109821;0,254069
2018-01-02 10:15:00;0,159734;0,110652;0,253913
2018-01-02 10:30:00;0,160701;0,111655;0,254464
2018-01-02 10:45:00;0,160931;0,111847;0,255222
2018-01-02 11:00:00;0,161156;0,112037;0,255974
2018-01-02 11:15:00;0,161383;0,112227;0,256750
2018-01-02 11:30:00;0,161099;0,112296;0,256513
2018-01-02 11:45:00;0,160622;0,112190;0,255558
2018-01-02 12:00:00;0,160151;0,112085;0,254634
2018-01-02 12:15:00;0,159683;0,111981;0,253726
2018-01-02 12:30:00;0,159545;0,111947;0,253865
2018-01-02 12:45:00;0,159910;0,112029;0,255017
2018-01-02 13:00:00;0,160265;0,112107;0,256142
2018-01-02 13:15:00;0,160608;0,112181;0,257241
2018-01-02 13:30:00;0,160722;0,112306;0,256741
2018-01-02 13:45:00;0,160489;0,112354;0,255170
2018-01-02 14:00:00;0,160247;0,112397;0,253592
2018-01-02 14:15:00;0,159999;0,112436;0,252019
2018-01-02 14:30:00;0,158963;0,112219;0,248599
2018-01-02 14:45:00;0,158137;0,111942;0,246741
2018-01-02 15:00:00;0,157308;0,111665;0,244878
2018-01-02 15:15:00;0,156474;0,111385;0,242982
2018-01-02 15:30:00;0,153650;0,110509;0,236628
2018-01-02 15:45:00;0,151607;0,109887;0,232099
2018-01-02 16:00:00;0,149569;0,109268;0,227562
2018-01-02 16:15:00;0,147536;0,108652;0,223026
2018-01-02 16:30:00;0,142461;0,105399;0,211666
2018-01-02 16:45:00;0,139378;0,102745;0,204754
2018-01-02 17:00:00;0,136298;0,100092;0,197847
2018-01-02 17:15:00;0,133220;0,097441;0,190948
2018-01-02 17:30:00;0,127250;0,091414;0,179672
2018-01-02 17:45:00;0,124335;0,088030;0,175248
2018-01-02 18:00:00;0,121423;0,084648;0,170831
2018-01-02 18:15:00;0,118515;0,081267;0,166420
2018-01-02 18:30:00;0,114180;0,076786;0,160035
2018-01-02 18:45:00;0,112747;0,075682;0,158046
2018-01-02 19:00:00;0,111317;0,074580;0,156061
2018-01-02 19:15:00;0,109889;0,073479;0,154083
2018-01-02 19:30:00;0,107734;0,072069;0,150755
2018-01-02 19:45:00;0,107005;0,071759;0,149401
2018-01-02 20:00:00;0,106272;0,071448;0,148037
2018-01-02 20:15:00;0,105533;0,071135;0,146661
2018-01-02 20:30:00;0,104363;0,070757;0,144480
2018-01-02 20:45:00;0,103922;0,070688;0,143654
2018-01-02 21:00:00;0,103486;0,070622;0,142839
2018-01-02 21:15:00;0,103055;0,070557;0,142035
2018-01-02 21:30:00;0,102171;0,069804;0,140315
2018-01-02 21:45:00;0,101716;0,069114;0,139394
2018-01-02 22:00:00;0,101258;0,068424;0,138468
2018-01-02 22:15:00;0,100797;0,067732;0,137536
2018-01-02 22:30:00;0,099982;0,066384;0,136486
2018-01-02 22:45:00;0,099626;0,065728;0,136368
2018-01-02 23:00:00;0,099275;0,065073;0,136260
2018-01-02 23:15:00;0,098930;0,064420;0,136162
2018-01-02 23:30:00;0,098546;0,063810;0,135873
2018-01-02 23:45:00;0,098521;0,063858;0,135710
2018-01-03 00:00:00;0,098499;0,063907;0,135550
2018-01-03 00:15:00;0,098478;0,063957;0,135395
2018-01-03 00:30:00;0,098486;0,063973;0,135251
2018-01-03 00:45:00;0,098541;0,063949;0,135317
2018-01-03 01:00:00;0,098596;0,063925;0,135384
2018-01-03 01:15:00;0,098653;0,063901;0,135454
2018-01-03 01:30:00;0,098590;0,063862;0,135432
2018-01-03 01:45:00;0,098504;0,063859;0,135412
2018-01-03 02:00:00;0,098421;0,063857;0,135399
2018-01-03 02:15:00;0,098342;0,063856;0,135392
2018-01-03 02:30:00;0,098420;0,063881;0,135557
2018-01-03 02:45:00;0,098627;0,063925;0,135835
2018-01-03 03:00:00;0,098840;0,063970;0,136126
2018-01-03 03:15:00;0,099060;0,064018;0,136430
2018-01-03 03:30:00;0,099613;0,064455;0,137145
2018-01-03 03:45:00;0,100017;0,064870;0,137705
2018-01-03 04:00:00;0,100420;0,065284;0,138262
2018-01-03 04:15:00;0,100821;0,065697;0,138815
2018-01-03 04:30:00;0,101837;0,066846;0,140151
2018-01-03 04:45:00;0,102511;0,067603;0,141058
2018-01-03 05:00:00;0,103171;0,068355;0,141938
2018-01-03 05:15:00;0,103819;0,069102;0,142790
2018-01-03 05:30:00;0,105838;0,070687;0,145819
2018-01-03 05:45:00;0,107234;0,071533;0,148049
2018-01-03 06:00:00;0,108636;0,072382;0,150293
2018-01-03 06:15:00;0,110046;0,073234;0,152553
2018-01-03 06:30:00;0,115387;0,078430;0,161778
2018-01-03 06:45:00;0,119346;0,082784;0,168803
2018-01-03 07:00:00;0,123299;0,087137;0,175813
2018-01-03 07:15:00;0,127244;0,091487;0,182801
2018-01-03 07:30:00;0,134565;0,097484;0,200316
2018-01-03 07:45:00;0,137952;0,099137;0,210849
2018-01-03 08:00:00;0,141335;0,100789;0,221364
2018-01-03 08:15:00;0,144717;0,102440;0,231867
2018-01-03 08:30:00;0,150605;0,105544;0,246813
2018-01-03 08:45:00;0,153111;0,106998;0,251203
2018-01-03 09:00:00;0,155618;0,108453;0,255591
2018-01-03 09:15:00;0,158129;0,109910;0,259989
2018-01-03 09:30:00;0,161525;0,112325;0,264382
2018-01-03 09:45:00;0,162407;0,113284;0,264311
2018-01-03 10:00:00;0,163280;0,114240;0,264221
2018-01-03 10:15:00;0,164144;0,115192;0,264121
2018-01-03 10:30:00;0,164953;0,116163;0,263759
2018-01-03 10:45:00;0,164866;0,116173;0,263370
2018-01-03 11:00:00;0,164781;0,116184;0,262981
2018-01-03 11:15:00;0,164700;0,116196;0,262610
2018-01-03 11:30:00;0,164185;0,116249;0,261338
2018-01-03 11:45:00;0,163727;0,116283;0,260342
2018-01-03 12:00:00;0,163283;0,116321;0,259398
2018-01-03 12:15:00;0,162850;0,116362;0,258499
2018-01-03 12:30:00;0,162906;0,116602;0,258239
2018-01-03 12:45:00;0,163401;0,116802;0,258908
2018-01-03 13:00:00;0,163892;0,116999;0,259585
2018-01-03 13:15:00;0,164375;0,117193;0,260248
2018-01-03 13:30:00;0,164740;0,117405;0,259922
2018-01-03 13:45:00;0,164609;0,117415;0,258961
2018-01-03 14:00:00;0,164473;0,117423;0,258004
2018-01-03 14:15:00;0,164331;0,117427;0,257029
2018-01-03 14:30:00;0,163406;0,117000;0,253514
2018-01-03 14:45:00;0,162588;0,116548;0,250967
2018-01-03 15:00:00;0,161769;0,116096;0,248413
2018-01-03 15:15:00;0,160946;0,115643;0,245832
2018-01-03 15:30:00;0,158128;0,114510;0,239636
2018-01-03 15:45:00;0,156089;0,113808;0,235966
2018-01-03 16:00:00;0,154050;0,113107;0,232283
2018-01-03 16:15:00;0,152013;0,112407;0,228595
2018-01-03 16:30:00;0,146786;0,108535;0,218727
2018-01-03 16:45:00;0,143562;0,105349;0,212473
2018-01-03 17:00:00;0,140346;0,102166;0,206237
2018-01-03 17:15:00;0,137138;0,098987;0,200019
2018-01-03 17:30:00;0,130900;0,092235;0,188543
2018-01-03 17:45:00;0,127861;0,088660;0,183264
2018-01-03 18:00:00;0,124819;0,085083;0,177978
2018-01-03 18:15:00;0,121774;0,081505;0,172686
2018-01-03 18:30:00;0,117129;0,076920;0,165040
2018-01-03 18:45:00;0,115522;0,075909;0,162666
2018-01-03 19:00:00;0,113915;0,074898;0,160296
2018-01-03 19:15:00;0,112311;0,073889;0,157931
2018-01-03 19:30:00;0,109885;0,072604;0,154295
2018-01-03 19:45:00;0,109061;0,072327;0,153019
2018-01-03 20:00:00;0,108240;0,072052;0,151750
2018-01-03 20:15:00;0,107422;0,071778;0,150489
2018-01-03 20:30:00;0,106153;0,071482;0,147888
2018-01-03 20:45:00;0,105707;0,071461;0,146559
2018-01-03 21:00:00;0,105257;0,071439;0,145220
2018-01-03 21:15:00;0,104802;0,071415;0,143872
2018-01-03 21:30:00;0,103856;0,070715;0,141948
2018-01-03 21:45:00;0,103360;0,070037;0,141360
2018-01-03 22:00:00;0,102864;0,069359;0,140771
2018-01-03 22:15:00;0,102367;0,068681;0,140181
2018-01-03 22:30:00;0,101494;0,067322;0,139250
2018-01-03 22:45:00;0,101112;0,066639;0,138895
2018-01-03 23:00:00;0,100735;0,065959;0,138551
2018-01-03 23:15:00;0,100363;0,065280;0,138219
2018-01-03 23:30:00;0,099898;0,064574;0,138038
2018-01-03 23:45:00;0,099808;0,064549;0,138195
2018-01-04 00:00:00;0,099711;0,064521;0,138338
2018-01-04 00:15:00;0,099608;0,064491;0,138468
2018-01-04 00:30:00;0,099423;0,064491;0,138469
2018-01-04 00:45:00;0,099331;0,064517;0,138321
2018-01-04 01:00:00;0,099241;0,064544;0,138177
2018-01-04 01:15:00;0,099153;0,064572;0,138037
2018-01-04 01:30:00;0,099042;0,064509;0,137991
2018-01-04 01:45:00;0,099012;0,064415;0,138070
2018-01-04 02:00:00;0,098986;0,064322;0,138157
