;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,049050;0,023965;0,071627
2018-01-01 00:30:00;0,048952;0,023850;0,071508
2018-01-01 00:45:00;0,048854;0,023735;0,071390
2018-01-01 01:00:00;0,048756;0,023619;0,071271
2018-01-01 01:15:00;0,048658;0,023504;0,071152
2018-01-01 01:30:00;0,048571;0,023459;0,071075
2018-01-01 01:45:00;0,048585;0,023532;0,071123
2018-01-01 02:00:00;0,048600;0,023604;0,071173
2018-01-01 02:15:00;0,048615;0,023677;0,071226
2018-01-01 02:30:00;0,048647;0,023848;0,070638
2018-01-01 02:45:00;0,048668;0,023947;0,070009
2018-01-01 03:00:00;0,048687;0,024046;0,069377
2018-01-01 03:15:00;0,048706;0,024145;0,068744
2018-01-01 03:30:00;0,048749;0,024170;0,068597
2018-01-01 03:45:00;0,048776;0,024099;0,069095
2018-01-01 04:00:00;0,048803;0,024029;0,069593
2018-01-01 04:15:00;0,048831;0,023958;0,070093
2018-01-01 04:30:00;0,051750;0,024123;0,079942
2018-01-01 04:45:00;0,054646;0,024361;0,089305
2018-01-01 05:00:00;0,057543;0,024599;0,098670
2018-01-01 05:15:00;0,060439;0,024837;0,108037
2018-01-01 05:30:00;0,062996;0,025159;0,116523
2018-01-01 05:45:00;0,062662;0,025245;0,115663
2018-01-01 06:00:00;0,062327;0,025330;0,114802
2018-01-01 06:15:00;0,061993;0,025416;0,113942
2018-01-01 06:30:00;0,064512;0,026411;0,117148
2018-01-01 06:45:00;0,067371;0,027322;0,121234
2018-01-01 07:00:00;0,070227;0,028233;0,125315
2018-01-01 07:15:00;0,073073;0,029142;0,129384
2018-01-01 07:30:00;0,083105;0,033892;0,139314
2018-01-01 07:45:00;0,090253;0,037726;0,145147
2018-01-01 08:00:00;0,097364;0,041553;0,150946
2018-01-01 08:15:00;0,104439;0,045373;0,156711
2018-01-01 08:30:00;0,112605;0,050862;0,162671
2018-01-01 08:45:00;0,113544;0,052499;0,162727
2018-01-01 09:00:00;0,114474;0,054134;0,162775
2018-01-01 09:15:00;0,115423;0,055771;0,162835
2018-01-01 09:30:00;0,116835;0,057311;0,163359
2018-01-01 09:45:00;0,117133;0,057177;0,163667
2018-01-01 10:00:00;0,117422;0,057041;0,163971
2018-01-01 10:15:00;0,117709;0,056906;0,164274
2018-01-01 10:30:00;0,119131;0,057117;0,165451
2018-01-01 10:45:00;0,120128;0,057433;0,166200
2018-01-01 11:00:00;0,121156;0,057756;0,166976
2018-01-01 11:15:00;0,122230;0,058088;0,167792
