;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,029965;0,009849;0,099460
2018-01-01 00:30:00;0,029933;0,009850;0,099471
2018-01-01 00:45:00;0,029900;0,009850;0,099483
2018-01-01 01:00:00;0,029868;0,009851;0,099494
2018-01-01 01:15:00;0,029835;0,009851;0,099505
2018-01-01 01:30:00;0,029794;0,009857;0,099618
2018-01-01 01:45:00;0,029776;0,009857;0,099714
2018-01-01 02:00:00;0,029754;0,009856;0,099808
2018-01-01 02:15:00;0,029728;0,009854;0,099900
2018-01-01 02:30:00;0,029690;0,009851;0,099491
2018-01-01 02:45:00;0,029659;0,009842;0,098981
2018-01-01 03:00:00;0,029630;0,009835;0,098471
2018-01-01 03:15:00;0,029605;0,009828;0,097964
2018-01-01 03:30:00;0,029600;0,009828;0,097731
2018-01-01 03:45:00;0,029603;0,009827;0,097997
2018-01-01 04:00:00;0,029605;0,009825;0,098262
2018-01-01 04:15:00;0,029606;0,009823;0,098527
2018-01-01 04:30:00;0,029744;0,009849;0,099245
2018-01-01 04:45:00;0,029862;0,009870;0,099689
2018-01-01 05:00:00;0,029979;0,009890;0,100133
2018-01-01 05:15:00;0,030097;0,009910;0,100577
2018-01-01 05:30:00;0,031130;0,009940;0,104685
2018-01-01 05:45:00;0,032023;0,009941;0,108339
2018-01-01 06:00:00;0,032916;0,009942;0,111993
2018-01-01 06:15:00;0,033808;0,009942;0,115647
2018-01-01 06:30:00;0,036538;0,009976;0,126711
2018-01-01 06:45:00;0,038354;0,010001;0,134111
2018-01-01 07:00:00;0,040174;0,010027;0,141511
2018-01-01 07:15:00;0,041995;0,010053;0,148903
2018-01-01 07:30:00;0,052353;0,014876;0,169462
2018-01-01 07:45:00;0,060876;0,019655;0,182582
2018-01-01 08:00:00;0,069398;0,024417;0,195666
2018-01-01 08:15:00;0,077919;0,029161;0,208715
2018-01-01 08:30:00;0,089620;0,034446;0,231007
2018-01-01 08:45:00;0,092796;0,034920;0,240094
2018-01-01 09:00:00;0,095979;0,035395;0,249173
2018-01-01 09:15:00;0,099178;0,035887;0,258278
2018-01-01 09:30:00;0,103415;0,036375;0,270444
2018-01-01 09:45:00;0,104481;0,036316;0,273350
2018-01-01 10:00:00;0,105540;0,036251;0,276242
2018-01-01 10:15:00;0,106595;0,036186;0,279136
2018-01-01 10:30:00;0,107763;0,036153;0,281761
2018-01-01 10:45:00;0,107898;0,036144;0,281369
2018-01-01 11:00:00;0,108029;0,036145;0,281007
2018-01-01 11:15:00;0,108157;0,036160;0,280685
2018-01-01 11:30:00;0,108223;0,035676;0,279574
2018-01-01 11:45:00;0,108172;0,035177;0,278776
2018-01-01 12:00:00;0,108127;0,034685;0,277999
2018-01-01 12:15:00;0,108085;0,034200;0,277236
2018-01-01 12:30:00;0,107978;0,033311;0,276813
2018-01-01 12:45:00;0,107928;0,032942;0,277241
2018-01-01 13:00:00;0,107870;0,032573;0,277677
2018-01-01 13:15:00;0,107802;0,032201;0,278117
2018-01-01 13:30:00;0,107523;0,031257;0,277614
2018-01-01 13:45:00;0,107296;0,030729;0,276821
2018-01-01 14:00:00;0,107057;0,030202;0,276041
2018-01-01 14:15:00;0,106803;0,029671;0,275262
2018-01-01 14:30:00;0,106031;0,028604;0,273946
2018-01-01 14:45:00;0,105447;0,028108;0,273586
2018-01-01 15:00:00;0,104857;0,027605;0,273208
2018-01-01 15:15:00;0,104257;0,027087;0,272790
2018-01-01 15:30:00;0,102114;0,025757;0,268479
2018-01-01 15:45:00;0,100476;0,024948;0,264670
2018-01-01 16:00:00;0,098839;0,024129;0,260823
2018-01-01 16:15:00;0,097206;0,023305;0,256952
2018-01-01 16:30:00;0,092978;0,021923;0,246146
2018-01-01 16:45:00;0,090300;0,021342;0,239187
2018-01-01 17:00:00;0,087633;0,020764;0,232232
2018-01-01 17:15:00;0,084978;0,020190;0,225282
2018-01-01 17:30:00;0,079184;0,019127;0,215751
2018-01-01 17:45:00;0,076004;0,018627;0,213154
2018-01-01 18:00:00;0,072821;0,018126;0,210557
2018-01-01 18:15:00;0,069637;0,017624;0,207958
2018-01-01 18:30:00;0,060089;0,015619;0,188976
2018-01-01 18:45:00;0,053697;0,014108;0,172582
2018-01-01 19:00:00;0,047312;0,012599;0,156190
2018-01-01 19:15:00;0,040933;0,011093;0,139801
2018-01-01 19:30:00;0,033988;0,009556;0,121810
2018-01-01 19:45:00;0,033409;0,009523;0,120201
2018-01-01 20:00:00;0,032829;0,009489;0,118592
2018-01-01 20:15:00;0,032246;0,009454;0,116982
2018-01-01 20:30:00;0,031565;0,009422;0,115556
2018-01-01 20:45:00;0,031458;0,009422;0,115737
2018-01-01 21:00:00;0,031352;0,009423;0,115919
2018-01-01 21:15:00;0,031249;0,009424;0,116103
2018-01-01 21:30:00;0,031027;0,009413;0,115541
2018-01-01 21:45:00;0,030904;0,009399;0,114796
2018-01-01 22:00:00;0,030782;0,009385;0,114050
2018-01-01 22:15:00;0,030660;0,009371;0,113305
2018-01-01 22:30:00;0,030335;0,009354;0,111378
2018-01-01 22:45:00;0,030130;0,009351;0,110197
2018-01-01 23:00:00;0,029925;0,009348;0,109015
2018-01-01 23:15:00;0,029719;0,009344;0,107833
2018-01-01 23:30:00;0,032375;0,011105;0,108877
2018-01-01 23:45:00;0,035234;0,012867;0,111102
2018-01-02 00:00:00;0,038093;0,014630;0,113327
2018-01-02 00:15:00;0,040953;0,016393;0,115553
2018-01-02 00:30:00;0,043759;0,018197;0,117352
2018-01-02 00:45:00;0,043700;0,018236;0,116923
2018-01-02 01:00:00;0,043639;0,018275;0,116493
2018-01-02 01:15:00;0,043577;0,018312;0,116063
2018-01-02 01:30:00;0,043484;0,018301;0,114941
2018-01-02 01:45:00;0,043444;0,018248;0,114245
2018-01-02 02:00:00;0,043406;0,018195;0,113549
2018-01-02 02:15:00;0,043367;0,018143;0,112854
2018-01-02 02:30:00;0,043300;0,018111;0,112135
2018-01-02 02:45:00;0,043263;0,018127;0,112108
2018-01-02 03:00:00;0,043224;0,018143;0,112082
2018-01-02 03:15:00;0,043185;0,018158;0,112055
2018-01-02 03:30:00;0,043157;0,018191;0,112148
2018-01-02 03:45:00;0,043160;0,018204;0,112265
2018-01-02 04:00:00;0,043164;0,018218;0,112382
2018-01-02 04:15:00;0,043169;0,018233;0,112500
2018-01-02 04:30:00;0,043382;0,018248;0,112874
2018-01-02 04:45:00;0,043585;0,018246;0,113129
2018-01-02 05:00:00;0,043789;0,018245;0,113384
2018-01-02 05:15:00;0,043993;0,018244;0,113638
2018-01-02 05:30:00;0,045410;0,018340;0,118702
2018-01-02 05:45:00;0,046622;0,018437;0,123509
2018-01-02 06:00:00;0,047833;0,018533;0,128316
2018-01-02 06:15:00;0,049043;0,018630;0,133123
2018-01-02 06:30:00;0,054478;0,018825;0,149101
2018-01-02 06:45:00;0,058702;0,018924;0,160271
2018-01-02 07:00:00;0,062928;0,019024;0,171440
2018-01-02 07:15:00;0,067155;0,019120;0,182599
2018-01-02 07:30:00;0,084378;0,029063;0,208156
2018-01-02 07:45:00;0,097383;0,038888;0,222516
2018-01-02 08:00:00;0,110389;0,048689;0,236842
2018-01-02 08:15:00;0,123397;0,058471;0,251142
2018-01-02 08:30:00;0,142290;0,069516;0,275178
2018-01-02 08:45:00;0,148203;0,070704;0,284793
2018-01-02 09:00:00;0,154131;0,071911;0,294425
2018-01-02 09:15:00;0,160081;0,073151;0,304091
2018-01-02 09:30:00;0,167528;0,074631;0,316323
2018-01-02 09:45:00;0,169111;0,074854;0,318819
2018-01-02 10:00:00;0,170678;0,075044;0,321277
2018-01-02 10:15:00;0,172232;0,075211;0,323707
2018-01-02 10:30:00;0,173991;0,075396;0,325260
2018-01-02 10:45:00;0,174257;0,075359;0,324271
2018-01-02 11:00:00;0,174515;0,075325;0,323290
2018-01-02 11:15:00;0,174780;0,075330;0,322363
2018-01-02 11:30:00;0,174998;0,074338;0,320674
2018-01-02 11:45:00;0,175002;0,073326;0,319863
2018-01-02 12:00:00;0,175015;0,072327;0,319069
2018-01-02 12:15:00;0,175037;0,071342;0,318291
2018-01-02 12:30:00;0,174875;0,069154;0,318233
2018-01-02 12:45:00;0,174753;0,067997;0,318995
2018-01-02 13:00:00;0,174610;0,066828;0,319749
2018-01-02 13:15:00;0,174449;0,065655;0,320506
2018-01-02 13:30:00;0,174196;0,063623;0,321081
2018-01-02 13:45:00;0,174109;0,062819;0,320991
2018-01-02 14:00:00;0,174013;0,062034;0,320938
2018-01-02 14:15:00;0,173917;0,061281;0,320945
2018-01-02 14:30:00;0,172989;0,059354;0,318039
2018-01-02 14:45:00;0,172123;0,058287;0,315341
2018-01-02 15:00:00;0,171250;0,057208;0,312624
2018-01-02 15:15:00;0,170358;0,056095;0,309853
2018-01-02 15:30:00;0,166795;0,053191;0,303048
2018-01-02 15:45:00;0,164050;0,051447;0,299137
2018-01-02 16:00:00;0,161303;0,049679;0,295180
2018-01-02 16:15:00;0,158559;0,047896;0,291193
2018-01-02 16:30:00;0,151190;0,044920;0,279363
2018-01-02 16:45:00;0,146492;0,043705;0,271513
2018-01-02 17:00:00;0,141801;0,042492;0,263664
2018-01-02 17:15:00;0,137116;0,041282;0,255817
2018-01-02 17:30:00;0,126952;0,038809;0,244511
2018-01-02 17:45:00;0,121437;0,037532;0,241043
2018-01-02 18:00:00;0,115926;0,036257;0,237576
2018-01-02 18:15:00;0,110419;0,034983;0,234109
2018-01-02 18:30:00;0,094575;0,030585;0,215338
2018-01-02 18:45:00;0,084223;0,027455;0,200029
2018-01-02 19:00:00;0,073874;0,024326;0,184720
2018-01-02 19:15:00;0,063527;0,021198;0,169412
2018-01-02 19:30:00;0,052331;0,018003;0,152583
2018-01-02 19:45:00;0,051473;0,017933;0,151059
2018-01-02 20:00:00;0,050611;0,017862;0,149533
2018-01-02 20:15:00;0,049746;0,017789;0,148005
2018-01-02 20:30:00;0,048540;0,017707;0,146233
2018-01-02 20:45:00;0,048188;0,017692;0,145983
2018-01-02 21:00:00;0,047841;0,017680;0,145736
2018-01-02 21:15:00;0,047500;0,017671;0,145491
2018-01-02 21:30:00;0,046933;0,017682;0,142018
2018-01-02 21:45:00;0,046706;0,017703;0,138791
2018-01-02 22:00:00;0,046477;0,017722;0,135562
