;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,044294;0,020889;0,087031
2018-01-01 00:30:00;0,044252;0,020852;0,086959
2018-01-01 00:45:00;0,044211;0,020815;0,086888
2018-01-01 01:00:00;0,044170;0,020777;0,086816
2018-01-01 01:15:00;0,044128;0,020740;0,086745
2018-01-01 01:30:00;0,044090;0,020741;0,086712
2018-01-01 01:45:00;0,044092;0,020779;0,086746
2018-01-01 02:00:00;0,044093;0,020818;0,086778
2018-01-01 02:15:00;0,044093;0,020856;0,086808
2018-01-01 02:30:00;0,044146;0,020901;0,087058
2018-01-01 02:45:00;0,044195;0,020909;0,087270
2018-01-01 03:00:00;0,044244;0,020916;0,087482
2018-01-01 03:15:00;0,044294;0,020923;0,087696
2018-01-01 03:30:00;0,044621;0,021021;0,088616
2018-01-01 03:45:00;0,044896;0,021113;0,089316
2018-01-01 04:00:00;0,045171;0,021205;0,090014
2018-01-01 04:15:00;0,045446;0,021297;0,090712
2018-01-01 04:30:00;0,047670;0,021806;0,096791
2018-01-01 04:45:00;0,049617;0,022223;0,102162
2018-01-01 05:00:00;0,051563;0,022641;0,107533
2018-01-01 05:15:00;0,053509;0,023059;0,112903
2018-01-01 05:30:00;0,062436;0,026944;0,132915
2018-01-01 05:45:00;0,069413;0,030412;0,147543
2018-01-01 06:00:00;0,076390;0,033880;0,162170
2018-01-01 06:15:00;0,083367;0,037349;0,176796
2018-01-01 06:30:00;0,095083;0,043216;0,205409
2018-01-01 06:45:00;0,099818;0,045616;0,219382
2018-01-01 07:00:00;0,104553;0,048017;0,233354
2018-01-01 07:15:00;0,109288;0,050417;0,247315
2018-01-01 07:30:00;0,117608;0,054311;0,270345
2018-01-01 07:45:00;0,121185;0,055808;0,279357
2018-01-01 08:00:00;0,124757;0,057307;0,288329
2018-01-01 08:15:00;0,128326;0,058809;0,297264
2018-01-01 08:30:00;0,132604;0,060770;0,307689
2018-01-01 08:45:00;0,133295;0,061240;0,309012
2018-01-01 09:00:00;0,133986;0,061709;0,310335
2018-01-01 09:15:00;0,134681;0,062177;0,311688
2018-01-01 09:30:00;0,135302;0,062680;0,312378
2018-01-01 09:45:00;0,135214;0,062724;0,311568
2018-01-01 10:00:00;0,135124;0,062769;0,310750
2018-01-01 10:15:00;0,135033;0,062814;0,309931
2018-01-01 10:30:00;0,134739;0,062742;0,307363
2018-01-01 10:45:00;0,134524;0,062632;0,305502
2018-01-01 11:00:00;0,134312;0,062520;0,303667
2018-01-01 11:15:00;0,134104;0,062405;0,301874
2018-01-01 11:30:00;0,132739;0,061974;0,295029
2018-01-01 11:45:00;0,131580;0,061658;0,289962
2018-01-01 12:00:00;0,130424;0,061340;0,284911
2018-01-01 12:15:00;0,129269;0,061022;0,279873
2018-01-01 12:30:00;0,128368;0,060418;0,277695
2018-01-01 12:45:00;0,128630;0,060127;0,280625
2018-01-01 13:00:00;0,128894;0,059836;0,283572
2018-01-01 13:15:00;0,129159;0,059544;0,286525
2018-01-01 13:30:00;0,128380;0,058768;0,287208
2018-01-01 13:45:00;0,127351;0,058275;0,285063
2018-01-01 14:00:00;0,126322;0,057783;0,282923
2018-01-01 14:15:00;0,125292;0,057290;0,280784
2018-01-01 14:30:00;0,122446;0,056141;0,273179
2018-01-01 14:45:00;0,120643;0,055475;0,267855
2018-01-01 15:00:00;0,118838;0,054811;0,262518
2018-01-01 15:15:00;0,117029;0,054149;0,257148
2018-01-01 15:30:00;0,111860;0,051874;0,243970
2018-01-01 15:45:00;0,108503;0,050259;0,236227
2018-01-01 16:00:00;0,105142;0,048646;0,228454
2018-01-01 16:15:00;0,101779;0,047034;0,220662
2018-01-01 16:30:00;0,094591;0,042829;0,204504
2018-01-01 16:45:00;0,090759;0,040238;0,196118
2018-01-01 17:00:00;0,086927;0,037647;0,187737
2018-01-01 17:15:00;0,083097;0,035055;0,179359
2018-01-01 17:30:00;0,076057;0,031039;0,162655
2018-01-01 17:45:00;0,072844;0,029616;0,154317
2018-01-01 18:00:00;0,069630;0,028192;0,145979
2018-01-01 18:15:00;0,066417;0,026769;0,137641
2018-01-01 18:30:00;0,061683;0,024890;0,125967
2018-01-01 18:45:00;0,060161;0,024435;0,122625
2018-01-01 19:00:00;0,058639;0,023980;0,119285
2018-01-01 19:15:00;0,057117;0,023526;0,115945
2018-01-01 19:30:00;0,054838;0,022945;0,111026
2018-01-01 19:45:00;0,054079;0,022820;0,109442
2018-01-01 20:00:00;0,053320;0,022695;0,107858
2018-01-01 20:15:00;0,052560;0,022570;0,106272
2018-01-01 20:30:00;0,051171;0,022366;0,102818
2018-01-01 20:45:00;0,050540;0,022288;0,100946
2018-01-01 21:00:00;0,049910;0,022209;0,099075
2018-01-01 21:15:00;0,049280;0,022130;0,097206
2018-01-01 21:30:00;0,048282;0,022009;0,094216
2018-01-01 21:45:00;0,047914;0,021967;0,093096
2018-01-01 22:00:00;0,047546;0,021925;0,091975
2018-01-01 22:15:00;0,047178;0,021883;0,090854
2018-01-01 22:30:00;0,046694;0,021807;0,089550
2018-01-01 22:45:00;0,046578;0,021772;0,089366
2018-01-01 23:00:00;0,046462;0,021738;0,089182
2018-01-01 23:15:00;0,046345;0,021704;0,088997
2018-01-01 23:30:00;0,051952;0,028291;0,091195
2018-01-01 23:45:00;0,057674;0,034912;0,093575
2018-01-02 00:00:00;0,063396;0,041533;0,095956
2018-01-02 00:15:00;0,069118;0,048154;0,098336
2018-01-02 00:30:00;0,074744;0,054781;0,100623
2018-01-02 00:45:00;0,074647;0,054788;0,100527
2018-01-02 01:00:00;0,074550;0,054795;0,100430
2018-01-02 01:15:00;0,074452;0,054802;0,100332
2018-01-02 01:30:00;0,074318;0,054725;0,100196
2018-01-02 01:45:00;0,074281;0,054642;0,100153
2018-01-02 02:00:00;0,074243;0,054559;0,100112
2018-01-02 02:15:00;0,074206;0,054476;0,100070
2018-01-02 02:30:00;0,074278;0,054390;0,100808
2018-01-02 02:45:00;0,074385;0,054388;0,101584
2018-01-02 03:00:00;0,074492;0,054387;0,102360
2018-01-02 03:15:00;0,074600;0,054385;0,103136
2018-01-02 03:30:00;0,075157;0,054556;0,104747
2018-01-02 03:45:00;0,075605;0,054730;0,105579
2018-01-02 04:00:00;0,076054;0,054904;0,106412
2018-01-02 04:15:00;0,076503;0,055077;0,107245
2018-01-02 04:30:00;0,080256;0,056431;0,114220
2018-01-02 04:45:00;0,083559;0,057612;0,120361
2018-01-02 05:00:00;0,086863;0,058793;0,126502
2018-01-02 05:15:00;0,090166;0,059974;0,132643
2018-01-02 05:30:00;0,105835;0,071295;0,154832
2018-01-02 05:45:00;0,118200;0,081436;0,170879
2018-01-02 06:00:00;0,130565;0,091577;0,186925
2018-01-02 06:15:00;0,142929;0,101718;0,202970
2018-01-02 06:30:00;0,163193;0,118031;0,231191
2018-01-02 06:45:00;0,171092;0,124203;0,243366
2018-01-02 07:00:00;0,178991;0,130375;0,255540
2018-01-02 07:15:00;0,186888;0,136549;0,267701
2018-01-02 07:30:00;0,199634;0,146011;0,289264
2018-01-02 07:45:00;0,204476;0,149304;0,298625
2018-01-02 08:00:00;0,209313;0,152603;0,307952
2018-01-02 08:15:00;0,214146;0,155905;0,317255
2018-01-02 08:30:00;0,219490;0,159765;0,327619
2018-01-02 08:45:00;0,219985;0,160339;0,328567
2018-01-02 09:00:00;0,220485;0,160909;0,329536
2018-01-02 09:15:00;0,220991;0,161474;0,330535
2018-01-02 09:30:00;0,221203;0,162171;0,329501
2018-01-02 09:45:00;0,220905;0,162309;0,327410
2018-01-02 10:00:00;0,220601;0,162452;0,325288
2018-01-02 10:15:00;0,220293;0,162599;0,323148
2018-01-02 10:30:00;0,220053;0,162634;0,321139
2018-01-02 10:45:00;0,220112;0,162534;0,321186
2018-01-02 11:00:00;0,220171;0,162433;0,321242
2018-01-02 11:15:00;0,220238;0,162324;0,321343
2018-01-02 11:30:00;0,218518;0,159447;0,318857
2018-01-02 11:45:00;0,216729;0,156681;0,316240
2018-01-02 12:00:00;0,214943;0,153912;0,313640
2018-01-02 12:15:00;0,213161;0,151140;0,311054
2018-01-02 12:30:00;0,210859;0,148281;0,307654
2018-01-02 12:45:00;0,210351;0,148186;0,306879
2018-01-02 13:00:00;0,209841;0,148091;0,306102
2018-01-02 13:15:00;0,209331;0,147998;0,305326
2018-01-02 13:30:00;0,206968;0,146588;0,301545
2018-01-02 13:45:00;0,205128;0,145263;0,298610
2018-01-02 14:00:00;0,203291;0,143935;0,295697
2018-01-02 14:15:00;0,201462;0,142600;0,292827
2018-01-02 14:30:00;0,196705;0,139522;0,286490
2018-01-02 14:45:00;0,193799;0,137758;0,283171
2018-01-02 15:00:00;0,190893;0,135995;0,279844
2018-01-02 15:15:00;0,187979;0,134238;0,276483
2018-01-02 15:30:00;0,179683;0,128560;0,264907
2018-01-02 15:45:00;0,174312;0,124628;0,256782
2018-01-02 16:00:00;0,168934;0,120702;0,248623
2018-01-02 16:15:00;0,163553;0,116778;0,240441
2018-01-02 16:30:00;0,152184;0,106592;0,222650
2018-01-02 16:45:00;0,146190;0,100332;0,213034
2018-01-02 17:00:00;0,140197;0,094072;0,203419
2018-01-02 17:15:00;0,134205;0,087812;0,193805
2018-01-02 17:30:00;0,123243;0,078193;0,177585
2018-01-02 17:45:00;0,118269;0,074837;0,170970
2018-01-02 18:00:00;0,113297;0,071481;0,164357
2018-01-02 18:15:00;0,108324;0,068124;0,157743
2018-01-02 18:30:00;0,100814;0,063456;0,146964
2018-01-02 18:45:00;0,098275;0,062145;0,142795
2018-01-02 19:00:00;0,095736;0,060834;0,138626
2018-01-02 19:15:00;0,093198;0,059523;0,134457
2018-01-02 19:30:00;0,089300;0,057976;0,128061
2018-01-02 19:45:00;0,087941;0,057740;0,125830
2018-01-02 20:00:00;0,086581;0,057505;0,123598
2018-01-02 20:15:00;0,085221;0,057271;0,121365
2018-01-02 20:30:00;0,082887;0,056901;0,117126
2018-01-02 20:45:00;0,081913;0,056766;0,115116
2018-01-02 21:00:00;0,080940;0,056631;0,113108
2018-01-02 21:15:00;0,079967;0,056496;0,111101
2018-01-02 21:30:00;0,078426;0,056219;0,108128
2018-01-02 21:45:00;0,077857;0,056077;0,107162
2018-01-02 22:00:00;0,077289;0,055935;0,106195
2018-01-02 22:15:00;0,076720;0,055794;0,105227
2018-01-02 22:30:00;0,075919;0,055548;0,104015
2018-01-02 22:45:00;0,075687;0,055443;0,103772
2018-01-02 23:00:00;0,075456;0,055338;0,103529
2018-01-02 23:15:00;0,075226;0,055233;0,103288
2018-01-02 23:30:00;0,074901;0,055095;0,103200
2018-01-02 23:45:00;0,074810;0,055062;0,103358
2018-01-03 00:00:00;0,074719;0,055029;0,103515
2018-01-03 00:15:00;0,074627;0,054996;0,103673
2018-01-03 00:30:00;0,074460;0,054949;0,103764
2018-01-03 00:45:00;0,074386;0,054933;0,103703
