;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,049518;0,025143;0,107028
2018-01-01 00:30:00;0,049450;0,025125;0,106854
2018-01-01 00:45:00;0,049387;0,025109;0,106688
2018-01-01 01:00:00;0,049322;0,025092;0,106519
2018-01-01 01:15:00;0,049256;0,025075;0,106349
2018-01-01 01:30:00;0,049176;0,025030;0,106136
2018-01-01 01:45:00;0,049194;0,025018;0,106165
2018-01-01 02:00:00;0,049227;0,025013;0,106224
2018-01-01 02:15:00;0,049273;0,025015;0,106312
2018-01-01 02:30:00;0,049416;0,025062;0,106512
2018-01-01 02:45:00;0,049577;0,025138;0,106764
2018-01-01 03:00:00;0,049731;0,025211;0,106998
2018-01-01 03:15:00;0,049876;0,025280;0,107214
2018-01-01 03:30:00;0,050211;0,025426;0,108161
2018-01-01 03:45:00;0,050460;0,025532;0,109021
2018-01-01 04:00:00;0,050715;0,025641;0,109892
2018-01-01 04:15:00;0,050975;0,025752;0,110775
2018-01-01 04:30:00;0,052034;0,026209;0,114627
2018-01-01 04:45:00;0,052903;0,026588;0,117748
2018-01-01 05:00:00;0,053773;0,026968;0,120874
2018-01-01 05:15:00;0,054646;0,027349;0,124006
2018-01-01 05:30:00;0,057777;0,028523;0,136296
2018-01-01 05:45:00;0,060119;0,029356;0,145646
2018-01-01 06:00:00;0,062463;0,030189;0,155007
2018-01-01 06:15:00;0,064809;0,031023;0,164380
2018-01-01 06:30:00;0,074124;0,034765;0,192556
2018-01-01 06:45:00;0,081174;0,037710;0,211563
2018-01-01 07:00:00;0,088212;0,040651;0,230545
2018-01-01 07:15:00;0,095233;0,043583;0,249503
2018-01-01 07:30:00;0,112030;0,048709;0,291445
2018-01-01 07:45:00;0,121797;0,050903;0,314501
2018-01-01 08:00:00;0,131503;0,053077;0,337493
2018-01-01 08:15:00;0,141150;0,055231;0,360422
2018-01-01 08:30:00;0,151686;0,057824;0,385091
2018-01-01 08:45:00;0,152342;0,058187;0,386605
2018-01-01 09:00:00;0,152963;0,058537;0,388041
2018-01-01 09:15:00;0,153567;0,058879;0,389387
2018-01-01 09:30:00;0,156394;0,059358;0,398128
2018-01-01 09:45:00;0,158269;0,059377;0,405006
2018-01-01 10:00:00;0,160150;0,059399;0,411919
2018-01-01 10:15:00;0,162047;0,059429;0,418860
2018-01-01 10:30:00;0,163571;0,059316;0,426285
2018-01-01 10:45:00;0,162922;0,059083;0,426347
2018-01-01 11:00:00;0,162332;0,058869;0,426497
2018-01-01 11:15:00;0,161813;0,058677;0,426729
2018-01-01 11:30:00;0,161549;0,058604;0,429351
2018-01-01 11:45:00;0,161736;0,058700;0,431602
2018-01-01 12:00:00;0,161938;0,058799;0,433845
2018-01-01 12:15:00;0,162151;0,058902;0,436084
2018-01-01 12:30:00;0,158694;0,058723;0,424501
2018-01-01 12:45:00;0,155094;0,058463;0,410688
2018-01-01 13:00:00;0,151539;0,058220;0,396950
2018-01-01 13:15:00;0,148019;0,057990;0,383293
2018-01-01 13:30:00;0,141103;0,056823;0,362889
2018-01-01 13:45:00;0,137954;0,055974;0,356473
2018-01-01 14:00:00;0,134850;0,055144;0,350156
2018-01-01 14:15:00;0,131786;0,054330;0,343941
2018-01-01 14:30:00;0,124940;0,052678;0,325726
2018-01-01 14:45:00;0,121559;0,051993;0,314409
2018-01-01 15:00:00;0,118160;0,051304;0,303068
2018-01-01 15:15:00;0,114732;0,050607;0,291710
2018-01-01 15:30:00;0,108259;0,049025;0,272123
2018-01-01 15:45:00;0,105555;0,048279;0,264555
2018-01-01 16:00:00;0,102808;0,047517;0,256938
2018-01-01 16:15:00;0,100024;0,046740;0,249267
2018-01-01 16:30:00;0,094369;0,044503;0,234211
2018-01-01 16:45:00;0,091675;0,043120;0,227252
2018-01-01 17:00:00;0,088958;0,041727;0,220236
2018-01-01 17:15:00;0,086217;0,040323;0,213161
2018-01-01 17:30:00;0,082977;0,038960;0,206423
2018-01-01 17:45:00;0,082559;0,039037;0,206962
2018-01-01 18:00:00;0,082144;0,039117;0,207510
2018-01-01 18:15:00;0,081733;0,039198;0,208068
2018-01-01 18:30:00;0,080693;0,038754;0,207553
2018-01-01 18:45:00;0,080119;0,038254;0,206618
2018-01-01 19:00:00;0,079530;0,037747;0,205646
2018-01-01 19:15:00;0,078928;0,037233;0,204637
2018-01-01 19:30:00;0,077880;0,036324;0,202828
2018-01-01 19:45:00;0,077460;0,035941;0,202096
2018-01-01 20:00:00;0,077053;0,035563;0,201393
2018-01-01 20:15:00;0,076657;0,035190;0,200720
2018-01-01 20:30:00;0,075327;0,034385;0,198291
2018-01-01 20:45:00;0,074429;0,033970;0,196629
2018-01-01 21:00:00;0,073521;0,033550;0,194940
2018-01-01 21:15:00;0,072603;0,033125;0,193224
2018-01-01 21:30:00;0,069325;0,031949;0,182326
2018-01-01 21:45:00;0,066982;0,031205;0,173183
2018-01-01 22:00:00;0,064637;0,030460;0,164037
2018-01-01 22:15:00;0,062291;0,029715;0,154889
2018-01-01 22:30:00;0,058974;0,028587;0,141198
2018-01-01 22:45:00;0,058008;0,028207;0,136668
2018-01-01 23:00:00;0,057046;0,027829;0,132146
2018-01-01 23:15:00;0,056088;0,027452;0,127632
2018-01-01 23:30:00;0,058782;0,028996;0,128529
2018-01-01 23:45:00;0,062449;0,030922;0,133969
2018-01-02 00:00:00;0,066115;0,032848;0,139407
2018-01-02 00:15:00;0,069779;0,034774;0,144841
2018-01-02 00:30:00;0,073149;0,036644;0,149003
2018-01-02 00:45:00;0,072874;0,036599;0,147772
2018-01-02 01:00:00;0,072606;0,036556;0,146552
2018-01-02 01:15:00;0,072344;0,036517;0,145345
2018-01-02 01:30:00;0,072090;0,036457;0,144355
2018-01-02 01:45:00;0,072132;0,036453;0,144641
2018-01-02 02:00:00;0,072172;0,036448;0,144922
2018-01-02 02:15:00;0,072209;0,036442;0,145198
2018-01-02 02:30:00;0,072366;0,036415;0,145897
2018-01-02 02:45:00;0,072520;0,036411;0,146389
2018-01-02 03:00:00;0,072675;0,036407;0,146883
2018-01-02 03:15:00;0,072831;0,036404;0,147380
2018-01-02 03:30:00;0,073340;0,036582;0,149465
2018-01-02 03:45:00;0,073724;0,036777;0,151116
2018-01-02 04:00:00;0,074102;0,036970;0,152756
2018-01-02 04:15:00;0,074475;0,037161;0,154387
2018-01-02 04:30:00;0,076060;0,037874;0,160915
2018-01-02 04:45:00;0,077287;0,038403;0,165843
