;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,076424;0,064582;0,090687
2018-01-01 00:30:00;0,076269;0,064480;0,090572
2018-01-01 00:45:00;0,076111;0,064376;0,090454
2018-01-01 01:00:00;0,075954;0,064272;0,090337
2018-01-01 01:15:00;0,075798;0,064170;0,090221
2018-01-01 01:30:00;0,075582;0,063957;0,090000
2018-01-01 01:45:00;0,075504;0,063828;0,089874
2018-01-01 02:00:00;0,075419;0,063691;0,089741
2018-01-01 02:15:00;0,075328;0,063548;0,089601
2018-01-01 02:30:00;0,075364;0,063418;0,089822
2018-01-01 02:45:00;0,075459;0,063398;0,090147
2018-01-01 03:00:00;0,075559;0,063382;0,090477
2018-01-01 03:15:00;0,075663;0,063372;0,090813
2018-01-01 03:30:00;0,075868;0,063483;0,091175
2018-01-01 03:45:00;0,075942;0,063574;0,091169
2018-01-01 04:00:00;0,076012;0,063663;0,091160
2018-01-01 04:15:00;0,076080;0,063748;0,091148
2018-01-01 04:30:00;0,078119;0,064913;0,094486
2018-01-01 04:45:00;0,080058;0,065957;0,097797
2018-01-01 05:00:00;0,081995;0,067001;0,101107
2018-01-01 05:15:00;0,083932;0,068044;0,104416
2018-01-01 05:30:00;0,089387;0,071877;0,111951
2018-01-01 05:45:00;0,092865;0,074626;0,116130
2018-01-01 06:00:00;0,096343;0,077374;0,120308
2018-01-01 06:15:00;0,099819;0,080122;0,124485
2018-01-01 06:30:00;0,106698;0,085951;0,132538
2018-01-01 06:45:00;0,110062;0,088996;0,136370
2018-01-01 07:00:00;0,113432;0,092046;0,140209
2018-01-01 07:15:00;0,116807;0,095102;0,144052
2018-01-01 07:30:00;0,121672;0,099768;0,149417
2018-01-01 07:45:00;0,123145;0,101366;0,150916
2018-01-01 08:00:00;0,124624;0,102972;0,152416
2018-01-01 08:15:00;0,126108;0,104588;0,153920
2018-01-01 08:30:00;0,128761;0,106766;0,157454
2018-01-01 08:45:00;0,129944;0,107359;0,159486
2018-01-01 09:00:00;0,131137;0,107961;0,161527
2018-01-01 09:15:00;0,132340;0,108574;0,163585
2018-01-01 09:30:00;0,133954;0,109913;0,165498
2018-01-01 09:45:00;0,134413;0,110705;0,165396
2018-01-01 10:00:00;0,134866;0,111493;0,165286
2018-01-01 10:15:00;0,135315;0,112277;0,165172
2018-01-01 10:30:00;0,134960;0,112223;0,164356
2018-01-01 10:45:00;0,134193;0,111437;0,163688
2018-01-01 11:00:00;0,133419;0,110640;0,163014
2018-01-01 11:15:00;0,132639;0,109834;0,162337
2018-01-01 11:30:00;0,131694;0,109001;0,161143
2018-01-01 11:45:00;0,131544;0,108992;0,160640
