;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,063617;0,046506;0,088296
2018-01-01 00:30:00;0,063421;0,046283;0,087807
2018-01-01 00:45:00;0,063226;0,046060;0,087319
2018-01-01 01:00:00;0,063030;0,045838;0,086830
2018-01-01 01:15:00;0,062834;0,045615;0,086341
2018-01-01 01:30:00;0,062407;0,045218;0,085617
2018-01-01 01:45:00;0,062178;0,045048;0,085384
2018-01-01 02:00:00;0,061950;0,044879;0,085152
2018-01-01 02:15:00;0,061723;0,044711;0,084920
2018-01-01 02:30:00;0,061769;0,044455;0,085884
2018-01-01 02:45:00;0,062046;0,044373;0,087083
2018-01-01 03:00:00;0,062322;0,044290;0,088281
2018-01-01 03:15:00;0,062598;0,044205;0,089479
2018-01-01 03:30:00;0,063656;0,044332;0,093530
2018-01-01 03:45:00;0,064441;0,044548;0,096386
2018-01-01 04:00:00;0,065227;0,044764;0,099243
2018-01-01 04:15:00;0,066014;0,044980;0,102100
2018-01-01 04:30:00;0,067666;0,045427;0,108013
2018-01-01 04:45:00;0,068536;0,045662;0,111072
2018-01-01 05:00:00;0,069406;0,045897;0,114132
2018-01-01 05:15:00;0,070277;0,046133;0,117192
2018-01-01 05:30:00;0,080126;0,049717;0,135530
2018-01-01 05:45:00;0,089112;0,053073;0,150813
2018-01-01 06:00:00;0,098098;0,056429;0,166097
2018-01-01 06:15:00;0,107085;0,059785;0,181381
2018-01-01 06:30:00;0,124311;0,070002;0,214771
2018-01-01 06:45:00;0,132558;0,076869;0,232884
2018-01-01 07:00:00;0,140804;0,083734;0,250996
2018-01-01 07:15:00;0,149048;0,090597;0,269111
2018-01-01 07:30:00;0,164558;0,101861;0,294125
2018-01-01 07:45:00;0,171822;0,106255;0,301040
2018-01-01 08:00:00;0,179079;0,110639;0,307965
2018-01-01 08:15:00;0,186331;0,115014;0,314899
2018-01-01 08:30:00;0,191792;0,119487;0,324115
2018-01-01 08:45:00;0,189977;0,119546;0,326438
2018-01-01 09:00:00;0,188160;0,119602;0,328760
2018-01-01 09:15:00;0,186343;0,119661;0,331073
2018-01-01 09:30:00;0,188770;0,122428;0,334717
2018-01-01 09:45:00;0,192981;0,125091;0,336080
2018-01-01 10:00:00;0,197191;0,127751;0,337446
2018-01-01 10:15:00;0,201401;0,130411;0,338814
2018-01-01 10:30:00;0,201434;0,130785;0,336171
2018-01-01 10:45:00;0,197231;0,128458;0,332187
2018-01-01 11:00:00;0,193032;0,126141;0,328198
2018-01-01 11:15:00;0,188842;0,123836;0,324197
2018-01-01 11:30:00;0,182019;0,120229;0,318979
2018-01-01 11:45:00;0,179379;0,118917;0,317765
2018-01-01 12:00:00;0,176741;0,117609;0,316545
2018-01-01 12:15:00;0,174104;0,116303;0,315322
2018-01-01 12:30:00;0,171422;0,113795;0,306653
2018-01-01 12:45:00;0,171384;0,112606;0,299188
2018-01-01 13:00:00;0,171351;0,111424;0,291719
2018-01-01 13:15:00;0,171320;0,110246;0,284250
2018-01-01 13:30:00;0,165935;0,106257;0,267491
2018-01-01 13:45:00;0,160602;0,103481;0,258173
2018-01-01 14:00:00;0,155273;0,100709;0,248856
2018-01-01 14:15:00;0,149946;0,097940;0,239540
2018-01-01 14:30:00;0,139472;0,090936;0,220138
2018-01-01 14:45:00;0,134358;0,086748;0,210028
2018-01-01 15:00:00;0,129242;0,082557;0,199920
2018-01-01 15:15:00;0,124123;0,078360;0,189818
2018-01-01 15:30:00;0,118199;0,073257;0,179133
2018-01-01 15:45:00;0,117419;0,072384;0,178543
2018-01-01 16:00:00;0,116635;0,071505;0,177959
2018-01-01 16:15:00;0,115849;0,070621;0,177377
2018-01-01 16:30:00;0,113617;0,070408;0,173796
2018-01-01 16:45:00;0,112183;0,071091;0,170804
2018-01-01 17:00:00;0,110747;0,071773;0,167810
2018-01-01 17:15:00;0,109310;0,072453;0,164815
2018-01-01 17:30:00;0,106804;0,073337;0,160066
2018-01-01 17:45:00;0,105741;0,073546;0,158316
2018-01-01 18:00:00;0,104678;0,073756;0,156566
2018-01-01 18:15:00;0,103615;0,073967;0,154816
2018-01-01 18:30:00;0,101177;0,073304;0,151643
2018-01-01 18:45:00;0,099805;0,072436;0,150222
2018-01-01 19:00:00;0,098432;0,071566;0,148800
2018-01-01 19:15:00;0,097058;0,070695;0,147377
2018-01-01 19:30:00;0,093608;0,068424;0,138304
2018-01-01 19:45:00;0,091534;0,067025;0,130654
2018-01-01 20:00:00;0,089461;0,065627;0,123005
2018-01-01 20:15:00;0,087388;0,064230;0,115357
2018-01-01 20:30:00;0,084008;0,061774;0,106391
2018-01-01 20:45:00;0,082703;0,060718;0,105075
2018-01-01 21:00:00;0,081397;0,059662;0,103759
2018-01-01 21:15:00;0,080090;0,058604;0,102442
2018-01-01 21:30:00;0,077762;0,056677;0,100036
2018-01-01 21:45:00;0,076741;0,055809;0,098948
2018-01-01 22:00:00;0,075720;0,054941;0,097860
2018-01-01 22:15:00;0,074699;0,054073;0,096771
2018-01-01 22:30:00;0,072187;0,052169;0,094653
2018-01-01 22:45:00;0,070696;0,051134;0,093624
2018-01-01 23:00:00;0,069205;0,050099;0,092595
2018-01-01 23:15:00;0,067714;0,049064;0,091566
2018-01-01 23:30:00;0,066969;0,049362;0,091130
2018-01-01 23:45:00;0,067716;0,050696;0,091725
2018-01-02 00:00:00;0,068463;0,052030;0,092319
2018-01-02 00:15:00;0,069209;0,053363;0,092913
2018-01-02 00:30:00;0,069740;0,054469;0,093031
2018-01-02 00:45:00;0,069524;0,054243;0,092555
2018-01-02 01:00:00;0,069309;0,054016;0,092079
2018-01-02 01:15:00;0,069095;0,053791;0,091603
2018-01-02 01:30:00;0,068640;0,053305;0,090879
2018-01-02 01:45:00;0,068403;0,053047;0,090632
2018-01-02 02:00:00;0,068165;0,052788;0,090385
2018-01-02 02:15:00;0,067927;0,052530;0,090138
2018-01-02 02:30:00;0,068000;0,052255;0,091028
2018-01-02 02:45:00;0,068313;0,052241;0,092165
2018-01-02 03:00:00;0,068626;0,052227;0,093303
2018-01-02 03:15:00;0,068939;0,052214;0,094441
2018-01-02 03:30:00;0,070198;0,052443;0,098294
2018-01-02 03:45:00;0,071146;0,052688;0,101012
2018-01-02 04:00:00;0,072094;0,052933;0,103728
2018-01-02 04:15:00;0,073041;0,053177;0,106445
2018-01-02 04:30:00;0,074989;0,053604;0,113567
2018-01-02 04:45:00;0,075990;0,053787;0,117972
2018-01-02 05:00:00;0,076991;0,053969;0,122377
2018-01-02 05:15:00;0,077992;0,054151;0,126782
2018-01-02 05:30:00;0,088871;0,058562;0,145029
2018-01-02 05:45:00;0,098750;0,062790;0,158870
2018-01-02 06:00:00;0,108629;0,067019;0,172712
2018-01-02 06:15:00;0,118508;0,071248;0,186554
2018-01-02 06:30:00;0,137712;0,083907;0,221418
2018-01-02 06:45:00;0,147038;0,092338;0,242439
2018-01-02 07:00:00;0,156362;0,100767;0,263460
2018-01-02 07:15:00;0,165684;0,109193;0,284484
2018-01-02 07:30:00;0,183250;0,123041;0,312832
2018-01-02 07:45:00;0,191485;0,128451;0,320165
2018-01-02 08:00:00;0,199714;0,133850;0,327506
2018-01-02 08:15:00;0,207938;0,139242;0,334852
2018-01-02 08:30:00;0,214153;0,145124;0,341265
2018-01-02 08:45:00;0,212119;0,145575;0,340356
2018-01-02 09:00:00;0,210085;0,146028;0,339442
2018-01-02 09:15:00;0,208054;0,146484;0,338520
2018-01-02 09:30:00;0,209787;0,149172;0,339805
2018-01-02 09:45:00;0,213526;0,151365;0,342021
2018-01-02 10:00:00;0,217262;0,153551;0,344245
2018-01-02 10:15:00;0,220995;0,155732;0,346475
2018-01-02 10:30:00;0,220547;0,155348;0,344725
2018-01-02 10:45:00;0,216337;0,152738;0,340763
2018-01-02 11:00:00;0,212131;0,150134;0,336799
2018-01-02 11:15:00;0,207932;0,147541;0,332825
2018-01-02 11:30:00;0,200878;0,143274;0,327883
2018-01-02 11:45:00;0,198007;0,141576;0,326920
2018-01-02 12:00:00;0,195139;0,139882;0,325953
2018-01-02 12:15:00;0,192271;0,138190;0,324981
2018-01-02 12:30:00;0,189492;0,134968;0,318433
2018-01-02 12:45:00;0,189577;0,133436;0,312844
2018-01-02 13:00:00;0,189665;0,131908;0,307256
2018-01-02 13:15:00;0,189757;0,130384;0,301669
2018-01-02 13:30:00;0,184073;0,125341;0,285759
2018-01-02 13:45:00;0,178309;0,121842;0,275421
2018-01-02 14:00:00;0,172550;0,118350;0,265080
2018-01-02 14:15:00;0,166798;0,114869;0,254731
2018-01-02 14:30:00;0,155298;0,106663;0,233535
2018-01-02 14:45:00;0,149580;0,101984;0,222663
2018-01-02 15:00:00;0,143859;0,097302;0,211792
2018-01-02 15:15:00;0,138135;0,092613;0,200928
2018-01-02 15:30:00;0,131418;0,086907;0,189776
2018-01-02 15:45:00;0,130447;0,085924;0,189474
2018-01-02 16:00:00;0,129471;0,084933;0,189178
2018-01-02 16:15:00;0,128492;0,083936;0,188885
2018-01-02 16:30:00;0,125904;0,083764;0,185223
2018-01-02 16:45:00;0,124303;0,084596;0,181856
2018-01-02 17:00:00;0,122701;0,085429;0,178489
2018-01-02 17:15:00;0,121099;0,086260;0,175122
2018-01-02 17:30:00;0,118037;0,087062;0,169593
2018-01-02 17:45:00;0,116581;0,087036;0,167434
2018-01-02 18:00:00;0,115124;0,087010;0,165275
2018-01-02 18:15:00;0,113667;0,086983;0,163116
2018-01-02 18:30:00;0,110706;0,086044;0,159228
2018-01-02 18:45:00;0,109203;0,085133;0,157501
2018-01-02 19:00:00;0,107700;0,084221;0,155774
2018-01-02 19:15:00;0,106197;0,083309;0,154046
2018-01-02 19:30:00;0,102342;0,080637;0,144453
2018-01-02 19:45:00;0,099992;0,078877;0,136588
2018-01-02 20:00:00;0,097642;0,077119;0,128724
2018-01-02 20:15:00;0,095293;0,075361;0,120860
2018-01-02 20:30:00;0,091637;0,072430;0,111597
2018-01-02 20:45:00;0,090332;0,071259;0,110198
2018-01-02 21:00:00;0,089026;0,070087;0,108798
2018-01-02 21:15:00;0,087718;0,068913;0,107398
2018-01-02 21:30:00;0,085285;0,066642;0,104807
2018-01-02 21:45:00;0,084158;0,065545;0,103615
2018-01-02 22:00:00;0,083031;0,064448;0,102424
2018-01-02 22:15:00;0,081904;0,063351;0,101233
2018-01-02 22:30:00;0,079238;0,061162;0,099321
2018-01-02 22:45:00;0,077697;0,060068;0,098599
2018-01-02 23:00:00;0,076155;0,058974;0,097876
2018-01-02 23:15:00;0,074612;0,057878;0,097153
2018-01-02 23:30:00;0,072530;0,056358;0,095922
2018-01-02 23:45:00;0,071988;0,055930;0,095412
2018-01-03 00:00:00;0,071445;0,055502;0,094902
2018-01-03 00:15:00;0,070903;0,055074;0,094392
2018-01-03 00:30:00;0,070115;0,054440;0,093427
2018-01-03 00:45:00;0,069865;0,054229;0,092969
2018-01-03 01:00:00;0,069615;0,054019;0,092511
2018-01-03 01:15:00;0,069365;0,053807;0,092053
2018-01-03 01:30:00;0,068906;0,053427;0,091334
2018-01-03 01:45:00;0,068692;0,053253;0,091070
2018-01-03 02:00:00;0,068478;0,053078;0,090806
2018-01-03 02:15:00;0,068264;0,052903;0,090542
2018-01-03 02:30:00;0,068431;0,052674;0,091803
2018-01-03 02:45:00;0,068805;0,052612;0,093322
2018-01-03 03:00:00;0,069179;0,052549;0,094841
2018-01-03 03:15:00;0,069551;0,052485;0,096358
2018-01-03 03:30:00;0,070730;0,052649;0,100329
2018-01-03 03:45:00;0,071526;0,052866;0,102775
2018-01-03 04:00:00;0,072323;0,053083;0,105220
2018-01-03 04:15:00;0,073119;0,053300;0,107665
2018-01-03 04:30:00;0,074898;0,053693;0,113964
2018-01-03 04:45:00;0,075872;0,053858;0,117810
2018-01-03 05:00:00;0,076848;0,054026;0,121657
2018-01-03 05:15:00;0,077826;0,054196;0,125506
2018-01-03 05:30:00;0,089088;0,058552;0,145274
2018-01-03 05:45:00;0,099367;0,062733;0,161188
2018-01-03 06:00:00;0,109645;0,066914;0,177102
2018-01-03 06:15:00;0,119923;0,071093;0,193015
2018-01-03 06:30:00;0,140134;0,084114;0,232849
2018-01-03 06:45:00;0,150065;0,092951;0,256767
2018-01-03 07:00:00;0,159997;0,101790;0,280688
2018-01-03 07:15:00;0,169931;0,110629;0,304615
2018-01-03 07:30:00;0,187752;0,125041;0,332744
2018-01-03 07:45:00;0,195634;0,130605;0,336959
2018-01-03 08:00:00;0,203513;0,136162;0,341181
2018-01-03 08:15:00;0,211388;0,141714;0,345406
2018-01-03 08:30:00;0,217063;0,147215;0,349301
2018-01-03 08:45:00;0,214848;0,147136;0,349004
2018-01-03 09:00:00;0,212633;0,147057;0,348708
2018-01-03 09:15:00;0,210419;0,146981;0,348410
2018-01-03 09:30:00;0,212651;0,149678;0,350389
2018-01-03 09:45:00;0,217082;0,152424;0,352698
2018-01-03 10:00:00;0,221513;0,155171;0,355006
2018-01-03 10:15:00;0,225947;0,157922;0,357310
2018-01-03 10:30:00;0,225731;0,157609;0,356502
2018-01-03 10:45:00;0,221073;0,154526;0,353420
2018-01-03 11:00:00;0,216418;0,151447;0,350338
2018-01-03 11:15:00;0,211770;0,148380;0,347248
2018-01-03 11:30:00;0,203782;0,143684;0,339817
2018-01-03 11:45:00;0,200446;0,142058;0,335493
2018-01-03 12:00:00;0,197109;0,140434;0,331161
2018-01-03 12:15:00;0,193773;0,138811;0,326821
2018-01-03 12:30:00;0,190448;0,135636;0,317158
2018-01-03 12:45:00;0,190467;0,134096;0,311828
2018-01-03 13:00:00;0,190491;0,132562;0,306493
2018-01-03 13:15:00;0,190518;0,131034;0,301155
2018-01-03 13:30:00;0,184667;0,126160;0,284905
2018-01-03 13:45:00;0,178807;0,122842;0,273972
2018-01-03 14:00:00;0,172950;0,119529;0,263037
2018-01-03 14:15:00;0,167093;0,116218;0,252101
2018-01-03 14:30:00;0,155603;0,107974;0,231449
2018-01-03 14:45:00;0,149992;0,103079;0,221709
2018-01-03 15:00:00;0,144379;0,098180;0,211971
2018-01-03 15:15:00;0,138763;0,093275;0,202239
2018-01-03 15:30:00;0,132365;0,087538;0,192631
2018-01-03 15:45:00;0,131598;0,086730;0,192742
2018-01-03 16:00:00;0,130829;0,085917;0,192858
2018-01-03 16:15:00;0,130057;0,085101;0,192977
2018-01-03 16:30:00;0,127183;0,084716;0,188743
2018-01-03 16:45:00;0,125086;0,085152;0,184391
2018-01-03 17:00:00;0,122988;0,085588;0,180039
2018-01-03 17:15:00;0,120888;0,086023;0,175686
2018-01-03 17:30:00;0,117461;0,086407;0,169276
2018-01-03 17:45:00;0,116135;0,086359;0,167219
2018-01-03 18:00:00;0,114809;0,086311;0,165163
2018-01-03 18:15:00;0,113485;0,086264;0,163108
2018-01-03 18:30:00;0,110703;0,085352;0,159573
2018-01-03 18:45:00;0,109248;0,084489;0,158096
2018-01-03 19:00:00;0,107793;0,083626;0,156618
2018-01-03 19:15:00;0,106338;0,082763;0,155140
2018-01-03 19:30:00;0,102588;0,080255;0,145686
2018-01-03 19:45:00;0,100294;0,078612;0,137710
2018-01-03 20:00:00;0,097999;0,076968;0,129734
2018-01-03 20:15:00;0,095704;0,075323;0,121757
2018-01-03 20:30:00;0,092067;0,072484;0,112408
2018-01-03 20:45:00;0,090724;0,071290;0,111034
2018-01-03 21:00:00;0,089381;0,070096;0,109661
2018-01-03 21:15:00;0,088040;0,068903;0,108289
2018-01-03 21:30:00;0,085611;0,066691;0,105662
2018-01-03 21:45:00;0,084525;0,065673;0,104409
2018-01-03 22:00:00;0,083439;0,064656;0,103155
2018-01-03 22:15:00;0,082353;0,063638;0,101902
2018-01-03 22:30:00;0,079698;0,061382;0,099840
2018-01-03 22:45:00;0,078130;0,060145;0,099033
2018-01-03 23:00:00;0,076561;0,058907;0,098225
2018-01-03 23:15:00;0,074991;0,057668;0,097417
2018-01-03 23:30:00;0,072895;0,056140;0,096188
2018-01-03 23:45:00;0,072367;0,055851;0,095766
2018-01-04 00:00:00;0,071840;0,055562;0,095346
2018-01-04 00:15:00;0,071314;0,055274;0,094926
2018-01-04 00:30:00;0,070542;0,054743;0,093941
2018-01-04 00:45:00;0,070297;0,054501;0,093377
2018-01-04 01:00:00;0,070051;0,054259;0,092813
2018-01-04 01:15:00;0,069805;0,054016;0,092248
2018-01-04 01:30:00;0,069314;0,053593;0,091492
2018-01-04 01:45:00;0,069069;0,053414;0,091300
2018-01-04 02:00:00;0,068824;0,053235;0,091108
2018-01-04 02:15:00;0,068579;0,053055;0,090916
2018-01-04 02:30:00;0,068673;0,052836;0,092032
2018-01-04 02:45:00;0,069013;0,052797;0,093341
2018-01-04 03:00:00;0,069354;0,052758;0,094650
2018-01-04 03:15:00;0,069695;0,052720;0,095960
2018-01-04 03:30:00;0,070912;0,052883;0,099938
2018-01-04 03:45:00;0,071790;0,053084;0,102607
2018-01-04 04:00:00;0,072668;0,053286;0,105277
2018-01-04 04:15:00;0,073545;0,053487;0,107946
2018-01-04 04:30:00;0,075355;0,054016;0,114414
2018-01-04 04:45:00;0,076288;0,054344;0,118214
2018-01-04 05:00:00;0,077222;0,054673;0,122015
2018-01-04 05:15:00;0,078157;0,055002;0,125817
2018-01-04 05:30:00;0,088979;0,059376;0,144338
2018-01-04 05:45:00;0,098869;0,063423;0,159060
2018-01-04 06:00:00;0,108758;0,067469;0,173782
2018-01-04 06:15:00;0,118647;0,071515;0,188503
2018-01-04 06:30:00;0,137637;0,083758;0,225161
2018-01-04 06:45:00;0,146738;0,091955;0,247098
