;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,079922;0,067115;0,109946
2018-01-01 00:30:00;0,079877;0,067058;0,109793
2018-01-01 00:45:00;0,079837;0,067005;0,109646
2018-01-01 01:00:00;0,079796;0,066951;0,109498
2018-01-01 01:15:00;0,079754;0,066896;0,109348
2018-01-01 01:30:00;0,079654;0,066697;0,108823
2018-01-01 01:45:00;0,079629;0,066582;0,108490
2018-01-01 02:00:00;0,079617;0,066477;0,108172
2018-01-01 02:15:00;0,079616;0,066381;0,107869
2018-01-01 02:30:00;0,079794;0,066458;0,107814
2018-01-01 02:45:00;0,080034;0,066681;0,108138
2018-01-01 03:00:00;0,080265;0,066897;0,108453
2018-01-01 03:15:00;0,080488;0,067107;0,108757
2018-01-01 03:30:00;0,082423;0,069182;0,111782
2018-01-01 03:45:00;0,084189;0,071096;0,114573
2018-01-01 04:00:00;0,085961;0,073015;0,117372
2018-01-01 04:15:00;0,087740;0,074940;0,120180
2018-01-01 04:30:00;0,089298;0,076608;0,122545
2018-01-01 04:45:00;0,089143;0,076407;0,122187
2018-01-01 05:00:00;0,088987;0,076206;0,121828
2018-01-01 05:15:00;0,088830;0,076005;0,121469
2018-01-01 05:30:00;0,096093;0,077451;0,136703
2018-01-01 05:45:00;0,103587;0,079162;0,152397
2018-01-01 06:00:00;0,111087;0,080873;0,168102
2018-01-01 06:15:00;0,118592;0,082585;0,183818
2018-01-01 06:30:00;0,129091;0,086149;0,202429
2018-01-01 06:45:00;0,132164;0,088058;0,205437
2018-01-01 07:00:00;0,135224;0,089959;0,208428
2018-01-01 07:15:00;0,138274;0,091854;0,211408
2018-01-01 07:30:00;0,143917;0,094899;0,221543
2018-01-01 07:45:00;0,146547;0,096080;0,228772
2018-01-01 08:00:00;0,149170;0,097260;0,236005
2018-01-01 08:15:00;0,151784;0,098440;0,243242
2018-01-01 08:30:00;0,157618;0,101643;0,252631
2018-01-01 08:45:00;0,160821;0,103676;0,254825
2018-01-01 09:00:00;0,164005;0,105698;0,256994
2018-01-01 09:15:00;0,167162;0,107699;0,259117
2018-01-01 09:30:00;0,172550;0,110902;0,264172
2018-01-01 09:45:00;0,174690;0,112064;0,267042
2018-01-01 10:00:00;0,176840;0,113234;0,269930
2018-01-01 10:15:00;0,178997;0,114409;0,272826
2018-01-01 10:30:00;0,178640;0,115148;0,270368
2018-01-01 10:45:00;0,176053;0,114681;0,264962
2018-01-01 11:00:00;0,173482;0,114221;0,259566
2018-01-01 11:15:00;0,170922;0,113762;0,254168
2018-01-01 11:30:00;0,166669;0,111682;0,247010
2018-01-01 11:45:00;0,164950;0,110046;0,245223
2018-01-01 12:00:00;0,163225;0,108403;0,243419
2018-01-01 12:15:00;0,161495;0,106755;0,241604
2018-01-01 12:30:00;0,157153;0,104450;0,237930
2018-01-01 12:45:00;0,154529;0,103775;0,236030
2018-01-01 13:00:00;0,151919;0,103108;0,234141
2018-01-01 13:15:00;0,149325;0,102451;0,232273
2018-01-01 13:30:00;0,141993;0,100168;0,222207
2018-01-01 13:45:00;0,137301;0,098561;0,214026
2018-01-01 14:00:00;0,132625;0,096965;0,205865
2018-01-01 14:15:00;0,127969;0,095385;0,197732
2018-01-01 14:30:00;0,121826;0,093558;0,186916
2018-01-01 14:45:00;0,120455;0,093381;0,184338
2018-01-01 15:00:00;0,119084;0,093206;0,181765
2018-01-01 15:15:00;0,117718;0,093041;0,179209
2018-01-01 15:30:00;0,117022;0,093629;0,180551
2018-01-01 15:45:00;0,117825;0,094480;0,184609
2018-01-01 16:00:00;0,118627;0,095333;0,188677
2018-01-01 16:15:00;0,119423;0,096184;0,192746
2018-01-01 16:30:00;0,119756;0,096753;0,195765
2018-01-01 16:45:00;0,119403;0,096560;0,194875
2018-01-01 17:00:00;0,119036;0,096355;0,193963
2018-01-01 17:15:00;0,118653;0,096137;0,193028
2018-01-01 17:30:00;0,117504;0,095245;0,190038
2018-01-01 17:45:00;0,116798;0,094619;0,188073
2018-01-01 18:00:00;0,116096;0,093997;0,186114
2018-01-01 18:15:00;0,115398;0,093378;0,184162
2018-01-01 18:30:00;0,113656;0,091781;0,177737
2018-01-01 18:45:00;0,112659;0,090841;0,173334
2018-01-01 19:00:00;0,111650;0,089891;0,168913
2018-01-01 19:15:00;0,110629;0,088932;0,164475
2018-01-01 19:30:00;0,107746;0,086824;0,156941
2018-01-01 19:45:00;0,105908;0,085695;0,153879
2018-01-01 20:00:00;0,104076;0,084572;0,150826
2018-01-01 20:15:00;0,102253;0,083455;0,147783
2018-01-01 20:30:00;0,099616;0,082292;0,143903
2018-01-01 20:45:00;0,098830;0,082268;0,143102
2018-01-01 21:00:00;0,098037;0,082239;0,142292
2018-01-01 21:15:00;0,097237;0,082203;0,141472
2018-01-01 21:30:00;0,095382;0,081130;0,139066
2018-01-01 21:45:00;0,094340;0,080103;0,137498
2018-01-01 22:00:00;0,093298;0,079076;0,135930
2018-01-01 22:15:00;0,092257;0,078050;0,134362
2018-01-01 22:30:00;0,090181;0,075972;0,130861
2018-01-01 22:45:00;0,089156;0,074928;0,128938
2018-01-01 23:00:00;0,088132;0,073886;0,127017
2018-01-01 23:15:00;0,087111;0,072845;0,125099
2018-01-01 23:30:00;0,088708;0,073778;0,122753
2018-01-01 23:45:00;0,091340;0,075763;0,122341
2018-01-02 00:00:00;0,093970;0,077747;0,121927
2018-01-02 00:15:00;0,096599;0,079729;0,121510
2018-01-02 00:30:00;0,099114;0,081572;0,120627
2018-01-02 00:45:00;0,099015;0,081444;0,120178
2018-01-02 01:00:00;0,098920;0,081319;0,119733
2018-01-02 01:15:00;0,098830;0,081199;0,119293
2018-01-02 01:30:00;0,098692;0,080992;0,118871
2018-01-02 01:45:00;0,098668;0,080925;0,118916
2018-01-02 02:00:00;0,098642;0,080856;0,118958
2018-01-02 02:15:00;0,098614;0,080785;0,118997
2018-01-02 02:30:00;0,098933;0,081044;0,119225
2018-01-02 02:45:00;0,099303;0,081392;0,119439
2018-01-02 03:00:00;0,099674;0,081742;0,119654
2018-01-02 03:15:00;0,100047;0,082093;0,119871
2018-01-02 03:30:00;0,102055;0,084328;0,122038
2018-01-02 03:45:00;0,103712;0,086230;0,124012
2018-01-02 04:00:00;0,105365;0,088129;0,125983
2018-01-02 04:15:00;0,107015;0,090026;0,127950
2018-01-02 04:30:00;0,109569;0,092385;0,132550
2018-01-02 04:45:00;0,110485;0,092855;0,135194
2018-01-02 05:00:00;0,111398;0,093325;0,137836
2018-01-02 05:15:00;0,112309;0,093792;0,140476
2018-01-02 05:30:00;0,122348;0,094697;0,162161
2018-01-02 05:45:00;0,131480;0,095138;0,181213
2018-01-02 06:00:00;0,140617;0,095581;0,200270
2018-01-02 06:15:00;0,149758;0,096027;0,219333
2018-01-02 06:30:00;0,160777;0,098326;0,238311
2018-01-02 06:45:00;0,162663;0,100183;0,238235
2018-01-02 07:00:00;0,164539;0,102035;0,238148
2018-01-02 07:15:00;0,166410;0,103885;0,238058
2018-01-02 07:30:00;0,170105;0,106643;0,241755
2018-01-02 07:45:00;0,171908;0,107541;0,245529
2018-01-02 08:00:00;0,173702;0,108438;0,249304
2018-01-02 08:15:00;0,175487;0,109333;0,253077
2018-01-02 08:30:00;0,179962;0,112822;0,257339
2018-01-02 08:45:00;0,182580;0,115387;0,257784
2018-01-02 09:00:00;0,185182;0,117939;0,258203
2018-01-02 09:15:00;0,187766;0,120475;0,258591
2018-01-02 09:30:00;0,194981;0,126030;0,264044
2018-01-02 09:45:00;0,199479;0,128971;0,268973
2018-01-02 10:00:00;0,203989;0,131925;0,273930
2018-01-02 10:15:00;0,208507;0,134886;0,278905
2018-01-02 10:30:00;0,212968;0,139749;0,282664
2018-01-02 10:45:00;0,212798;0,141592;0,281351
2018-01-02 11:00:00;0,212642;0,143442;0,280051
