;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,046042;0,021188;0,103807
2018-01-01 00:30:00;0,045342;0,021081;0,102396
2018-01-01 00:45:00;0,044641;0,020975;0,100983
2018-01-01 01:00:00;0,043941;0,020868;0,099573
2018-01-01 01:15:00;0,043240;0,020761;0,098167
2018-01-01 01:30:00;0,042249;0,020716;0,096534
2018-01-01 01:45:00;0,041955;0,020783;0,096277
2018-01-01 02:00:00;0,041660;0,020853;0,096000
2018-01-01 02:15:00;0,041363;0,020927;0,095704
2018-01-01 02:30:00;0,041384;0,020998;0,097337
2018-01-01 02:45:00;0,041696;0,021009;0,099187
2018-01-01 03:00:00;0,042008;0,021018;0,101045
2018-01-01 03:15:00;0,042321;0,021025;0,102910
2018-01-01 03:30:00;0,043242;0,020891;0,107397
2018-01-01 03:45:00;0,043843;0,020763;0,109934
2018-01-01 04:00:00;0,044444;0,020636;0,112464
2018-01-01 04:15:00;0,045044;0,020509;0,114985
2018-01-01 04:30:00;0,047978;0,022644;0,118347
2018-01-01 04:45:00;0,050303;0,024922;0,119084
2018-01-01 05:00:00;0,052628;0,027202;0,119818
2018-01-01 05:15:00;0,054952;0,029484;0,120551
2018-01-01 05:30:00;0,059630;0,032518;0,123744
2018-01-01 05:45:00;0,061974;0,033293;0,126086
2018-01-01 06:00:00;0,064317;0,034068;0,128426
2018-01-01 06:15:00;0,066660;0,034844;0,130765
2018-01-01 06:30:00;0,073186;0,037068;0,141260
2018-01-01 06:45:00;0,077358;0,038539;0,149307
2018-01-01 07:00:00;0,081534;0,040009;0,157373
2018-01-01 07:15:00;0,085723;0,041488;0,165473
2018-01-01 07:30:00;0,092926;0,044053;0,176315
2018-01-01 07:45:00;0,095974;0,045190;0,179079
2018-01-01 08:00:00;0,099057;0,046358;0,181917
2018-01-01 08:15:00;0,102174;0,047558;0,184827
2018-01-01 08:30:00;0,106573;0,049970;0,187401
2018-01-01 08:45:00;0,107997;0,051324;0,187345
2018-01-01 09:00:00;0,109432;0,052683;0,187319
2018-01-01 09:15:00;0,110861;0,054028;0,187302
2018-01-01 09:30:00;0,114231;0,056046;0,189956
