;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,052600;0,015176;0,118275
2018-01-01 00:30:00;0,052430;0,015077;0,118008
2018-01-01 00:45:00;0,052259;0,014978;0,117741
2018-01-01 01:00:00;0,052089;0,014879;0,117476
2018-01-01 01:15:00;0,051919;0,014779;0,117212
2018-01-01 01:30:00;0,051788;0,014677;0,116977
2018-01-01 01:45:00;0,051824;0,014676;0,116990
2018-01-01 02:00:00;0,051857;0,014676;0,116991
2018-01-01 02:15:00;0,051887;0,014676;0,116982
2018-01-01 02:30:00;0,051870;0,014640;0,116937
2018-01-01 02:45:00;0,051813;0,014607;0,116859
2018-01-01 03:00:00;0,051757;0,014573;0,116786
2018-01-01 03:15:00;0,051703;0,014539;0,116719
2018-01-01 03:30:00;0,051788;0,014483;0,116741
2018-01-01 03:45:00;0,051918;0,014464;0,116791
2018-01-01 04:00:00;0,052047;0,014446;0,116838
2018-01-01 04:15:00;0,052176;0,014427;0,116883
2018-01-01 04:30:00;0,053338;0,014507;0,117272
2018-01-01 04:45:00;0,054361;0,014608;0,117571
2018-01-01 05:00:00;0,055382;0,014710;0,117869
2018-01-01 05:15:00;0,056403;0,014812;0,118164
2018-01-01 05:30:00;0,059404;0,015668;0,124843
2018-01-01 05:45:00;0,061370;0,016427;0,131172
2018-01-01 06:00:00;0,063336;0,017186;0,137499
2018-01-01 06:15:00;0,065302;0,017946;0,143824
2018-01-01 06:30:00;0,072007;0,020141;0,157821
2018-01-01 06:45:00;0,076733;0,021582;0,165439
2018-01-01 07:00:00;0,081460;0,023024;0,173059
2018-01-01 07:15:00;0,086186;0,024471;0,180664
2018-01-01 07:30:00;0,095056;0,030004;0,195698
2018-01-01 07:45:00;0,099186;0,034120;0,203023
2018-01-01 08:00:00;0,103312;0,038260;0,210284
2018-01-01 08:15:00;0,107434;0,042425;0,217488
2018-01-01 08:30:00;0,113762;0,049618;0,229671
2018-01-01 08:45:00;0,115947;0,052753;0,234382
2018-01-01 09:00:00;0,118134;0,055897;0,239085
2018-01-01 09:15:00;0,120327;0,059038;0,243819
2018-01-01 09:30:00;0,123514;0,063124;0,251184
2018-01-01 09:45:00;0,124496;0,064200;0,253550
2018-01-01 10:00:00;0,125474;0,065286;0,255891
2018-01-01 10:15:00;0,126451;0,066375;0,258223
2018-01-01 10:30:00;0,127804;0,067141;0,261326
2018-01-01 10:45:00;0,128170;0,066929;0,261885
2018-01-01 11:00:00;0,128541;0,066684;0,262509
2018-01-01 11:15:00;0,128916;0,066407;0,263197
2018-01-01 11:30:00;0,129313;0,066620;0,263622
2018-01-01 11:45:00;0,129341;0,067106;0,263380
2018-01-01 12:00:00;0,129372;0,067577;0,263171
