;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,068255;0,016355;0,251601
2018-01-01 00:30:00;0,067899;0,016349;0,249225
2018-01-01 00:45:00;0,067546;0,016345;0,246846
2018-01-01 01:00:00;0,067193;0,016340;0,244469
2018-01-01 01:15:00;0,066838;0,016335;0,242092
2018-01-01 01:30:00;0,066395;0,016485;0,239099
2018-01-01 01:45:00;0,066336;0,016657;0,238458
2018-01-01 02:00:00;0,066290;0,016836;0,237806
2018-01-01 02:15:00;0,066256;0,017022;0,237145
2018-01-01 02:30:00;0,066609;0,017152;0,236256
2018-01-01 02:45:00;0,067054;0,017129;0,235981
2018-01-01 03:00:00;0,067492;0,017101;0,235712
2018-01-01 03:15:00;0,067921;0,017068;0,235450
2018-01-01 03:30:00;0,068403;0,016914;0,234095
2018-01-01 03:45:00;0,068508;0,016823;0,232959
2018-01-01 04:00:00;0,068618;0,016734;0,231820
2018-01-01 04:15:00;0,068733;0,016648;0,230677
2018-01-01 04:30:00;0,069257;0,016667;0,229336
2018-01-01 04:45:00;0,069728;0,016806;0,229090
2018-01-01 05:00:00;0,070199;0,016944;0,228844
2018-01-01 05:15:00;0,070671;0,017084;0,228598
2018-01-01 05:30:00;0,072220;0,018644;0,230742
2018-01-01 05:45:00;0,073365;0,020104;0,233080
2018-01-01 06:00:00;0,074510;0,021566;0,235419
2018-01-01 06:15:00;0,075655;0,023032;0,237758
2018-01-01 06:30:00;0,083269;0,026320;0,256862
2018-01-01 06:45:00;0,089798;0,028185;0,273582
2018-01-01 07:00:00;0,096313;0,030043;0,290320
2018-01-01 07:15:00;0,102791;0,031895;0,307117
2018-01-01 07:30:00;0,111879;0,034327;0,327782
2018-01-01 07:45:00;0,114400;0,034919;0,331831
2018-01-01 08:00:00;0,116808;0,035496;0,336061
2018-01-01 08:15:00;0,119106;0,036059;0,340466
2018-01-01 08:30:00;0,120752;0,036416;0,341434
2018-01-01 08:45:00;0,119654;0,036160;0,338724
2018-01-01 09:00:00;0,118533;0,035893;0,336038
2018-01-01 09:15:00;0,117448;0,035617;0,333272
2018-01-01 09:30:00;0,117369;0,036004;0,331878
2018-01-01 09:45:00;0,117883;0,036578;0,333994
2018-01-01 10:00:00;0,118377;0,037156;0,336156
2018-01-01 10:15:00;0,118878;0,037736;0,338314
2018-01-01 10:30:00;0,117911;0,038080;0,341126
2018-01-01 10:45:00;0,116048;0,037769;0,342380
2018-01-01 11:00:00;0,114270;0,037474;0,343505
2018-01-01 11:15:00;0,112618;0,037196;0,344429
2018-01-01 11:30:00;0,110708;0,036870;0,343951
2018-01-01 11:45:00;0,110380;0,036800;0,342636
2018-01-01 12:00:00;0,110094;0,036732;0,341242
2018-01-01 12:15:00;0,109832;0,036664;0,339800
2018-01-01 12:30:00;0,110828;0,036667;0,337995
2018-01-01 12:45:00;0,112259;0,036746;0,337312
2018-01-01 13:00:00;0,113747;0,036838;0,336553
2018-01-01 13:15:00;0,115273;0,036943;0,335749
2018-01-01 13:30:00;0,117989;0,036971;0,350950
2018-01-01 13:45:00;0,119591;0,036962;0,366276
2018-01-01 14:00:00;0,121259;0,036972;0,381486
2018-01-01 14:15:00;0,122982;0,037002;0,396598
2018-01-01 14:30:00;0,128160;0,036558;0,444826
2018-01-01 14:45:00;0,132282;0,036221;0,476781
2018-01-01 15:00:00;0,136398;0,035882;0,508724
2018-01-01 15:15:00;0,140447;0,035541;0,540798
2018-01-01 15:30:00;0,146797;0,035244;0,575972
2018-01-01 15:45:00;0,149648;0,035429;0,578126
2018-01-01 16:00:00;0,152376;0,035602;0,580571
2018-01-01 16:15:00;0,155016;0,035765;0,583212
2018-01-01 16:30:00;0,158464;0,035911;0,587334
2018-01-01 16:45:00;0,159469;0,035986;0,588607
2018-01-01 17:00:00;0,160450;0,036049;0,589900
2018-01-01 17:15:00;0,161406;0,036099;0,591214
2018-01-01 17:30:00;0,160847;0,035717;0,586512
2018-01-01 17:45:00;0,159424;0,035331;0,580416
2018-01-01 18:00:00;0,158008;0,034948;0,574315
2018-01-01 18:15:00;0,156597;0,034569;0,568210
2018-01-01 18:30:00;0,153748;0,033945;0,555182
2018-01-01 18:45:00;0,152377;0,033734;0,548202
2018-01-01 19:00:00;0,150987;0,033514;0,541239
2018-01-01 19:15:00;0,149576;0,033284;0,534292
2018-01-01 19:30:00;0,147598;0,034011;0,515856
2018-01-01 19:45:00;0,147060;0,034985;0,504342
2018-01-01 20:00:00;0,146536;0,035967;0,492817
2018-01-01 20:15:00;0,146028;0,036958;0,481280
2018-01-01 20:30:00;0,142677;0,037945;0,455309
2018-01-01 20:45:00;0,139877;0,037966;0,440843
2018-01-01 21:00:00;0,137063;0,037980;0,426387
2018-01-01 21:15:00;0,134238;0,037987;0,411940
2018-01-01 21:30:00;0,126562;0,036701;0,383009
2018-01-01 21:45:00;0,121732;0,035420;0,368511
2018-01-01 22:00:00;0,116900;0,034139;0,354013
2018-01-01 22:15:00;0,112068;0,032857;0,339516
2018-01-01 22:30:00;0,103710;0,030626;0,316581
2018-01-01 22:45:00;0,100192;0,029683;0,308138
2018-01-01 23:00:00;0,096679;0,028742;0,299691
2018-01-01 23:15:00;0,093169;0,027803;0,291242
2018-01-01 23:30:00;0,090188;0,026595;0,277858
2018-01-01 23:45:00;0,090732;0,026335;0,272913
2018-01-02 00:00:00;0,091273;0,026074;0,267970
2018-01-02 00:15:00;0,091812;0,025810;0,263028
2018-01-02 00:30:00;0,091247;0,025406;0,255541
2018-01-02 00:45:00;0,090159;0,025275;0,252985
2018-01-02 01:00:00;0,089077;0,025148;0,250424
2018-01-02 01:15:00;0,088000;0,025024;0,247860
2018-01-02 01:30:00;0,086823;0,025016;0,243954
2018-01-02 01:45:00;0,086751;0,025151;0,242594
2018-01-02 02:00:00;0,086677;0,025283;0,241235
2018-01-02 02:15:00;0,086601;0,025415;0,239877
2018-01-02 02:30:00;0,086945;0,025636;0,238065
2018-01-02 02:45:00;0,087393;0,025743;0,237593
2018-01-02 03:00:00;0,087841;0,025851;0,237120
2018-01-02 03:15:00;0,088291;0,025959;0,236647
2018-01-02 03:30:00;0,088731;0,025994;0,235818
2018-01-02 03:45:00;0,088746;0,025937;0,235447
2018-01-02 04:00:00;0,088756;0,025876;0,235079
2018-01-02 04:15:00;0,088762;0,025812;0,234714
2018-01-02 04:30:00;0,088945;0,025695;0,233857
2018-01-02 04:45:00;0,089133;0,025648;0,233358
2018-01-02 05:00:00;0,089319;0,025601;0,232860
2018-01-02 05:15:00;0,089505;0,025552;0,232363
2018-01-02 05:30:00;0,090865;0,026619;0,232525
2018-01-02 05:45:00;0,092044;0,027737;0,233182
2018-01-02 06:00:00;0,093225;0,028857;0,233837
2018-01-02 06:15:00;0,094409;0,029978;0,234491
2018-01-02 06:30:00;0,105791;0,033791;0,263461
2018-01-02 06:45:00;0,115992;0,036485;0,291777
2018-01-02 07:00:00;0,126174;0,039173;0,320115
2018-01-02 07:15:00;0,136309;0,041855;0,348518
2018-01-02 07:30:00;0,150873;0,045112;0,385840
2018-01-02 07:45:00;0,155126;0,045660;0,394996
2018-01-02 08:00:00;0,159254;0,046192;0,404328
2018-01-02 08:15:00;0,163276;0,046708;0,413805
2018-01-02 08:30:00;0,168690;0,047958;0,421521
2018-01-02 08:45:00;0,169564;0,048604;0,420449
2018-01-02 09:00:00;0,170477;0,049243;0,419302
2018-01-02 09:15:00;0,171460;0,049877;0,418033
2018-01-02 09:30:00;0,173064;0,050796;0,414752
2018-01-02 09:45:00;0,173253;0,050964;0,413239
2018-01-02 10:00:00;0,173362;0,051133;0,411847
2018-01-02 10:15:00;0,173424;0,051304;0,410527
2018-01-02 10:30:00;0,172824;0,050742;0,410362
2018-01-02 10:45:00;0,171686;0,049904;0,412086
2018-01-02 11:00:00;0,170590;0,049078;0,413765
2018-01-02 11:15:00;0,169640;0,048268;0,415250
2018-01-02 11:30:00;0,168942;0,047565;0,417676
2018-01-02 11:45:00;0,168936;0,047607;0,418923
2018-01-02 12:00:00;0,168970;0,047648;0,420102
2018-01-02 12:15:00;0,169058;0,047687;0,421191
2018-01-02 12:30:00;0,168354;0,047627;0,419140
2018-01-02 12:45:00;0,167571;0,047489;0,415923
2018-01-02 13:00:00;0,166824;0,047369;0,412678
2018-01-02 13:15:00;0,166126;0,047266;0,409385
2018-01-02 13:30:00;0,164850;0,046792;0,406781
2018-01-02 13:45:00;0,164562;0,046455;0,407065
2018-01-02 14:00:00;0,164401;0,046138;0,407183
2018-01-02 14:15:00;0,164421;0,045845;0,407050
2018-01-02 14:30:00;0,166586;0,045890;0,409070
2018-01-02 14:45:00;0,169480;0,046347;0,410238
2018-01-02 15:00:00;0,172366;0,046805;0,411435
2018-01-02 15:15:00;0,175148;0,047262;0,412802
2018-01-02 15:30:00;0,179212;0,047467;0,423702
2018-01-02 15:45:00;0,181102;0,047338;0,432508
