;Mean_Value;0.05_Quantile;0.95_Quantile
DateTime;;;
2018-01-01 00:15:00;0,061675;0,024429;0,130816
2018-01-01 00:30:00;0,061728;0,024404;0,131256
2018-01-01 00:45:00;0,061776;0,024379;0,131682
2018-01-01 01:00:00;0,061827;0,024354;0,132115
2018-01-01 01:15:00;0,061880;0,024329;0,132555
2018-01-01 01:30:00;0,061895;0,024270;0,131966
2018-01-01 01:45:00;0,061818;0,024237;0,130805
2018-01-01 02:00:00;0,061724;0,024204;0,129587
2018-01-01 02:15:00;0,061614;0,024171;0,128314
2018-01-01 02:30:00;0,061118;0,024129;0,126736
2018-01-01 02:45:00;0,060656;0,024120;0,126174
2018-01-01 03:00:00;0,060205;0,024111;0,125648
2018-01-01 03:15:00;0,059765;0,024102;0,125157
2018-01-01 03:30:00;0,059953;0,024101;0,127792
2018-01-01 03:45:00;0,060514;0,024111;0,130684
2018-01-01 04:00:00;0,061068;0,024120;0,133549
2018-01-01 04:15:00;0,061615;0,024130;0,136388
2018-01-01 04:30:00;0,064121;0,025566;0,141270
2018-01-01 04:45:00;0,065999;0,026994;0,143025
2018-01-01 05:00:00;0,067873;0,028422;0,144772
2018-01-01 05:15:00;0,069744;0,029850;0,146510
2018-01-01 05:30:00;0,073011;0,032290;0,152913
2018-01-01 05:45:00;0,074307;0,033305;0,157231
2018-01-01 06:00:00;0,075603;0,034319;0,161544
2018-01-01 06:15:00;0,076898;0,035334;0,165850
2018-01-01 06:30:00;0,083000;0,038911;0,185602
2018-01-01 06:45:00;0,087716;0,041475;0,200723
2018-01-01 07:00:00;0,092445;0,044039;0,215889
2018-01-01 07:15:00;0,097180;0,046601;0,231088
2018-01-01 07:30:00;0,104786;0,051099;0,253578
2018-01-01 07:45:00;0,107602;0,053030;0,260721
2018-01-01 08:00:00;0,110416;0,054956;0,267908
2018-01-01 08:15:00;0,113229;0,056878;0,275141
2018-01-01 08:30:00;0,117507;0,059870;0,279495
2018-01-01 08:45:00;0,118950;0,060920;0,276741
2018-01-01 09:00:00;0,120414;0,061968;0,274068
2018-01-01 09:15:00;0,121916;0,063017;0,271510
2018-01-01 09:30:00;0,124166;0,064329;0,268044
2018-01-01 09:45:00;0,124982;0,064568;0,267583
2018-01-01 10:00:00;0,125781;0,064806;0,267072
2018-01-01 10:15:00;0,126572;0,065045;0,266523
2018-01-01 10:30:00;0,126967;0,065295;0,264214
2018-01-01 10:45:00;0,126626;0,065287;0,262805
2018-01-01 11:00:00;0,126272;0,065283;0,261320
2018-01-01 11:15:00;0,125921;0,065286;0,259787
2018-01-01 11:30:00;0,125902;0,065050;0,260976
2018-01-01 11:45:00;0,126268;0,064809;0,263831
2018-01-01 12:00:00;0,126649;0,064571;0,266711
2018-01-01 12:15:00;0,127038;0,064335;0,269604
2018-01-01 12:30:00;0,127222;0,064448;0,272055
2018-01-01 12:45:00;0,127064;0,064809;0,271667
2018-01-01 13:00:00;0,126890;0,065172;0,271205
2018-01-01 13:15:00;0,126694;0,065537;0,270659
2018-01-01 13:30:00;0,126641;0,065664;0,269951
2018-01-01 13:45:00;0,126754;0,065448;0,269503
2018-01-01 14:00:00;0,126835;0,065233;0,268930
2018-01-01 14:15:00;0,126883;0,065021;0,268233
2018-01-01 14:30:00;0,126449;0,064393;0,270355
2018-01-01 14:45:00;0,125826;0,064008;0,272437
2018-01-01 15:00:00;0,125194;0,063621;0,274494
2018-01-01 15:15:00;0,124539;0,063229;0,276500
2018-01-01 15:30:00;0,122608;0,061986;0,278479
2018-01-01 15:45:00;0,121126;0,061155;0,277539
2018-01-01 16:00:00;0,119640;0,060319;0,276632
2018-01-01 16:15:00;0,118160;0,059478;0,275774
2018-01-01 16:30:00;0,112575;0,056406;0,260324
2018-01-01 16:45:00;0,108286;0,054179;0,245024
2018-01-01 17:00:00;0,104024;0,051951;0,229837
2018-01-01 17:15:00;0,099790;0,049723;0,214761
2018-01-01 17:30:00;0,091949;0,045161;0,192042
2018-01-01 17:45:00;0,088257;0,042830;0,184092
2018-01-01 18:00:00;0,084563;0,040498;0,176136
2018-01-01 18:15:00;0,080868;0,038166;0,168176
2018-01-01 18:30:00;0,076254;0,034913;0,159130
