Datum;Grundverbrauch normiert;PV-Erzeugung normiert;Marktpreise [€/MWh]
01.01.25 00:00;0,030622;-0,001003429;2,16
01.01.25 00:15;0,030762;-0,001003429;2,16
01.01.25 00:30;0,030901;-0,001003429;2,16
01.01.25 00:45;0,03104;-0,001003429;2,16
01.01.25 01:00;0,03118;-0,001003429;1,6
01.01.25 01:15;0,031433;-0,001003429;1,6
01.01.25 01:30;0,031546;-0,001003429;1,6
01.01.25 01:45;0,031658;-0,001003429;1,6
01.01.25 02:00;0,03177;-0,001003429;0
01.01.25 02:15;0,031946;-0,001003429;0
01.01.25 02:30;0,032008;-0,001003429;0
01.01.25 02:45;0,03207;-0,001003429;0
01.01.25 03:00;0,032132;-0,001003429;-0,01
01.01.25 03:15;0,032431;-0,001003429;-0,01
01.01.25 03:30;0,032666;-0,001003429;-0,01
01.01.25 03:45;0,032901;-0,001003429;-0,01
01.01.25 04:00;0,033135;-0,001003429;-0,01
01.01.25 04:15;0,033897;-0,001003429;-0,01
01.01.25 04:30;0,034422;-0,001003429;-0,01
01.01.25 04:45;0,034947;-0,001003429;-0,01
01.01.25 05:00;0,035472;-0,001003429;-0,06
01.01.25 05:15;0,036897;-0,001003429;-0,06
01.01.25 05:30;0,037794;-0,001003429;-0,06
01.01.25 05:45;0,038692;-0,001003429;-0,06
01.01.25 06:00;0,039589;-0,001003429;-0,09
01.01.25 06:15;0,040976;-0,001003429;-0,09
01.01.25 06:30;0,041464;-0,001003429;-0,09
01.01.25 06:45;0,041952;-0,001003429;-0,09
01.01.25 07:00;0,042439;-0,001003429;-0,01
01.01.25 07:15;0,043112;-0,001003429;-0,01
01.01.25 07:30;0,043295;-0,001003429;-0,01
01.01.25 07:45;0,043476;-0,001003429;-0,01
01.01.25 08:00;0,043656;-0,001003429;-0,01
01.01.25 08:15;0,043967;-0,001003429;-0,01
01.01.25 08:30;0,044091;0,001679184;-0,01
01.01.25 08:45;0,044216;0,004361797;-0,01
01.01.25 09:00;0,044342;0,00704441;-0,04
01.01.25 09:15;0,044566;0,009727023;-0,04
01.01.25 09:30;0,044659;0,013087449;-0,04
01.01.25 09:45;0,044752;0,016447874;-0,04
01.01.25 10:00;0,044844;0,019808299;-0,03
01.01.25 10:15;0,044772;0,023168724;-0,03
01.01.25 10:30;0,044604;0,026898663;-0,03
01.01.25 10:45;0,044438;0,030628601;-0,03
01.01.25 11:00;0,044273;0,034358539;-0,1
01.01.25 11:15;0,044228;0,038088477;-0,1
01.01.25 11:30;0,044347;0,042538066;-0,1
01.01.25 11:45;0,044469;0,046987654;-0,1
01.01.25 12:00;0,04459;0,051437243;-0,05
01.01.25 12:15;0,044734;0,055886831;-0,05
01.01.25 12:30;0,04476;0,052875686;-0,05
01.01.25 12:45;0,044787;0,04986454;-0,05
01.01.25 13:00;0,044813;0,046853395;-0,1
01.01.25 13:15;0,044724;0,04384225;-0,1
01.01.25 13:30;0,044613;0,03884585;-0,1
01.01.25 13:45;0,044502;0,033849451;-0,1
01.01.25 14:00;0,044391;0,028853052;-1,01
01.01.25 14:15;0,044266;0,023856653;-1,01
01.01.25 14:30;0,044256;0,019490398;-1,01
01.01.25 14:45;0,044245;0,015124143;-1,01
01.01.25 15:00;0,044232;0,010757888;-0,01
01.01.25 15:15;0,044075;0,006391632;-0,01
01.01.25 15:30;0,04393;0,004542867;-0,01
01.01.25 15:45;0,043784;0,002694102;-0,01
01.01.25 16:00;0,043636;0,000845336;-0,01
01.01.25 16:15;0,043318;-0,001003429;-0,01
01.01.25 16:30;0,043144;-0,001003429;-0,01
01.01.25 16:45;0,04297;-0,001003429;-0,01
01.01.25 17:00;0,042797;-0,001003429;0,07
01.01.25 17:15;0,042559;-0,001003429;0,07
01.01.25 17:30;0,042491;-0,001003429;0,07
01.01.25 17:45;0,042424;-0,001003429;0,07
01.01.25 18:00;0,042357;-0,001003429;1,01
01.01.25 18:15;0,042267;-0,001003429;1,01
01.01.25 18:30;0,042244;-0,001003429;1,01
01.01.25 18:45;0,042222;-0,001003429;1,01
01.01.25 19:00;0,0422;-0,001003429;1,48
01.01.25 19:15;0,042255;-0,001003429;1,48
01.01.25 19:30;0,042332;-0,001003429;1,48
01.01.25 19:45;0,042409;-0,001003429;1,48
01.01.25 20:00;0,042485;-0,001003429;1
01.01.25 20:15;0,042563;-0,001003429;1
01.01.25 20:30;0,042563;-0,001003429;1
01.01.25 20:45;0,042564;-0,001003429;1
01.01.25 21:00;0,042566;-0,001003429;0,07
01.01.25 21:15;0,042266;-0,001003429;0,07
01.01.25 21:30;0,041966;-0,001003429;0,07
01.01.25 21:45;0,041665;-0,001003429;0,07
01.01.25 22:00;0,041364;-0,001003429;10,05
01.01.25 22:15;0,040842;-0,001003429;10,05
01.01.25 22:30;0,040621;-0,001003429;10,05
01.01.25 22:45;0,0404;-0,001003429;10,05
01.01.25 23:00;0,040179;-0,001003429;7,01
01.01.25 23:15;0,058992;-0,001003429;7,01
01.01.25 23:30;0,078025;-0,001003429;7,01
01.01.25 23:45;0,097058;-0,001003429;7,01
02.01.25 00:00;0,116091;-0,001003429;2,55
02.01.25 00:15;0,134474;-0,001003429;2,55
02.01.25 00:30;0,133823;-0,001003429;2,55
02.01.25 00:45;0,13317;-0,001003429;2,55
02.01.25 01:00;0,132517;-0,001003429;1,56
02.01.25 01:15;0,13149;-0,001003429;1,56
02.01.25 01:30;0,131113;-0,001003429;1,56
02.01.25 01:45;0,130735;-0,001003429;1,56
02.01.25 02:00;0,130358;-0,001003429;3,45
02.01.25 02:15;0,130094;-0,001003429;3,45
