Datum von;Datum bis;Biomasse [MWh] Originalauflösungen;Wasserkraft [MWh] Originalauflösungen;Wind Offshore [MWh] Originalauflösungen;Wind Onshore [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen;Sonstige Erneuerbare [MWh] Originalauflösungen;Kernenergie [MWh] Originalauflösungen;Braunkohle [MWh] Originalauflösungen;Steinkohle [MWh] Originalauflösungen;Erdgas [MWh] Originalauflösungen;Pumpspeicher [MWh] Originalauflösungen;Sonstige Konventionelle [MWh] Originalauflösungen
01.01.25 00:00;01.01.25 00:15;987,75;358,75;603,75;8.241,75;2,5;32,75;-;813,25;757,25;1.177,75;113,25;492
01.01.25 00:15;01.01.25 00:30;955,75;374,5;650,25;8.206,25;2,25;32,75;-;816,75;688,75;1.173,75;209,5;466,75
01.01.25 00:30;01.01.25 00:45;941;353;635,5;8.206,00;2,25;32,75;-;815,75;682;1.162,75;108,75;466,5
01.01.25 00:45;01.01.25 01:00;934;354,75;612,5;8.221,75;2,5;33;-;823,75;678,5;1.178,25;26,5;469,75
01.01.25 01:00;01.01.25 01:15;950;349,25;563,25;8.312,25;2,5;32,75;-;957,75;676,75;1.126,75;91,75;468,5
01.01.25 01:15;01.01.25 01:30;938;335,25;627,5;8.371,50;2,5;32,75;-;964,25;681,5;1.058,00;21,25;463,75
01.01.25 01:30;01.01.25 01:45;937;346;602,75;8.409,25;2,25;32,75;-;921,25;679,75;1.052,75;31,25;467,75
01.01.25 01:45;01.01.25 02:00;938;349,5;602;8.427,00;2,25;32,75;-;896;681;1.090,00;0;471
01.01.25 02:00;01.01.25 02:15;929;337,75;669;8.443,25;2,25;32,75;-;827,25;680,75;1.046,50;1;465,75
01.01.25 02:15;01.01.25 02:30;935,25;330,75;666;8.478,25;2,25;32,75;-;814;681,5;1.059,00;0;457,5
01.01.25 02:30;01.01.25 02:45;934,75;341,75;646,5;8.425,00;2,25;32,75;-;816,5;678,5;1.055,00;0;461
01.01.25 02:45;01.01.25 03:00;938;333,5;632,5;8.420,50;2,25;32,75;-;807,25;676,25;1.057,25;0;453
01.01.25 03:00;01.01.25 03:15;937,25;332,25;451,25;8.180,25;2,5;33;-;808,25;678,25;1.047,50;76,5;448,75
01.01.25 03:15;01.01.25 03:30;936;331,75;436,75;8.152,25;2,25;31,5;-;805,75;661,5;1.066,25;20,5;445,25
01.01.25 03:30;01.01.25 03:45;932,25;327,25;410,25;8.233,50;2,25;31;-;805,25;648,25;1.081,25;0;447
01.01.25 03:45;01.01.25 04:00;934;325;386;8.310,25;2,25;32,25;-;807,25;651;1.084,50;0;448
01.01.25 04:00;01.01.25 04:15;932,75;338,75;356;8.267,00;2,25;32,25;-;812,75;648,25;1.085,00;2,5;444
01.01.25 04:15;01.01.25 04:30;929;328;344,75;8.237,75;2,25;32,25;-;810,25;651;1.087,50;0,5;444,25
01.01.25 04:30;01.01.25 04:45;926,5;329,75;324,25;8.276,50;2,25;32,25;-;808,25;646,75;1.077,00;0,25;441,5
01.01.25 04:45;01.01.25 05:00;926,25;325;302,75;8.332,50;2,25;30,75;-;806,25;637,25;1.085,50;0;440,5
01.01.25 05:00;01.01.25 05:15;924,5;322,75;316,75;8.361,75;2,5;31,5;-;803,5;601,5;1.111,25;0;443,5
01.01.25 05:15;01.01.25 05:30;927,25;324,75;307,75;8.369,00;2,25;32,5;-;806,25;597,25;1.118,00;0;442,75
