Datum von;Datum bis;Photovoltaik [MWh] Originalauflösungen;Photovoltaik [MWh] Originalauflösungen
01.12.25 00:00;01.12.25 00:15;0;0
01.12.25 00:15;01.12.25 00:30;0;0
01.12.25 00:30;01.12.25 00:45;0;0
01.12.25 00:45;01.12.25 01:00;0;0
01.12.25 01:00;01.12.25 01:15;0;0
01.12.25 01:15;01.12.25 01:30;0;0
01.12.25 01:30;01.12.25 01:45;0;0
01.12.25 01:45;01.12.25 02:00;0;0
01.12.25 02:00;01.12.25 02:15;0;0
01.12.25 02:15;01.12.25 02:30;0;0
01.12.25 02:30;01.12.25 02:45;0;0
01.12.25 02:45;01.12.25 03:00;0;0
01.12.25 03:00;01.12.25 03:15;0;0
01.12.25 03:15;01.12.25 03:30;0;0
01.12.25 03:30;01.12.25 03:45;0;0
01.12.25 03:45;01.12.25 04:00;0;0
01.12.25 04:00;01.12.25 04:15;0;0
01.12.25 04:15;01.12.25 04:30;0;0
01.12.25 04:30;01.12.25 04:45;0;0
01.12.25 04:45;01.12.25 05:00;0;0
01.12.25 05:00;01.12.25 05:15;0;0
01.12.25 05:15;01.12.25 05:30;0;0
01.12.25 05:30;01.12.25 05:45;0;0
01.12.25 05:45;01.12.25 06:00;0;0
01.12.25 06:00;01.12.25 06:15;0;0
01.12.25 06:15;01.12.25 06:30;0;0
01.12.25 06:30;01.12.25 06:45;0;0
01.12.25 06:45;01.12.25 07:00;0;0
01.12.25 07:00;01.12.25 07:15;0;0
01.12.25 07:15;01.12.25 07:30;0;0
01.12.25 07:30;01.12.25 07:45;0,00000056;0,14
01.12.25 07:45;01.12.25 08:00;0,00009884;24,71
01.12.25 08:00;01.12.25 08:15;0,00039224;98,06
01.12.25 08:15;01.12.25 08:30;0,00107216;268,04
01.12.25 08:30;01.12.25 08:45;0,00210144;525,36
01.12.25 08:45;01.12.25 09:00;0,00331856;829,64
01.12.25 09:00;01.12.25 09:15;0,0046446;1.161,15
01.12.25 09:15;01.12.25 09:30;0,00606108;1.515,27
01.12.25 09:30;01.12.25 09:45;0,0074656;1.866,40
01.12.25 09:45;01.12.25 10:00;0,00880288;2.200,72
01.12.25 10:00;01.12.25 10:15;0,01006656;2.516,64
01.12.25 10:15;01.12.25 10:30;0,01122804;2.807,01
01.12.25 10:30;01.12.25 10:45;0,01226836;3.067,09
01.12.25 10:45;01.12.25 11:00;0,013156;3.289,00
01.12.25 11:00;01.12.25 11:15;0,01389176;3.472,94
01.12.25 11:15;01.12.25 11:30;0,01445224;3.613,06
01.12.25 11:30;01.12.25 11:45;0,01483632;3.709,08
01.12.25 11:45;01.12.25 12:00;0,01503296;3.758,24
01.12.25 12:00;01.12.25 12:15;0,01503072;3.757,68
01.12.25 12:15;01.12.25 12:30;0,01484516;3.711,29
01.12.25 12:30;01.12.25 12:45;0,01449644;3.624,11
01.12.25 12:45;01.12.25 13:00;0,01400256;3.500,64
01.12.25 13:00;01.12.25 13:15;0,01336796;3.341,99
01.12.25 13:15;01.12.25 13:30;0,012616;3.154,00
01.12.25 13:30;01.12.25 13:45;0,01173288;2.933,22
01.12.25 13:45;01.12.25 14:00;0,01072436;2.681,09
01.12.25 14:00;01.12.25 14:15;0,009603;2.400,75
01.12.25 14:15;01.12.25 14:30;0,008394;2.098,50
